time,Detroit,pts.away,score,pts.home,Washington
4:40.0,Defensive rebound by R. Jackson,,104-102,,
4:20.0,R. Jackson misses 2-pt shot from 5 ft,,104-102,,
4:20.0,,,104-102,,Defensive rebound by M. Gortat
4:09.0,,,104-102,,Shooting foul by R. Jackson (drawn by O. Porter)
4:09.0,,,104-103,1,O. Porter makes free throw 2 of 2
4:09.0,,,104-104,1,O. Porter makes free throw 1 of 2
3:56.0,R. Jackson misses 2-pt shot from 7 ft,,104-104,,
3:56.0,Offensive rebound by A. Bradley,,104-104,,
3:56.0,A. Bradley makes 2-pt shot from 3 ft,2,106-104,,
3:37.0,,,106-106,2,J. Wall makes 2-pt shot from 5 ft
3:37.0,,,106-106,,Shooting foul by J. Leuer (drawn by J. Wall)
3:37.0,,,106-107,1,J. Wall makes free throw 2 of 2
3:37.0,,,106-108,1,J. Wall makes free throw 1 of 2
3:21.0,T. Harris misses 2-pt shot from 6 ft,,106-108,,
3:20.0,,,106-108,,Defensive rebound by K. Oubre
3:14.0,Personal foul by R. Jackson (drawn by J. Wall),,106-108,,
3:11.0,Detroit full timeout,,106-108,,
2:57.0,Turnover by R. Jackson (traveling),,106-108,,
2:40.0,,,106-108,,Turnover by J. Wall (bad pass; steal by R. Jackson)
2:22.0,J. Leuer misses 2-pt shot from 6 ft (block by B. Beal),,106-108,,
2:22.0,,,106-108,,Defensive rebound by Team
2:06.0,,,106-110,2,B. Beal makes 2-pt shot from 7 ft (assist by O. Porter)
2:06.0,,,106-110,,Shooting foul by J. Leuer (drawn by B. Beal)
2:06.0,,,108-113,1,B. Beal makes free throw 1 of 1
1:42.0,R. Jackson makes 2-pt shot from 8 ft,2,108-113,,
1:20.0,,,108-113,2,B. Beal makes 2-pt shot from 7 ft (assist by O. Porter)
1:07.0,A. Bradley makes 3-pt shot from 25 ft,3,111-113,,
0:46.0,,,111-113,,B. Beal misses 2-pt shot from 20 ft (block by J. Leuer)
0:42.0,Defensive rebound by A. Bradley,,111-113,,
0:42.0,Turnover by A. Bradley (out of bounds lost ball),,111-113,,
0:21.0,Jump ball: J. Wall vs. A. Bradley (R. Jackson gains possession),,,,Jump ball: J. Wall vs. A. Bradley (R. Jackson gains possession)
0:21.0,,,111-113,,Washington full timeout
0:21.0,,,111-113,,M. Scott enters the game for M. Gortat
0:14.0,R. Jackson misses 2-pt shot from 3 ft (block by J. Wall),,111-113,,
0:07.0,,,111-113,,Defensive rebound by O. Porter
0:05.0,Jump ball: O. Porter vs. J. Leuer (K. Oubre gains possession),,,,Jump ball: O. Porter vs. J. Leuer (K. Oubre gains possession)
0:03.0,I. Smith enters the game for R. Jackson,,111-113,,
0:01.0,,,111-114,1,J. Wall makes free throw 2 of 2
0:01.0,,,111-115,1,J. Wall makes free throw 1 of 2
0:01.0,Personal foul by I. Smith (drawn by J. Wall),,111-115,,
0:01.0,Turnover by I. Smith (turnover),,111-115,,
0:01.0,Personal take foul by I. Smith (drawn by J. Wall),,111-115,,
0:01.0,R. Jackson enters the game for I. Smith,,111-115,,
0:01.0,Detroit full timeout,,111-115,,
