time,LA Lakers,pts.away,score,pts.home,Detroit
0:21.0,,,76-81,3,A. Tolliver makes 3-pt shot from 25 ft (assist by L. Kennard)
0:00.0,K. Caldwell-Pope misses 2-pt shot from 6 ft,,76-81,,
0:00.0,,,76-81,,Defensive rebound by A. Drummond
0:00.0,,,76-81,,A. Drummond misses 3-pt shot from 74 ft
0:00.0,,,76-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,76-84,3,A. Tolliver makes 3-pt shot from 24 ft (assist by L. Kennard)
11:23.0,Turnover by K. Kuzma (bad pass; steal by J. Ennis),,76-84,,
11:19.0,,,76-84,,Turnover by I. Smith (out of bounds lost ball)
11:09.0,T. Ennis makes 2-pt shot from 16 ft,2,78-84,,
10:51.0,,,78-87,3,J. Ennis makes 3-pt shot from 22 ft (assist by A. Tolliver)
10:50.0,LA Lakers full timeout,,78-87,,
10:41.0,T. Ennis misses 2-pt shot from 10 ft,,78-87,,
10:34.0,Offensive rebound by I. Zubac,,78-87,,
10:34.0,I. Zubac makes 2-pt shot at rim,2,80-87,,
10:20.0,,,80-89,2,L. Kennard makes 2-pt shot from 21 ft
10:07.0,C. Frye makes 2-pt shot from 8 ft (assist by T. Ennis),2,82-89,,
9:41.0,,,82-91,2,I. Smith makes 2-pt shot from 10 ft
9:30.0,T. Ennis misses 2-pt shot from 5 ft,,82-91,,
9:27.0,,,82-91,,Defensive rebound by A. Drummond
9:19.0,,,82-91,,A. Tolliver misses 3-pt shot from 23 ft
9:16.0,Defensive rebound by K. Kuzma,,82-91,,
9:14.0,K. Kuzma makes 2-pt shot from 2 ft,2,84-91,,
9:14.0,Shooting foul by J. Ennis (drawn by K. Kuzma),,84-91,,
9:14.0,,,84-91,,R. Jackson enters the game for A. Drummond
9:14.0,,,84-91,,B. Griffin enters the game for I. Smith
9:14.0,B. Lopez enters the game for C. Frye,,84-91,,
9:14.0,J. Randle enters the game for I. Zubac,,84-91,,
9:14.0,L. Ball enters the game for G. Payton,,84-91,,
9:14.0,K. Kuzma misses free throw 1 of 1,,84-91,,
9:08.0,,,84-91,,Defensive rebound by B. Griffin
9:00.0,,,84-93,2,L. Kennard makes 2-pt shot from 8 ft (assist by B. Griffin)
8:44.0,B. Lopez makes 2-pt shot from 5 ft (assist by J. Randle),2,86-93,,
8:44.0,Shooting foul by A. Tolliver (drawn by B. Lopez),,86-93,,
8:44.0,B. Lopez makes free throw 1 of 1,1,87-93,,
8:29.0,,,87-93,,J. Ennis misses 3-pt shot from 24 ft
8:25.0,Defensive rebound by K. Kuzma,,87-93,,
8:20.0,Turnover by K. Kuzma (lost ball; steal by J. Ennis),,87-93,,
8:19.0,Personal foul by L. Ball (drawn by J. Ennis),,87-93,,
8:09.0,,,87-93,,R. Jackson misses 2-pt shot from 16 ft
8:04.0,Defensive rebound by K. Kuzma,,87-93,,
7:56.0,J. Randle makes 2-pt shot from 2 ft,2,89-93,,
7:56.0,Shooting foul by J. Ennis (drawn by J. Randle),,89-93,,
7:56.0,,,89-93,,S. Johnson enters the game for J. Ennis
7:56.0,J. Randle makes free throw 1 of 1,1,90-93,,
7:39.0,,,90-95,2,B. Griffin makes 2-pt shot at rim
7:19.0,J. Randle misses 2-pt shot from 2 ft,,90-95,,
7:19.0,,,90-95,,Defensive rebound by R. Jackson
7:06.0,,,90-97,2,A. Tolliver makes 2-pt shot from 1 ft (assist by R. Jackson)
7:06.0,LA Lakers full timeout,,90-97,,
7:06.0,K. Caldwell-Pope enters the game for T. Ennis,,90-97,,
6:52.0,Shooting foul by S. Johnson (drawn by J. Randle),,90-97,,
6:52.0,J. Randle misses free throw 1 of 2,,90-97,,
6:52.0,Offensive rebound by Team,,90-97,,
6:52.0,J. Randle makes free throw 2 of 2,1,91-97,,
6:38.0,,,91-99,2,R. Jackson makes 2-pt shot from 14 ft
6:17.0,B. Lopez misses 2-pt shot from 9 ft,,91-99,,
6:14.0,,,91-99,,Defensive rebound by S. Johnson
6:04.0,,,91-99,,Personal foul by B. Griffin (drawn by L. Ball)
6:04.0,,,91-99,,Turnover by B. Griffin (turnover)
6:04.0,,,91-99,,A. Drummond enters the game for B. Griffin
5:50.0,K. Kuzma misses 3-pt shot from 22 ft,,91-99,,
5:46.0,,,91-99,,Defensive rebound by S. Johnson
5:39.0,,,91-99,,S. Johnson misses 2-pt shot from 19 ft
5:36.0,Defensive rebound by L. Ball,,91-99,,
5:28.0,B. Lopez makes 2-pt shot from 1 ft (assist by L. Ball),2,93-99,,
5:13.0,Personal foul by B. Lopez (drawn by R. Jackson),,93-99,,
5:13.0,,,93-99,,R. Bullock enters the game for L. Kennard
5:00.0,,,93-99,,A. Tolliver misses 2-pt shot from 9 ft
4:57.0,Defensive rebound by J. Randle,,93-99,,
4:54.0,Turnover by J. Randle (bad pass),,93-99,,
4:44.0,,,93-99,,S. Johnson misses 3-pt shot from 24 ft
4:42.0,Defensive rebound by B. Lopez,,93-99,,
