time,Denver,pts.away,score,pts.home,Portland
2:04.0,,,76-93,,Shooting block foul by N. Vonleh (drawn by J. Murray)
2:04.0,J. Murray makes free throw 1 of 2,1,77-93,,
2:04.0,J. Murray makes free throw 2 of 2,1,78-93,,
1:42.0,,,78-96,3,J. Layman makes 3-pt shot from 25 ft (assist by S. Napier)
1:26.0,R. Jefferson misses 3-pt shot from 25 ft,,78-96,,
1:24.0,,,78-96,,Defensive rebound by Z. Collins
1:07.0,,,78-96,,Turnover by Z. Collins (lost ball; steal by T. Lyles)
1:02.0,J. Murray misses 3-pt shot from 24 ft,,78-96,,
1:01.0,Offensive rebound by M. Beasley,,78-96,,
1:01.0,Shooting foul by J. Layman (drawn by M. Beasley),,78-96,,
1:01.0,M. Beasley makes free throw 1 of 2,1,79-96,,
1:01.0,M. Beasley makes free throw 2 of 2,1,80-96,,
0:48.0,,,80-99,3,Z. Collins makes 3-pt shot from 25 ft (assist by S. Napier)
0:36.0,T. Lyles makes 2-pt shot at rim,2,82-99,,
0:16.0,,,82-99,,N. Vonleh misses 2-pt shot from 3 ft
0:14.0,Defensive rebound by T. Lyles,,82-99,,
0:10.0,Turnover by T. Lyles (bad pass),,82-99,,
