time,Boston,pts.away,score,pts.home,Detroit
7:43.0,,,36-31,2,I. Smith makes 2-pt shot from 6 ft
7:24.0,A. Horford misses 3-pt shot from 26 ft,,36-31,,
7:22.0,,,36-31,,Defensive rebound by L. Galloway
7:10.0,,,36-31,,T. Harris misses 3-pt shot from 27 ft
7:06.0,Defensive rebound by T. Rozier,,36-31,,
6:54.0,D. Theis misses 3-pt shot from 22 ft,,36-31,,
6:51.0,,,36-31,,Defensive rebound by I. Smith
6:46.0,,,36-31,,L. Galloway misses 3-pt shot from 24 ft
6:43.0,Defensive rebound by Team,,36-31,,
6:43.0,J. Tatum enters the game for A. Horford,,36-31,,
6:29.0,Turnover by S. Larkin (out of bounds lost ball),,36-31,,
6:13.0,,,36-31,,I. Smith misses 2-pt shot from 8 ft
6:10.0,Defensive rebound by T. Rozier,,36-31,,
6:06.0,T. Rozier misses 2-pt shot from 2 ft (block by E. Moreland),,36-31,,
6:03.0,,,36-31,,Defensive rebound by L. Kennard
5:57.0,,,36-33,2,L. Kennard makes 2-pt shot from 1 ft
5:40.0,S. Larkin misses 2-pt shot from 14 ft,,36-33,,
5:38.0,,,36-33,,Defensive rebound by T. Harris
5:17.0,,,36-33,,I. Smith misses 2-pt shot from 5 ft
5:16.0,K. Irving enters the game for T. Rozier,,36-33,,
5:15.0,,,36-33,,Defensive rebound by E. Moreland
5:15.0,,,36-33,,Turnover by Team (shot clock)
5:00.0,Shooting foul by L. Kennard (drawn by J. Brown),,36-33,,
5:00.0,J. Brown misses free throw 1 of 2,,36-33,,
5:00.0,Offensive rebound by Team,,36-33,,
5:00.0,,,36-33,,R. Jackson enters the game for L. Galloway
5:00.0,,,36-33,,A. Drummond enters the game for I. Smith
5:00.0,,,36-33,,A. Bradley enters the game for E. Moreland
5:00.0,A. Baynes enters the game for D. Theis,,36-33,,
5:00.0,J. Brown makes free throw 2 of 2,1,37-33,,
4:48.0,,,37-33,,Turnover by L. Kennard (turnover)
4:48.0,,,37-33,,A. Tolliver enters the game for L. Kennard
4:34.0,Shooting foul by A. Drummond (drawn by S. Larkin),,37-33,,
4:34.0,S. Larkin misses free throw 1 of 2,,37-33,,
4:34.0,Offensive rebound by Team,,37-33,,
4:34.0,S. Larkin makes free throw 2 of 2,1,38-33,,
4:12.0,,,38-33,,A. Bradley misses 2-pt shot from 14 ft
4:10.0,,,38-33,,Offensive rebound by Team
4:10.0,,,38-33,,Personal foul by A. Tolliver (drawn by S. Larkin)
4:10.0,,,38-33,,Turnover by A. Tolliver (turnover)
3:58.0,J. Tatum misses 3-pt shot from 24 ft,,38-33,,
3:55.0,,,38-33,,Defensive rebound by T. Harris
3:49.0,,,38-33,,T. Harris misses 2-pt shot from 15 ft
3:45.0,Defensive rebound by S. Larkin,,38-33,,
3:39.0,Personal foul by K. Irving (drawn by R. Jackson),,38-33,,
3:39.0,Turnover by K. Irving (turnover),,38-33,,
3:23.0,,,38-33,,A. Bradley misses 2-pt shot from 6 ft
3:23.0,,,38-33,,Offensive rebound by Team
3:23.0,M. Smart enters the game for S. Larkin,,38-33,,
3:17.0,,,38-33,,A. Tolliver misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by M. Smart,,38-33,,
2:51.0,,,38-33,,Detroit full timeout
2:50.0,Turnover by Team (shot clock),,38-33,,
2:39.0,,,38-33,,R. Jackson misses 2-pt shot from 8 ft
2:36.0,Defensive rebound by K. Irving,,38-33,,
2:33.0,Turnover by M. Smart (turnover),,38-33,,
2:19.0,,,38-33,,Turnover by T. Harris (lost ball; steal by M. Smart)
1:58.0,M. Smart makes 2-pt shot from 5 ft,2,40-33,,
1:37.0,,,40-33,,R. Jackson misses 2-pt shot from 5 ft
1:35.0,,,40-33,,Offensive rebound by A. Drummond
1:34.0,Personal foul by A. Baynes (drawn by A. Drummond),,40-33,,
1:34.0,,,40-33,,E. Moreland enters the game for A. Drummond
1:22.0,,,40-33,,R. Jackson misses 2-pt shot from 18 ft
1:20.0,Defensive rebound by A. Baynes,,40-33,,
1:06.0,Turnover by A. Baynes (bad pass; steal by R. Jackson),,40-33,,
0:58.0,,,40-35,2,A. Bradley makes 2-pt shot from 15 ft
0:48.0,J. Brown misses 3-pt shot from 23 ft,,40-35,,
0:44.0,Offensive rebound by A. Baynes,,40-35,,
0:40.0,Turnover by K. Irving (bad pass; steal by R. Jackson),,40-35,,
