time,Charlotte,pts.away,score,pts.home,Dallas
6:37.0,D. Bacon makes free throw 2 of 2,1,87-81,,
6:25.0,,,87-84,3,D. Smith makes 3-pt shot from 24 ft (assist by N. Noel)
6:10.0,J. Lamb misses 3-pt shot from 23 ft,,87-84,,
6:07.0,,,87-84,,Defensive rebound by D. Finney-Smith
5:59.0,,,87-86,2,Y. Ferrell makes 2-pt shot from 19 ft
5:32.0,D. Bacon makes 2-pt shot from 1 ft (assist by F. Kaminsky),2,89-86,,
5:15.0,,,89-86,,H. Barnes misses 2-pt shot from 10 ft
5:14.0,,,89-86,,Offensive rebound by Team
5:06.0,,,89-88,2,Y. Ferrell makes 2-pt shot from 12 ft (assist by N. Noel)
4:50.0,J. Lamb misses 3-pt shot from 23 ft,,89-88,,
4:48.0,,,89-88,,Defensive rebound by D. Finney-Smith
4:45.0,,,89-88,,Y. Ferrell misses 3-pt shot from 24 ft
4:41.0,Defensive rebound by D. Howard,,89-88,,
4:33.0,K. Walker makes 2-pt shot from 1 ft,2,91-88,,
4:15.0,,,91-90,2,N. Noel makes 2-pt shot from 1 ft (assist by D. Smith)
3:58.0,D. Howard makes 2-pt shot at rim (assist by J. Lamb),2,93-90,,
3:32.0,,,93-90,,N. Noel misses 2-pt shot from 13 ft
3:30.0,Defensive rebound by D. Howard,,93-90,,
3:17.0,,,93-90,,Personal foul by N. Noel (drawn by D. Howard)
3:17.0,D. Howard misses free throw 1 of 2,,93-90,,
3:17.0,Offensive rebound by Team,,93-90,,
3:17.0,M. Williams enters the game for F. Kaminsky,,93-90,,
3:17.0,D. Howard misses free throw 2 of 2,,93-90,,
3:14.0,,,93-90,,Defensive rebound by H. Barnes
3:04.0,Shooting block foul by D. Bacon (drawn by H. Barnes),,93-90,,
3:04.0,,,93-91,1,H. Barnes makes free throw 1 of 2
3:04.0,,,93-91,,H. Barnes misses free throw 2 of 2
3:02.0,Defensive rebound by D. Howard,,93-91,,
3:01.0,,,93-91,,Personal take foul by H. Barnes (drawn by D. Howard)
3:01.0,D. Howard misses free throw 1 of 2,,93-91,,
3:01.0,Offensive rebound by Team,,93-91,,
3:01.0,D. Howard misses free throw 2 of 2,,93-91,,
2:58.0,,,93-91,,Defensive rebound by N. Noel
2:44.0,,,93-91,,H. Barnes misses 2-pt shot from 4 ft
2:44.0,Defensive rebound by D. Howard,,93-91,,
2:44.0,,,93-91,,Personal foul by N. Noel (drawn by D. Howard)
2:44.0,Charlotte full timeout,,93-91,,
2:44.0,D. Howard makes free throw 1 of 2,1,94-91,,
2:44.0,D. Howard makes free throw 2 of 2,1,95-91,,
2:27.0,,,95-91,,H. Barnes misses 2-pt shot from 10 ft (block by K. Walker)
2:27.0,Defensive rebound by K. Walker,,95-91,,
2:05.0,K. Walker makes 3-pt shot from 24 ft,3,98-91,,
1:50.0,,,98-94,3,Y. Ferrell makes 3-pt shot from 22 ft (assist by D. Smith)
1:34.0,J. Lamb misses 2-pt shot from 11 ft,,98-94,,
1:31.0,Offensive rebound by M. Williams,,98-94,,
1:30.0,D. Howard misses 2-pt shot from 3 ft,,98-94,,
1:30.0,,,98-94,,Defensive rebound by Y. Ferrell
1:24.0,,,98-94,,Offensive foul by D. Smith (drawn by K. Walker)
1:24.0,,,98-94,,Turnover by D. Smith (offensive foul)
1:14.0,K. Walker misses 3-pt shot from 24 ft,,98-94,,
1:12.0,,,98-94,,Defensive rebound by N. Noel
1:04.0,,,98-94,,D. Smith misses 2-pt shot from 15 ft
1:02.0,,,98-94,,Offensive rebound by N. Noel
1:02.0,,,98-96,2,N. Noel makes 2-pt shot at rim
0:41.0,J. Lamb makes 2-pt shot from 13 ft,2,100-96,,
0:41.0,,,100-96,,Dallas full timeout
0:36.0,,,100-98,2,D. Smith makes 2-pt shot at rim
0:18.0,J. Lamb misses 2-pt shot from 19 ft,,100-98,,
0:15.0,,,100-98,,Defensive rebound by D. Smith
0:05.0,,,100-98,,Turnover by D. Smith (lost ball; steal by K. Walker)
0:04.0,,,100-98,,Personal foul by H. Barnes (drawn by M. Williams)
0:04.0,M. Williams makes free throw 1 of 2,1,101-98,,
0:04.0,,,101-98,,D. Powell enters the game for Y. Ferrell
0:04.0,M. Williams makes free throw 2 of 2,1,102-98,,
0:04.0,Charlotte full timeout,,102-98,,
0:04.0,,,102-98,,D. McDermott enters the game for N. Noel
0:04.0,,,102-98,,Y. Ferrell enters the game for D. Finney-Smith
0:02.0,,,102-98,,D. Smith misses 3-pt shot from 27 ft
0:02.0,Defensive rebound by J. Lamb,,102-98,,
