time,Phoenix,pts.away,score,pts.home,Miami
0:07.0,,,46-61,,J. Johnson misses 2-pt shot from 20 ft
0:06.0,Defensive rebound by T. Chandler,,46-61,,
0:01.0,T. Warren makes 2-pt shot from 1 ft (assist by D. Booker),2,48-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,E. Payton makes 2-pt shot from 4 ft,2,50-61,,
11:30.0,,,50-63,2,J. Richardson makes 2-pt shot from 19 ft (assist by H. Whiteside)
11:09.0,E. Payton misses 2-pt shot from 18 ft,,50-63,,
11:07.0,,,50-63,,Defensive rebound by H. Whiteside
11:05.0,Personal block foul by D. Booker (drawn by J. Richardson),,50-63,,
10:58.0,,,50-63,,J. Richardson misses 2-pt shot from 12 ft
10:56.0,,,50-63,,Offensive rebound by J. Richardson
10:45.0,,,50-65,2,H. Whiteside makes 2-pt shot from 13 ft (assist by G. Dragic)
10:25.0,D. Booker misses 2-pt shot from 16 ft,,50-65,,
10:23.0,,,50-65,,Defensive rebound by H. Whiteside
10:17.0,,,50-65,,Shooting foul by T. Warren (drawn by H. Whiteside)
10:17.0,,,50-66,1,H. Whiteside makes free throw 1 of 2
10:17.0,,,50-67,1,H. Whiteside makes free throw 2 of 2
9:56.0,T. Warren makes 2-pt shot from 18 ft,2,52-67,,
9:46.0,,,52-69,2,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Johnson)
9:46.0,,,52-69,,Shooting foul by T. Warren (drawn by H. Whiteside)
9:46.0,,,52-70,1,H. Whiteside makes free throw 1 of 1
9:30.0,D. Bender makes 3-pt shot from 25 ft (assist by T. Warren),3,55-70,,
9:13.0,,,55-70,,L. Babbitt misses 3-pt shot from 22 ft
9:11.0,Defensive rebound by D. Booker,,55-70,,
9:04.0,T. Warren misses 2-pt shot from 4 ft (block by H. Whiteside),,55-70,,
9:04.0,,,55-70,,Defensive rebound by Team
8:53.0,,,55-72,2,G. Dragic makes 2-pt shot from 1 ft
8:37.0,D. Booker misses 2-pt shot from 7 ft,,55-72,,
8:34.0,Offensive rebound by T. Chandler,,55-72,,
8:29.0,D. Booker makes 2-pt shot from 12 ft (assist by T. Chandler),2,57-72,,
8:20.0,Personal foul by E. Payton (drawn by G. Dragic),,57-72,,
8:20.0,J. Jackson enters the game for T. Warren,,57-72,,
8:20.0,S. Harrison enters the game for E. Payton,,57-72,,
8:10.0,,,57-72,,G. Dragic misses 3-pt shot from 23 ft
8:08.0,Defensive rebound by D. Bender,,57-72,,
