time,Chicago,pts.away,score,pts.home,LA Lakers
4:58.0,D. Valentine misses 3-pt shot from 25 ft,,89-83,,
4:55.0,,,89-83,,Defensive rebound by L. Ball
4:44.0,,,89-85,2,B. Lopez makes 2-pt shot from 1 ft (assist by B. Ingram)
4:28.0,Offensive foul by R. Lopez (drawn by B. Ingram),,89-85,,
4:28.0,Turnover by R. Lopez (offensive foul),,89-85,,
4:12.0,,,89-85,,Shooting foul by J. Holiday (drawn by B. Ingram)
4:12.0,,,89-85,,B. Ingram misses free throw 1 of 2
4:12.0,,,89-85,,Offensive rebound by Team
4:12.0,,,89-86,1,B. Ingram makes free throw 2 of 2
4:00.0,D. Valentine misses 2-pt shot from 3 ft,,89-86,,
3:58.0,,,89-86,,Defensive rebound by J. Randle
3:52.0,,,89-86,,J. Randle misses 2-pt shot from 3 ft (block by R. Lopez)
3:46.0,Defensive rebound by D. Valentine,,89-86,,
3:42.0,L. Markkanen misses 3-pt shot from 25 ft,,89-86,,
3:39.0,,,89-86,,Defensive rebound by B. Ingram
3:35.0,,,89-88,2,B. Ingram makes 2-pt shot from 4 ft
3:35.0,,,89-88,,Shooting foul by J. Holiday (drawn by B. Ingram)
3:35.0,,,89-88,,K. Kuzma enters the game for J. Randle
3:35.0,K. Dunn enters the game for J. Grant,,89-88,,
3:35.0,,,89-89,1,B. Ingram makes free throw 1 of 1
3:23.0,K. Dunn misses 2-pt shot from 17 ft,,89-89,,
3:19.0,,,89-89,,Defensive rebound by L. Ball
3:09.0,,,89-89,,B. Lopez misses 3-pt shot from 25 ft
3:06.0,,,89-89,,Offensive rebound by K. Caldwell-Pope
3:06.0,,,89-91,2,K. Caldwell-Pope makes 2-pt shot at rim
3:06.0,Chicago full timeout,,89-91,,
2:50.0,Turnover by D. Valentine (bad pass; steal by B. Lopez),,89-91,,
2:44.0,,,89-94,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by K. Kuzma)
2:30.0,L. Markkanen makes 3-pt shot from 24 ft (assist by R. Lopez),3,92-94,,
2:13.0,,,92-94,,K. Caldwell-Pope misses 3-pt shot from 25 ft
2:11.0,Defensive rebound by J. Holiday,,92-94,,
1:49.0,K. Dunn misses 2-pt shot from 4 ft (block by B. Lopez),,92-94,,
1:49.0,Offensive rebound by Team,,92-94,,
1:49.0,,,92-94,,J. Randle enters the game for B. Lopez
1:47.0,D. Valentine misses 2-pt shot from 15 ft,,92-94,,
1:44.0,,,92-94,,Defensive rebound by L. Ball
1:42.0,,,92-97,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by L. Ball)
1:32.0,Shooting foul by K. Kuzma (drawn by L. Markkanen),,92-97,,
1:32.0,L. Markkanen makes free throw 1 of 2,1,93-97,,
1:32.0,L. Markkanen makes free throw 2 of 2,1,94-97,,
1:16.0,,,94-99,2,B. Ingram makes 2-pt shot from 2 ft
0:55.0,L. Markkanen misses 3-pt shot from 24 ft,,94-99,,
0:52.0,,,94-99,,Defensive rebound by K. Caldwell-Pope
0:33.0,,,94-99,,L. Ball misses 3-pt shot from 23 ft
0:28.0,,,94-99,,Offensive rebound by L. Ball
0:24.0,Away from play foul by D. Valentine (drawn by L. Ball),,94-99,,
0:24.0,B. Portis enters the game for R. Lopez,,94-99,,
0:24.0,,,94-100,1,K. Kuzma makes free throw 1 of 2
0:23.0,Personal take foul by L. Markkanen (drawn by K. Kuzma),,94-100,,
0:23.0,,,94-100,,K. Kuzma misses free throw 1 of 2
0:23.0,,,94-100,,Offensive rebound by Team
0:23.0,R. Lopez enters the game for B. Portis,,94-100,,
0:23.0,,,94-100,,K. Kuzma misses free throw 2 of 2
0:21.0,,,94-100,,Offensive rebound by K. Caldwell-Pope
0:21.0,Personal take foul by D. Valentine (drawn by K. Caldwell-Pope),,94-100,,
0:21.0,,,94-101,1,K. Caldwell-Pope makes free throw 1 of 2
0:21.0,,,94-102,1,K. Caldwell-Pope makes free throw 2 of 2
0:10.0,J. Holiday misses 3-pt shot from 27 ft,,94-102,,
0:07.0,Offensive rebound by K. Dunn,,94-102,,
0:02.0,K. Dunn misses 3-pt shot from 26 ft,,94-102,,
0:02.0,,,94-102,,Defensive rebound by Team
0:02.0,Loose ball foul by R. Lopez (drawn by K. Caldwell-Pope),,94-102,,
0:02.0,,,94-103,1,K. Caldwell-Pope makes free throw 1 of 2
0:02.0,,,94-103,,K. Caldwell-Pope misses free throw 2 of 2
0:00.0,J. Holiday misses 3-pt shot from 63 ft,,94-103,,
0:00.0,Offensive rebound by J. Holiday,,94-103,,
0:00.0,Offensive rebound by Team,,94-103,,
