time,Milwaukee,pts.away,score,pts.home,Dallas
4:48.0,D. Liggins makes free throw 2 of 2,1,75-102,,
4:40.0,,,75-102,,W. Matthews misses 3-pt shot from 24 ft
4:35.0,,,75-102,,Offensive rebound by D. Powell
4:33.0,,,75-102,,Y. Ferrell misses 3-pt shot from 25 ft
4:33.0,,,75-102,,Offensive rebound by Team
4:33.0,Loose ball foul by G. Antetokounmpo (drawn by D. Powell),,75-102,,
4:24.0,,,75-102,,H. Barnes misses 3-pt shot from 25 ft
4:21.0,Defensive rebound by G. Antetokounmpo,,75-102,,
4:13.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,75-102,,
4:11.0,,,75-102,,Defensive rebound by H. Barnes
3:48.0,,,75-104,2,H. Barnes makes 2-pt shot from 5 ft
3:27.0,D. Liggins misses 3-pt shot from 24 ft,,75-104,,
3:27.0,,,75-104,,Defensive rebound by D. Powell
3:11.0,,,75-107,3,Y. Ferrell makes 3-pt shot from 26 ft (assist by H. Barnes)
3:10.0,Milwaukee full timeout,,75-107,,
3:10.0,,,75-107,,J. Withey enters the game for D. Powell
3:10.0,,,75-107,,A. Cleveland enters the game for W. Matthews
3:10.0,,,75-107,,N. Noel enters the game for H. Barnes
3:10.0,R. Vaughn enters the game for T. Maker,,75-107,,
3:10.0,J. Bolomboy enters the game for K. Middleton,,75-107,,
3:10.0,D. Wilson enters the game for G. Antetokounmpo,,75-107,,
2:46.0,D. Liggins misses 3-pt shot from 23 ft,,75-107,,
2:42.0,Offensive rebound by J. Bolomboy,,75-107,,
2:42.0,Shooting foul by J. Withey (drawn by J. Bolomboy),,75-107,,
2:42.0,J. Bolomboy misses free throw 1 of 2,,75-107,,
2:42.0,Offensive rebound by Team,,75-107,,
2:42.0,,,75-107,,M. Kleber enters the game for D. Smith
2:42.0,J. Terry enters the game for D. Liggins,,75-107,,
2:42.0,J. Bolomboy misses free throw 2 of 2,,75-107,,
2:39.0,,,75-107,,Defensive rebound by N. Noel
2:28.0,,,75-107,,Turnover by N. Noel (bad pass)
2:12.0,J. Terry makes 2-pt shot from 11 ft,2,77-107,,
1:50.0,,,77-109,2,Y. Ferrell makes 2-pt shot from 8 ft (assist by N. Noel)
1:33.0,Turnover by J. Bolomboy (lost ball; steal by A. Cleveland),,77-109,,
1:24.0,,,77-109,,J. Withey misses 3-pt shot from 24 ft
1:21.0,,,77-109,,Offensive rebound by N. Noel
1:20.0,,,77-109,,N. Noel misses 2-pt shot at rim (block by J. Terry)
1:17.0,Defensive rebound by G. Payton,,77-109,,
1:06.0,D. Wilson misses 3-pt shot from 25 ft,,77-109,,
1:06.0,,,77-109,,Defensive rebound by Team
1:05.0,Loose ball foul by J. Bolomboy (drawn by N. Noel),,77-109,,
0:44.0,,,77-109,,M. Kleber misses 2-pt shot from 15 ft (block by R. Vaughn)
0:41.0,Defensive rebound by G. Payton,,77-109,,
0:40.0,J. Bolomboy makes 2-pt shot at rim (assist by R. Vaughn),2,79-109,,
0:26.0,,,79-111,2,N. Noel makes 2-pt shot at rim (assist by A. Cleveland)
0:16.0,G. Payton misses 3-pt shot from 23 ft,,79-111,,
0:13.0,,,79-111,,Defensive rebound by N. Noel
