time,Boston,pts.away,score,pts.home,Denver
3:38.0,Defensive rebound by A. Horford,,103-100,,
3:15.0,Turnover by Team (shot clock),,103-100,,
2:59.0,,,103-100,,N. Jokic misses 2-pt shot from 2 ft
2:57.0,Defensive rebound by T. Rozier,,103-100,,
2:46.0,K. Irving makes 2-pt shot from 1 ft,2,105-100,,
2:37.0,,,105-102,2,T. Lyles makes 2-pt shot from 2 ft (assist by W. Barton)
2:12.0,A. Horford makes 3-pt shot from 24 ft (assist by T. Rozier),3,108-102,,
1:50.0,,,108-104,2,G. Harris makes 2-pt shot from 17 ft (assist by N. Jokic)
1:35.0,Turnover by K. Irving (lost ball; steal by W. Barton),,108-104,,
1:23.0,,,108-104,,W. Barton misses 2-pt shot from 3 ft
1:23.0,,,108-104,,Offensive rebound by T. Lyles
1:23.0,,,108-106,2,T. Lyles makes 2-pt shot at rim
0:59.0,Turnover by Team (shot clock),,108-106,,
0:59.0,S. Ojeleye enters the game for K. Irving,,108-106,,
0:43.0,,,108-108,2,J. Murray makes 2-pt shot from 8 ft (assist by G. Harris)
0:43.0,Boston full timeout,,108-108,,
0:43.0,K. Irving enters the game for S. Ojeleye,,108-108,,
0:34.0,J. Brown makes 3-pt shot from 22 ft (assist by A. Horford),3,111-108,,
0:33.0,,,111-108,,Denver full timeout
0:33.0,S. Ojeleye enters the game for K. Irving,,111-108,,
0:28.0,,,111-110,2,J. Murray makes 2-pt shot from 2 ft (assist by T. Lyles)
0:17.0,Boston full timeout,,111-110,,
0:17.0,,,111-110,,T. Craig enters the game for N. Jokic
0:17.0,K. Irving enters the game for S. Ojeleye,,111-110,,
0:07.0,K. Irving misses 2-pt shot from 9 ft,,111-110,,
0:04.0,,,111-110,,Defensive rebound by T. Lyles
0:00.0,,,111-110,,W. Barton misses 3-pt shot from 33 ft
0:00.0,,,111-110,,Offensive rebound by Team
