time,Philadelphia,pts.away,score,pts.home,Detroit
4:31.0,J. Redick enters the game for A. Johnson,,100-87,,
4:31.0,R. Holmes enters the game for E. Ilyasova,,100-87,,
4:12.0,R. Holmes makes 2-pt shot from 8 ft (assist by M. Belinelli),2,102-87,,
3:51.0,,,102-87,,Turnover by S. Johnson (lost ball; steal by R. Holmes)
3:44.0,R. Covington misses 3-pt shot from 27 ft,,102-87,,
3:44.0,,,102-87,,Defensive rebound by S. Johnson
3:34.0,,,102-90,3,A. Tolliver makes 3-pt shot from 29 ft (assist by S. Johnson)
3:12.0,J. Redick makes 3-pt shot from 25 ft (assist by R. Holmes),3,105-90,,
3:12.0,,,105-90,,Detroit full timeout
3:04.0,,,105-90,,Turnover by S. Johnson (bad pass; steal by M. Belinelli)
2:59.0,R. Covington misses 2-pt shot from 2 ft (block by I. Smith),,105-90,,
2:59.0,,,105-90,,Defensive rebound by I. Smith
2:54.0,,,105-93,3,A. Tolliver makes 3-pt shot from 25 ft (assist by I. Smith)
2:39.0,Turnover by J. Redick (bad pass),,105-93,,
2:24.0,,,105-93,,I. Smith misses 2-pt shot from 13 ft
2:17.0,Defensive rebound by R. Covington,,105-93,,
2:03.0,,,105-93,,Personal foul by A. Drummond (drawn by M. Belinelli)
1:49.0,Turnover by M. Belinelli (bad pass; steal by S. Johnson),,105-93,,
1:46.0,,,105-95,2,A. Tolliver makes 2-pt shot from 1 ft (assist by I. Smith)
1:46.0,Philadelphia full timeout,,105-95,,
1:46.0,A. Johnson enters the game for R. Holmes,,105-95,,
1:37.0,,,105-95,,Personal foul by R. Bullock (drawn by B. Simmons)
1:28.0,M. Belinelli makes 3-pt shot from 25 ft (assist by R. Covington),3,108-95,,
1:21.0,,,108-98,3,I. Smith makes 3-pt shot from 26 ft
1:09.0,,,108-98,,Personal foul by R. Bullock (drawn by A. Johnson)
1:09.0,A. Johnson makes free throw 1 of 2,1,109-98,,
1:09.0,A. Johnson makes free throw 2 of 2,1,110-98,,
1:02.0,,,110-101,3,R. Bullock makes 3-pt shot from 25 ft (assist by I. Smith)
0:50.0,A. Johnson makes 2-pt shot from 2 ft (assist by M. Belinelli),2,112-101,,
0:36.0,,,112-103,2,A. Drummond makes 2-pt shot at rim (assist by I. Smith)
0:36.0,,,112-103,,Shooting foul by A. Johnson (drawn by A. Drummond)
0:36.0,,,112-104,1,A. Drummond makes free throw 1 of 1
0:31.0,Turnover by M. Belinelli (lost ball; steal by S. Johnson),,112-104,,
0:27.0,,,112-104,,S. Johnson misses 3-pt shot from 25 ft
0:25.0,Defensive rebound by M. Belinelli,,112-104,,
0:25.0,,,112-104,,Personal foul by A. Drummond (drawn by M. Belinelli)
0:25.0,M. Belinelli misses free throw 1 of 2,,112-104,,
0:25.0,Offensive rebound by Team,,112-104,,
0:25.0,M. Belinelli makes free throw 2 of 2,1,113-104,,
0:25.0,,,113-104,,Detroit full timeout
0:25.0,,,113-104,,L. Kennard enters the game for S. Johnson
0:25.0,T. McConnell enters the game for A. Johnson,,113-104,,
0:23.0,,,113-104,,A. Tolliver misses 2-pt shot from 4 ft
0:23.0,,,113-104,,Offensive rebound by Team
0:21.0,,,113-107,3,R. Bullock makes 3-pt shot from 23 ft (assist by I. Smith)
0:19.0,,,113-107,,Personal foul by L. Kennard (drawn by M. Belinelli)
0:19.0,M. Belinelli makes free throw 1 of 2,1,114-107,,
0:19.0,M. Belinelli makes free throw 2 of 2,1,115-107,,
0:08.0,,,115-107,,I. Smith misses 3-pt shot from 26 ft
0:07.0,,,115-107,,Offensive rebound by Team
0:07.0,Loose ball foul by B. Simmons (drawn by A. Drummond),,115-107,,
0:07.0,,,115-107,,A. Drummond misses free throw 1 of 2
0:07.0,,,115-107,,Offensive rebound by Team
0:07.0,,,115-108,1,A. Drummond makes free throw 2 of 2
