time,Minnesota,pts.away,score,pts.home,New York
1:57.0,,,105-99,3,T. Hardaway makes 3-pt shot from 27 ft (assist by T. Burke)
1:41.0,Turnover by J. Teague (bad pass; steal by T. Burke),,105-99,,
1:39.0,,,105-99,,Shooting foul by A. Wiggins (drawn by T. Hardaway)
1:39.0,,,105-100,1,T. Hardaway makes free throw 1 of 2
1:39.0,,,105-101,1,T. Hardaway makes free throw 2 of 2
1:20.0,A. Wiggins misses 2-pt shot from 2 ft,,105-101,,
1:16.0,Offensive rebound by K. Towns,,105-101,,
0:56.0,A. Wiggins misses 2-pt shot from 20 ft,,105-101,,
0:49.0,Offensive rebound by T. Gibson,,105-101,,
0:29.0,J. Teague misses 3-pt shot from 25 ft,,105-101,,
0:28.0,,,105-101,,Defensive rebound by F. Ntilikina
0:28.0,,,105-101,,New York full timeout
0:21.0,,,105-101,,T. Hardaway misses 2-pt shot from 1 ft
0:20.0,Defensive rebound by K. Towns,,105-101,,
0:20.0,,,105-101,,Personal take foul by E. Kanter (drawn by K. Towns)
0:20.0,K. Towns makes free throw 1 of 2,1,106-101,,
0:20.0,K. Towns misses free throw 2 of 2,,106-101,,
0:19.0,,,106-101,,Defensive rebound by M. Beasley
0:13.0,,,106-101,,T. Hardaway misses 2-pt shot from 2 ft (block by K. Towns)
0:10.0,Defensive rebound by A. Wiggins,,106-101,,
0:10.0,,,106-101,,Personal take foul by T. Burke (drawn by J. Teague)
0:10.0,J. Teague makes free throw 1 of 2,1,107-101,,
0:10.0,J. Teague makes free throw 2 of 2,1,108-101,,
0:10.0,,,108-101,,New York full timeout
0:05.0,,,108-104,3,T. Burke makes 3-pt shot from 25 ft (assist by T. Hardaway)
0:03.0,,,108-104,,Personal take foul by F. Ntilikina (drawn by N. Bjelica)
0:03.0,N. Bjelica misses free throw 1 of 2,,108-104,,
0:03.0,Offensive rebound by Team,,108-104,,
0:03.0,N. Bjelica misses free throw 2 of 2,,108-104,,
0:02.0,,,108-104,,Defensive rebound by E. Kanter
0:00.0,,,108-104,,F. Ntilikina misses 2-pt shot from 15 ft
0:00.0,,,108-104,,Offensive rebound by Team
