time,Minnesota,pts.away,score,pts.home,Sacramento
6:36.0,,,79-67,,Offensive rebound by B. Bogdanovic
6:34.0,,,79-67,,B. Bogdanovic misses 2-pt shot from 5 ft
6:34.0,Defensive rebound by N. Bjelica,,79-67,,
6:27.0,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Teague),2,81-67,,
6:13.0,,,81-70,3,B. Hield makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
5:57.0,Shooting foul by S. Labissiere (drawn by T. Gibson),,81-70,,
5:57.0,T. Gibson makes free throw 1 of 2,1,82-70,,
5:57.0,T. Gibson makes free throw 2 of 2,1,83-70,,
5:40.0,,,83-70,,B. Bogdanovic misses 2-pt shot from 11 ft
5:36.0,Defensive rebound by T. Gibson,,83-70,,
5:26.0,N. Bjelica misses 2-pt shot from 5 ft,,83-70,,
5:22.0,,,83-70,,Defensive rebound by K. Koufos
5:13.0,,,83-70,,D. Fox misses 2-pt shot from 17 ft
5:10.0,Defensive rebound by K. Towns,,83-70,,
5:04.0,J. Teague misses 2-pt shot from 9 ft,,83-70,,
5:03.0,,,83-70,,Defensive rebound by Team
5:03.0,,,83-70,,B. Caboclo enters the game for B. Bogdanovic
4:48.0,,,83-70,,B. Caboclo misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by J. Teague,,83-70,,
4:40.0,N. Bjelica misses 3-pt shot from 28 ft,,83-70,,
4:37.0,,,83-70,,Defensive rebound by S. Labissiere
4:32.0,,,83-70,,B. Hield misses 2-pt shot from 2 ft (block by A. Wiggins)
4:28.0,Defensive rebound by N. Bjelica,,83-70,,
4:15.0,Turnover by K. Towns (out of bounds lost ball),,83-70,,
3:56.0,,,83-70,,Turnover by B. Hield (bad pass; steal by N. Bjelica)
3:52.0,A. Wiggins misses 2-pt shot from 5 ft,,83-70,,
3:51.0,Offensive rebound by Team,,83-70,,
3:51.0,G. Dieng enters the game for K. Towns,,83-70,,
3:48.0,Shooting foul by D. Fox (drawn by J. Teague),,83-70,,
3:48.0,J. Teague makes free throw 1 of 2,1,84-70,,
3:48.0,,,84-70,,F. Mason enters the game for D. Fox
3:48.0,J. Teague makes free throw 2 of 2,1,85-70,,
3:35.0,,,85-70,,Turnover by B. Hield (bad pass; steal by N. Bjelica)
3:22.0,N. Bjelica makes 2-pt shot from 3 ft,2,87-70,,
3:04.0,,,87-73,3,S. Labissiere makes 3-pt shot from 25 ft (assist by B. Hield)
2:47.0,T. Gibson makes 2-pt shot from 4 ft (assist by N. Bjelica),2,89-73,,
