time,Charlotte,pts.away,score,pts.home,LA Lakers
5:24.0,Personal foul by M. Carter-Williams (drawn by J. Randle),,103-82,,
5:24.0,,,103-82,,J. Hart enters the game for K. Kuzma
5:16.0,,,103-82,,B. Ingram misses 2-pt shot from 2 ft
5:12.0,,,103-82,,Offensive rebound by B. Ingram
5:12.0,,,103-84,2,B. Ingram makes 2-pt shot at rim
4:49.0,Offensive foul by F. Kaminsky,,103-84,,
4:49.0,Turnover by F. Kaminsky (offensive foul),,103-84,,
4:49.0,Technical foul by F. Kaminsky,,103-84,,
4:49.0,M. Kidd-Gilchrist enters the game for J. O'Bryant,,103-84,,
4:49.0,K. Walker enters the game for M. Carter-Williams,,103-84,,
4:49.0,,,103-85,1,T. Ennis makes technical free throw
4:49.0,N. Batum enters the game for T. Graham,,103-85,,
4:38.0,,,103-85,,T. Ennis misses 3-pt shot from 25 ft
4:32.0,Defensive rebound by J. Lamb,,103-85,,
4:11.0,J. Lamb misses 3-pt shot from 23 ft,,103-85,,
4:10.0,Offensive rebound by Team,,103-85,,
4:10.0,,,103-85,,Loose ball foul by B. Ingram (drawn by M. Kidd-Gilchrist)
3:55.0,Shooting foul by T. Ennis (drawn by M. Kidd-Gilchrist),,103-85,,
3:55.0,M. Kidd-Gilchrist misses free throw 1 of 2,,103-85,,
3:55.0,Offensive rebound by Team,,103-85,,
3:55.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,104-85,,
3:45.0,,,104-85,,Turnover by B. Ingram (bad pass; steal by K. Walker)
3:43.0,,,104-85,,Personal foul by T. Ennis (drawn by M. Kidd-Gilchrist)
3:43.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,105-85,,
3:43.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,106-85,,
3:30.0,Personal foul by F. Kaminsky (drawn by J. Randle),,106-85,,
3:30.0,,,106-85,,K. Kuzma enters the game for B. Ingram
3:22.0,,,106-85,,T. Ennis misses 3-pt shot from 25 ft
3:18.0,Defensive rebound by N. Batum,,106-85,,
3:15.0,K. Walker misses 3-pt shot from 26 ft,,106-85,,
3:11.0,,,106-85,,Defensive rebound by C. Brewer
3:07.0,,,106-87,2,C. Brewer makes 2-pt shot at rim
2:49.0,Charlotte full timeout,,106-87,,
2:49.0,,,106-87,,I. Zubac enters the game for J. Randle
2:49.0,J. Stone enters the game for J. Lamb,,106-87,,
2:49.0,M. Monk enters the game for N. Batum,,106-87,,
2:49.0,D. Bacon enters the game for M. Kidd-Gilchrist,,106-87,,
2:49.0,T. Graham enters the game for K. Walker,,106-87,,
2:38.0,T. Graham misses 2-pt shot from 9 ft,,106-87,,
2:36.0,,,106-87,,Defensive rebound by T. Ennis
2:29.0,,,106-87,,I. Zubac misses 2-pt shot from 7 ft
2:24.0,Defensive rebound by D. Bacon,,106-87,,
2:17.0,M. Monk misses 3-pt shot from 22 ft,,106-87,,
2:13.0,,,106-87,,Defensive rebound by K. Kuzma
2:08.0,,,106-87,,C. Brewer misses 2-pt shot from 3 ft
2:04.0,Defensive rebound by J. Stone,,106-87,,
1:43.0,T. Graham misses 2-pt shot from 7 ft (block by C. Brewer),,106-87,,
1:43.0,Offensive rebound by Team,,106-87,,
1:43.0,Turnover by Team (shot clock),,106-87,,
1:43.0,J. O'Bryant enters the game for F. Kaminsky,,106-87,,
1:28.0,,,106-89,2,I. Zubac makes 2-pt shot from 3 ft
1:16.0,J. O'Bryant misses 2-pt shot from 14 ft,,106-89,,
1:16.0,,,106-89,,Defensive rebound by C. Brewer
1:06.0,,,106-89,,K. Kuzma misses 2-pt shot from 4 ft
1:06.0,Defensive rebound by J. Stone,,106-89,,
0:59.0,M. Monk misses 3-pt shot from 26 ft,,106-89,,
0:59.0,,,106-89,,Defensive rebound by J. Hart
0:54.0,,,106-89,,Shooting foul by T. Graham (drawn by C. Brewer)
0:54.0,,,106-90,1,C. Brewer makes free throw 1 of 2
0:54.0,,,106-90,,C. Brewer misses free throw 2 of 2
0:47.0,Defensive rebound by D. Bacon,,106-90,,
0:38.0,D. Bacon misses 3-pt shot from 24 ft,,106-90,,
0:36.0,,,106-90,,Defensive rebound by I. Zubac
0:32.0,,,106-92,2,T. Ennis makes 2-pt shot from 2 ft
0:15.0,J. O'Bryant makes 2-pt shot from 1 ft (assist by T. Graham),2,108-92,,
0:04.0,,,108-94,2,C. Brewer makes 2-pt shot from 1 ft (assist by I. Zubac)
