time,Sacramento,pts.away,score,pts.home,Toronto
2:38.0,,,86-96,,D. DeRozan misses 2-pt shot from 13 ft
2:34.0,Defensive rebound by B. Bogdanovic,,86-96,,
2:28.0,B. Bogdanovic makes 2-pt shot from 15 ft,2,88-96,,
2:10.0,,,88-96,,O. Anunoby misses 2-pt shot from 1 ft (block by K. Koufos)
2:09.0,,,88-96,,Offensive rebound by Team
2:09.0,V. Carter enters the game for B. Bogdanovic,,88-96,,
2:04.0,,,88-96,,D. DeRozan misses 2-pt shot from 17 ft
2:01.0,,,88-96,,Offensive rebound by J. Valanciunas
1:41.0,,,88-96,,J. Valanciunas misses 2-pt shot from 2 ft
1:39.0,,,88-96,,Offensive rebound by J. Valanciunas
1:38.0,,,88-99,3,F. VanVleet makes 3-pt shot from 26 ft
1:38.0,Sacramento full timeout,,88-99,,
1:34.0,G. Hill misses 3-pt shot from 26 ft,,88-99,,
1:31.0,,,88-99,,Defensive rebound by K. Lowry
1:22.0,,,88-102,3,K. Lowry makes 3-pt shot from 25 ft
1:12.0,G. Temple misses 3-pt shot from 28 ft,,88-102,,
1:05.0,,,88-102,,Defensive rebound by D. DeRozan
0:52.0,,,88-104,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
0:39.0,G. Hill makes 3-pt shot from 26 ft,3,91-104,,
0:29.0,,,91-104,,Toronto full timeout
0:18.0,,,91-106,2,K. Lowry makes 2-pt shot from 1 ft
0:14.0,G. Hill makes 2-pt shot from 1 ft,2,93-106,,
0:11.0,Personal foul by V. Carter (drawn by D. DeRozan),,93-106,,
0:11.0,,,93-107,1,D. DeRozan makes clear path free throw 2 of 2
0:11.0,,,93-108,1,D. DeRozan makes clear path free throw 1 of 2
0:11.0,B. Hield enters the game for V. Carter,,93-108,,
