time,Utah,pts.away,score,pts.home,Minnesota
1:40.0,Utah full timeout,,85-71,,
1:30.0,Turnover by R. O'Neale (bad pass),,85-71,,
1:12.0,,,85-71,,A. Brooks misses 2-pt shot at rim
1:09.0,Defensive rebound by R. Gobert,,85-71,,
0:51.0,D. Exum misses 2-pt shot from 12 ft (block by G. Dieng),,85-71,,
0:49.0,,,85-71,,Defensive rebound by G. Dieng
0:49.0,Personal take foul by J. Crowder (drawn by A. Brooks),,85-71,,
0:36.0,,,85-71,,Turnover by A. Wiggins (bad pass; steal by R. O'Neale)
0:32.0,Turnover by R. O'Neale (bad pass),,85-71,,
0:07.0,,,85-71,,J. Crawford misses 2-pt shot from 9 ft
0:06.0,Defensive rebound by R. Gobert,,85-71,,
0:01.0,Shooting foul by A. Wiggins (drawn by D. Exum),,85-71,,
0:01.0,D. Exum makes free throw 1 of 2,1,86-71,,
0:01.0,D. Exum makes free throw 2 of 2,1,87-71,,
0:01.0,,,87-71,,A. Brooks misses 3-pt shot from 88 ft
0:00.0,,,87-71,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,87-71,,K. Towns misses 3-pt shot from 26 ft
11:44.0,Defensive rebound by R. Gobert,,87-71,,
11:28.0,J. Crowder makes 3-pt shot from 24 ft (assist by D. Exum),3,90-71,,
11:15.0,,,90-74,3,N. Bjelica makes 3-pt shot from 25 ft (assist by J. Crawford)
10:58.0,J. Jerebko makes 3-pt shot from 23 ft (assist by J. Crowder),3,93-74,,
10:43.0,,,93-74,,A. Brooks misses 2-pt shot from 11 ft
10:40.0,Defensive rebound by J. Crowder,,93-74,,
10:34.0,Shooting foul by A. Brooks (drawn by D. Exum),,93-74,,
10:34.0,D. Exum makes free throw 1 of 2,1,94-74,,
10:34.0,D. Exum makes free throw 2 of 2,1,95-74,,
10:13.0,,,95-76,2,N. Bjelica makes 2-pt shot from 8 ft
10:05.0,Shooting foul by A. Brooks (drawn by D. Exum),,95-76,,
10:05.0,D. Exum makes free throw 1 of 2,1,96-76,,
10:05.0,D. Exum makes free throw 2 of 2,1,97-76,,
9:41.0,,,97-76,,K. Towns misses 2-pt shot from 14 ft (block by R. Gobert)
9:40.0,,,97-76,,Offensive rebound by Team
9:40.0,,,97-76,,Turnover by Team (shot clock)
9:29.0,J. Ingles makes 2-pt shot from 9 ft (assist by J. Jerebko),2,99-76,,
9:07.0,Personal foul by J. Crowder (drawn by N. Bjelica),,99-76,,
9:07.0,,,99-76,,A. Wiggins enters the game for G. Dieng
9:00.0,,,99-76,,Turnover by J. Crawford (bad pass; steal by J. Ingles)
8:56.0,,,99-76,,Shooting block foul by A. Brooks (drawn by J. Jerebko)
8:56.0,J. Jerebko makes free throw 1 of 2,1,100-76,,
8:56.0,J. Jerebko makes free throw 2 of 2,1,101-76,,
8:43.0,,,101-76,,K. Towns misses 2-pt shot from 4 ft
8:41.0,Defensive rebound by R. Gobert,,101-76,,
8:21.0,Turnover by D. Exum (bad pass; steal by N. Bjelica),,101-76,,
8:15.0,,,101-76,,Turnover by J. Crawford (bad pass; steal by D. Exum)
