time,Minnesota,pts.away,score,pts.home,LA Lakers
7:04.0,K. Towns misses 2-pt shot from 1 ft,,96-79,,
7:01.0,,,96-79,,Defensive rebound by G. Payton
6:57.0,,,96-81,2,J. Randle makes 2-pt shot from 1 ft (assist by G. Payton)
6:56.0,Minnesota full timeout,,96-81,,
6:41.0,Shooting foul by G. Payton (drawn by J. Crawford),,96-81,,
6:41.0,J. Crawford makes free throw 1 of 2,1,97-81,,
6:41.0,J. Crawford makes free throw 2 of 2,1,98-81,,
6:26.0,,,98-81,,T. Ennis misses 3-pt shot from 26 ft
6:23.0,Defensive rebound by T. Gibson,,98-81,,
6:06.0,J. Teague misses 3-pt shot from 24 ft,,98-81,,
6:03.0,,,98-81,,Defensive rebound by G. Payton
5:59.0,,,98-81,,Shooting foul by K. Towns (drawn by J. Randle)
5:59.0,,,98-82,1,J. Randle makes free throw 1 of 2
5:59.0,,,98-82,,J. Hart enters the game for T. Ennis
5:59.0,A. Wiggins enters the game for J. Butler,,98-82,,
5:59.0,,,98-83,1,J. Randle makes free throw 2 of 2
5:35.0,J. Teague makes 2-pt shot from 12 ft (assist by K. Towns),2,100-83,,
5:19.0,,,100-83,,G. Payton misses 2-pt shot from 14 ft
5:15.0,,,100-83,,Offensive rebound by G. Payton
5:13.0,,,100-85,2,I. Zubac makes 2-pt shot from 10 ft (assist by G. Payton)
4:48.0,J. Crawford misses 3-pt shot from 28 ft,,100-85,,
4:46.0,,,100-85,,Defensive rebound by J. Hart
4:42.0,,,100-87,2,J. Hart makes 2-pt shot from 2 ft
4:42.0,Violation by K. Towns (def goaltending),,100-87,,
4:42.0,,,100-87,,Shooting foul by J. Teague (drawn by J. Hart)
4:42.0,,,100-87,,J. Hart misses free throw 1 of 1
4:42.0,Defensive rebound by T. Gibson,,100-87,,
4:26.0,A. Wiggins misses 2-pt shot from 2 ft,,100-87,,
4:24.0,Offensive rebound by T. Gibson,,100-87,,
4:22.0,T. Gibson misses 2-pt shot from 1 ft,,100-87,,
4:22.0,Offensive rebound by A. Wiggins,,100-87,,
4:18.0,A. Wiggins misses 2-pt shot at rim,,100-87,,
4:18.0,Offensive rebound by A. Wiggins,,100-87,,
4:16.0,A. Wiggins makes 2-pt shot at rim,2,102-87,,
4:03.0,,,102-87,,Shooting foul by J. Teague (drawn by I. Zubac)
4:03.0,,,102-88,1,I. Zubac makes free throw 1 of 2
4:03.0,,,102-89,1,I. Zubac makes free throw 2 of 2
3:44.0,T. Gibson makes 2-pt shot from 1 ft (assist by K. Towns),2,104-89,,
3:33.0,,,104-89,,K. Caldwell-Pope misses 2-pt shot from 8 ft (block by A. Wiggins)
3:31.0,Defensive rebound by J. Teague,,104-89,,
3:17.0,K. Towns makes 2-pt shot from 2 ft (assist by J. Teague),2,106-89,,
3:02.0,,,106-89,,K. Caldwell-Pope misses 2-pt shot from 15 ft
2:59.0,Defensive rebound by T. Gibson,,106-89,,
2:44.0,T. Gibson makes 2-pt shot from 2 ft (assist by K. Towns),2,108-89,,
2:42.0,,,108-89,,LA Lakers full timeout
2:42.0,,,108-89,,T. Bryant enters the game for K. Caldwell-Pope
2:42.0,,,108-89,,T. Wear enters the game for J. Randle
2:27.0,,,108-89,,T. Wear misses 2-pt shot from 19 ft
2:24.0,Defensive rebound by J. Teague,,108-89,,
2:06.0,J. Teague makes 2-pt shot from 1 ft,2,110-89,,
1:53.0,,,110-91,2,I. Zubac makes 2-pt shot from 4 ft (assist by G. Payton)
1:30.0,J. Crawford misses 2-pt shot from 11 ft,,110-91,,
1:28.0,,,110-91,,Defensive rebound by G. Payton
1:28.0,Personal take foul by J. Teague (drawn by G. Payton),,110-91,,
1:28.0,,,110-91,,G. Payton misses free throw 1 of 2
1:28.0,,,110-91,,Offensive rebound by Team
1:28.0,T. Jones enters the game for J. Teague,,110-91,,
1:28.0,N. Bjelica enters the game for K. Towns,,110-91,,
1:28.0,C. Aldrich enters the game for T. Gibson,,110-91,,
1:28.0,,,110-91,,G. Payton misses free throw 2 of 2
1:26.0,Defensive rebound by C. Aldrich,,110-91,,
1:11.0,N. Bjelica misses 3-pt shot from 28 ft,,110-91,,
1:09.0,,,110-91,,Defensive rebound by G. Payton
0:57.0,,,110-94,3,J. Hart makes 3-pt shot from 22 ft (assist by T. Bryant)
0:43.0,T. Jones makes 3-pt shot from 25 ft (assist by A. Wiggins),3,113-94,,
0:38.0,,,113-96,2,T. Bryant makes 2-pt shot from 1 ft (assist by G. Payton)
0:19.0,A. Wiggins misses 2-pt shot from 20 ft,,113-96,,
0:15.0,Offensive rebound by J. Crawford,,113-96,,
