time,LA Clippers,pts.away,score,pts.home,Boston
6:10.0,M. Harrell makes free throw 2 of 2,1,110-104,,
5:57.0,,,110-106,2,J. Tatum makes 2-pt shot from 3 ft
5:57.0,,,110-106,,Shooting foul by M. Harrell (drawn by J. Tatum)
5:57.0,D. Jordan enters the game for M. Harrell,,110-106,,
5:57.0,,,110-107,1,J. Tatum makes free throw 1 of 1
5:42.0,Turnover by D. Jordan (bad pass; steal by K. Irving),,110-107,,
5:37.0,,,110-107,,Turnover by J. Brown (bad pass; steal by D. Jordan)
5:32.0,D. Gallinari misses 2-pt shot from 1 ft,,110-107,,
5:29.0,Offensive rebound by T. Harris,,110-107,,
5:28.0,D. Gallinari makes 2-pt shot from 20 ft (assist by T. Harris),2,112-107,,
5:13.0,,,112-107,,A. Horford misses 3-pt shot from 26 ft
5:10.0,,,112-107,,Offensive rebound by J. Brown
5:02.0,,,112-107,,J. Brown misses 3-pt shot from 27 ft
4:59.0,Defensive rebound by A. Rivers,,112-107,,
4:51.0,T. Harris misses 3-pt shot from 23 ft,,112-107,,
4:47.0,,,112-107,,Defensive rebound by A. Horford
4:41.0,,,112-109,2,A. Horford makes 2-pt shot from 3 ft (assist by K. Irving)
4:40.0,LA Clippers full timeout,,112-109,,
4:38.0,,,112-109,,Personal take foul by A. Horford (drawn by D. Jordan)
4:38.0,D. Jordan makes free throw 1 of 2,1,113-109,,
4:38.0,D. Jordan makes free throw 2 of 2,1,114-109,,
4:27.0,,,114-111,2,K. Irving makes 2-pt shot from 13 ft
4:05.0,D. Jordan makes 2-pt shot at rim (assist by T. Harris),2,116-111,,
3:42.0,Personal foul by D. Jordan (drawn by J. Tatum),,116-111,,
3:42.0,,,116-111,,Boston full timeout
3:31.0,,,116-111,,K. Irving misses 2-pt shot from 17 ft
3:28.0,,,116-111,,Offensive rebound by J. Brown
3:26.0,,,116-111,,J. Tatum misses 3-pt shot from 25 ft
3:26.0,,,116-111,,Offensive rebound by A. Horford
3:11.0,,,116-111,,Turnover by K. Irving (bad pass; steal by T. Harris)
2:57.0,T. Harris makes 2-pt shot from 1 ft (assist by D. Jordan),2,118-111,,
2:57.0,Shooting foul by A. Horford (drawn by T. Harris),,118-111,,
2:57.0,,,118-111,,T. Rozier enters the game for J. Brown
2:57.0,T. Harris makes free throw 1 of 1,1,119-111,,
2:42.0,,,119-111,,Shooting foul by D. Jordan (drawn by K. Irving)
2:42.0,,,119-112,1,K. Irving makes free throw 1 of 2
2:42.0,,,119-113,1,K. Irving makes free throw 2 of 2
2:23.0,L. Williams makes 2-pt shot from 6 ft,2,121-113,,
2:10.0,,,121-113,,K. Irving misses 2-pt shot from 4 ft
2:08.0,Defensive rebound by D. Gallinari,,121-113,,
2:04.0,,,121-113,,Personal take foul by A. Horford (drawn by D. Jordan)
2:04.0,D. Jordan makes free throw 1 of 2,1,122-113,,
2:04.0,D. Jordan makes free throw 2 of 2,1,123-113,,
1:57.0,,,123-113,,J. Tatum misses 2-pt shot from 4 ft
1:57.0,Defensive rebound by Team,,123-113,,
1:36.0,L. Williams makes 2-pt shot from 1 ft,2,125-113,,
1:36.0,Shooting foul by A. Horford (drawn by L. Williams),,125-113,,
1:36.0,L. Williams makes free throw 1 of 1,1,126-113,,
1:19.0,,,126-116,3,A. Horford makes 3-pt shot from 26 ft (assist by T. Rozier)
0:56.0,L. Williams misses 2-pt shot from 21 ft,,126-116,,
0:52.0,Offensive rebound by T. Harris,,126-116,,
0:31.0,L. Williams makes 3-pt shot from 25 ft,3,129-116,,
0:26.0,,,129-119,3,J. Tatum makes 3-pt shot from 23 ft (assist by T. Rozier)
0:02.0,Turnover by Team (shot clock),,129-119,,
