time,Miami,pts.away,score,pts.home,New Orleans
8:34.0,D. Wade misses 2-pt shot from 12 ft,,92-92,,
8:29.0,,,92-92,,Defensive rebound by J. Holiday
8:22.0,,,92-92,,R. Rondo misses 2-pt shot from 1 ft (block by J. Johnson)
8:18.0,Defensive rebound by W. Ellington,,92-92,,
8:10.0,Turnover by H. Whiteside (lost ball; steal by A. Davis),,92-92,,
8:05.0,,,92-92,,D. Miller misses 3-pt shot from 27 ft
8:00.0,Defensive rebound by H. Whiteside,,92-92,,
7:59.0,J. Richardson makes 2-pt shot from 3 ft,2,94-92,,
7:59.0,Shooting foul by D. Miller (drawn by J. Richardson),,94-92,,
7:59.0,J. Richardson makes free throw 1 of 1,1,95-92,,
7:59.0,G. Dragic enters the game for D. Wade,,95-92,,
7:48.0,,,95-94,2,J. Holiday makes 2-pt shot from 13 ft
7:21.0,G. Dragic misses 2-pt shot from 7 ft,,95-94,,
7:20.0,Offensive rebound by Team,,95-94,,
7:20.0,,,95-94,,Loose ball foul by I. Clark (drawn by H. Whiteside)
7:20.0,T. Johnson enters the game for J. Richardson,,95-94,,
7:13.0,G. Dragic misses 2-pt shot from 3 ft,,95-94,,
7:11.0,Offensive rebound by H. Whiteside,,95-94,,
7:07.0,Turnover by H. Whiteside (offensive goaltending),,95-94,,
6:57.0,,,95-94,,A. Davis misses 2-pt shot from 21 ft
6:52.0,Defensive rebound by W. Ellington,,95-94,,
6:43.0,Turnover by J. Johnson (bad pass; steal by A. Davis),,95-94,,
6:43.0,Personal foul by H. Whiteside (drawn by A. Davis),,95-94,,
6:43.0,,,95-94,,N. Mirotic enters the game for R. Rondo
6:43.0,B. Adebayo enters the game for H. Whiteside,,95-94,,
6:35.0,,,95-94,,J. Holiday misses 2-pt shot from 1 ft
6:32.0,Defensive rebound by B. Adebayo,,95-94,,
6:19.0,T. Johnson makes 2-pt shot from 14 ft (assist by G. Dragic),2,97-94,,
5:51.0,,,97-94,,Turnover by D. Miller (bad pass; steal by J. Johnson)
5:30.0,J. Johnson makes 2-pt shot from 5 ft,2,99-94,,
5:29.0,,,99-94,,New Orleans full timeout
5:20.0,,,99-96,2,J. Holiday makes 2-pt shot from 14 ft
5:04.0,W. Ellington misses 3-pt shot from 26 ft,,99-96,,
5:00.0,,,99-96,,Defensive rebound by A. Davis
4:55.0,Personal foul by G. Dragic (drawn by J. Holiday),,99-96,,
4:42.0,,,99-98,2,J. Holiday makes 2-pt shot from 3 ft (assist by A. Davis)
4:18.0,W. Ellington misses 2-pt shot from 8 ft,,99-98,,
4:13.0,,,99-98,,Defensive rebound by D. Miller
4:06.0,,,99-98,,A. Davis misses 3-pt shot from 25 ft
4:01.0,,,99-98,,Offensive rebound by A. Davis
3:59.0,,,99-100,2,A. Davis makes 2-pt shot at rim
3:52.0,Miami full timeout,,99-100,,
3:52.0,J. Richardson enters the game for T. Johnson,,99-100,,
3:44.0,G. Dragic misses 2-pt shot from 5 ft (block by I. Clark),,99-100,,
3:39.0,,,99-100,,Defensive rebound by I. Clark
3:32.0,,,99-102,2,J. Holiday makes 2-pt shot from 4 ft
3:17.0,,,99-102,,Personal foul by I. Clark (drawn by G. Dragic)
3:17.0,H. Whiteside enters the game for W. Ellington,,99-102,,
3:17.0,D. Wade enters the game for B. Adebayo,,99-102,,
3:03.0,J. Richardson misses 2-pt shot from 10 ft,,99-102,,
3:02.0,,,99-102,,Defensive rebound by A. Davis
3:02.0,,,99-102,,New Orleans full timeout
2:51.0,,,99-104,2,J. Holiday makes 2-pt shot from 1 ft
2:34.0,D. Wade makes 2-pt shot from 15 ft,2,101-104,,
2:21.0,,,101-106,2,A. Davis makes 2-pt shot from 22 ft
1:54.0,Shooting foul by J. Holiday (drawn by H. Whiteside),,101-106,,
1:54.0,H. Whiteside makes free throw 1 of 2,1,102-106,,
1:54.0,H. Whiteside misses free throw 2 of 2,,102-106,,
1:52.0,,,102-106,,Defensive rebound by Team
1:40.0,,,102-106,,J. Holiday misses 3-pt shot from 26 ft
1:35.0,Defensive rebound by H. Whiteside,,102-106,,
1:29.0,G. Dragic misses 2-pt shot from 3 ft,,102-106,,
1:26.0,,,102-106,,Defensive rebound by A. Davis
1:17.0,,,102-106,,D. Miller misses 3-pt shot from 24 ft
1:10.0,Defensive rebound by J. Richardson,,102-106,,
1:06.0,J. Johnson misses 2-pt shot from 1 ft,,102-106,,
1:05.0,Offensive rebound by G. Dragic,,102-106,,
1:05.0,Shooting foul by D. Miller (drawn by G. Dragic),,102-106,,
1:05.0,G. Dragic makes free throw 1 of 2,1,103-106,,
1:05.0,G. Dragic makes free throw 2 of 2,1,104-106,,
0:44.0,,,104-106,,Turnover by J. Holiday (lost ball; steal by J. Richardson)
0:34.0,Shooting foul by J. Holiday (drawn by D. Wade),,104-106,,
0:34.0,D. Wade makes free throw 1 of 2,1,105-106,,
0:34.0,D. Wade makes free throw 2 of 2,1,106-106,,
0:34.0,,,106-106,,New Orleans full timeout
0:24.0,,,106-108,2,A. Davis makes 2-pt shot from 15 ft (assist by J. Holiday)
0:23.0,Miami full timeout,,106-108,,
0:17.0,D. Wade misses 2-pt shot from 19 ft,,106-108,,
0:14.0,Offensive rebound by G. Dragic,,106-108,,
0:14.0,G. Dragic makes 2-pt shot at rim,2,108-108,,
0:14.0,,,108-108,,New Orleans full timeout
0:00.0,,,108-108,,A. Davis misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by G. Dragic,,108-108,,
0:00.0,Miami full timeout,,108-108,,
0:00.0,,,108-108,,E. Okafor enters the game for N. Mirotic
0:00.0,,,108-108,,D. Liggins enters the game for D. Miller
0:00.0,W. Ellington enters the game for H. Whiteside,,108-108,,
0:00.0,Turnover by J. Johnson (bad pass),,108-108,,
0:00.0,,,108-108,,R. Rondo enters the game for E. Okafor
0:00.0,,,108-108,,N. Mirotic enters the game for D. Liggins
0:00.0,H. Whiteside enters the game for G. Dragic,,108-108,,
0:00.0,B. Adebayo enters the game for W. Ellington,,108-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: A. Davis vs. H. Whiteside (N. Mirotic gains possession),,,,Jump ball: A. Davis vs. H. Whiteside (N. Mirotic gains possession)
4:46.0,,,108-108,,N. Mirotic misses 3-pt shot from 26 ft
4:44.0,Defensive rebound by G. Dragic,,108-108,,
4:27.0,J. Johnson makes 2-pt shot from 17 ft (assist by G. Dragic),2,110-108,,
4:14.0,,,110-110,2,J. Holiday makes 2-pt shot from 1 ft
3:57.0,G. Dragic makes 3-pt shot from 26 ft (assist by J. Johnson),3,113-110,,
3:42.0,,,113-112,2,A. Davis makes 2-pt shot from 7 ft (assist by J. Holiday)
3:42.0,,,113-112,,Shooting foul by J. Richardson (drawn by A. Davis)
3:42.0,,,113-112,,A. Davis misses free throw 1 of 1
3:40.0,Defensive rebound by H. Whiteside,,113-112,,
3:29.0,G. Dragic makes 2-pt shot from 17 ft,2,115-112,,
3:17.0,,,115-115,3,N. Mirotic makes 3-pt shot from 26 ft (assist by A. Davis)
2:59.0,,,115-115,,Personal foul by I. Clark (drawn by J. Richardson)
2:50.0,J. Johnson makes 2-pt shot from 21 ft (assist by H. Whiteside),2,117-115,,
2:34.0,,,117-115,,A. Davis misses 3-pt shot from 26 ft
2:29.0,Defensive rebound by G. Dragic,,117-115,,
2:22.0,J. Richardson misses 2-pt shot from 7 ft,,117-115,,
2:17.0,,,117-115,,Defensive rebound by E. Moore
2:02.0,,,117-115,,A. Davis misses 2-pt shot from 17 ft
1:58.0,Defensive rebound by G. Dragic,,117-115,,
1:51.0,D. Wade misses 2-pt shot from 2 ft (block by N. Mirotic),,117-115,,
1:45.0,,,117-115,,Defensive rebound by J. Holiday
1:44.0,,,117-115,,E. Moore misses 3-pt shot from 25 ft
1:43.0,,,117-115,,Offensive rebound by A. Davis
1:43.0,,,117-115,,A. Davis misses 2-pt shot at rim
1:43.0,,,117-115,,Offensive rebound by A. Davis
1:43.0,,,117-115,,Shooting foul by H. Whiteside (drawn by A. Davis)
1:43.0,T. Johnson enters the game for H. Whiteside,,117-115,,
1:43.0,,,117-116,1,A. Davis makes free throw 1 of 2
1:43.0,,,117-117,1,A. Davis makes free throw 2 of 2
1:25.0,D. Wade misses 2-pt shot from 14 ft,,117-117,,
1:22.0,,,117-117,,Defensive rebound by A. Davis
1:17.0,,,117-119,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
1:10.0,Miami full timeout,,117-119,,
1:10.0,B. Adebayo enters the game for T. Johnson,,117-119,,
0:59.0,J. Johnson makes 2-pt shot from 1 ft (assist by G. Dragic),2,119-119,,
0:48.0,,,119-119,,A. Davis misses 2-pt shot from 14 ft
0:44.0,Defensive rebound by D. Wade,,119-119,,
0:36.0,D. Wade makes 2-pt shot from 12 ft,2,121-119,,
0:35.0,,,121-119,,New Orleans full timeout
0:35.0,,,121-119,,New Orleans full timeout
0:29.0,,,121-121,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
0:29.0,,,121-121,,Shooting foul by B. Adebayo (drawn by A. Davis)
0:29.0,,,121-122,1,A. Davis makes free throw 1 of 1
0:29.0,Miami full timeout,,121-122,,
0:21.0,D. Wade makes 2-pt shot from 14 ft,2,123-122,,
0:07.0,,,123-124,2,J. Holiday makes 2-pt shot from 9 ft
0:02.0,D. Wade misses 2-pt shot from 21 ft,,123-124,,
0:02.0,Offensive rebound by J. Richardson,,123-124,,
0:00.0,J. Richardson misses 2-pt shot at rim,,123-124,,
0:00.0,,,123-124,,Defensive rebound by Team
