time,Oklahoma City,pts.away,score,pts.home,Indiana
1:54.0,R. Westbrook misses free throw 1 of 2,,95-90,,
1:54.0,Offensive rebound by Team,,95-90,,
1:54.0,J. Huestis enters the game for A. Abrines,,95-90,,
1:54.0,R. Westbrook makes free throw 2 of 2,1,96-90,,
1:41.0,,,96-92,2,V. Oladipo makes 2-pt shot from 1 ft
1:24.0,C. Anthony misses 2-pt shot from 14 ft (block by T. Young),,96-92,,
1:19.0,Offensive rebound by J. Huestis,,96-92,,
1:17.0,R. Westbrook misses 3-pt shot from 23 ft,,96-92,,
1:17.0,Offensive rebound by Team,,96-92,,
1:17.0,Turnover by Team (shot clock),,96-92,,
1:07.0,,,96-94,2,V. Oladipo makes 2-pt shot from 1 ft
0:47.0,C. Anthony misses 2-pt shot at rim,,96-94,,
0:45.0,,,96-94,,Defensive rebound by B. Bogdanovic
0:40.0,Shooting block foul by J. Huestis (drawn by T. Young),,96-94,,
0:40.0,,,96-94,,T. Young misses free throw 2 of 2
0:40.0,Defensive rebound by R. Westbrook,,96-94,,
0:40.0,,,96-95,1,T. Young makes free throw 1 of 2
0:40.0,A. Abrines enters the game for J. Huestis,,96-95,,
0:20.0,A. Abrines misses 2-pt shot from 7 ft,,96-95,,
0:17.0,Offensive rebound by R. Westbrook,,96-95,,
0:17.0,R. Westbrook misses 2-pt shot from 2 ft,,96-95,,
0:16.0,Offensive rebound by A. Abrines,,96-95,,
0:16.0,A. Abrines makes 2-pt shot from 1 ft,2,98-95,,
0:15.0,,,98-95,,Indiana full timeout
0:15.0,J. Huestis enters the game for A. Abrines,,98-95,,
0:11.0,,,98-95,,Turnover by T. Young (bad pass; steal by P. George)
0:10.0,,,98-95,,Personal take foul by T. Young (drawn by P. George)
0:10.0,P. George makes free throw 1 of 2,1,99-95,,
0:10.0,P. George makes free throw 2 of 2,1,100-95,,
0:10.0,,,100-95,,Indiana full timeout
0:06.0,,,100-95,,V. Oladipo misses 3-pt shot from 28 ft
0:06.0,Defensive rebound by Team,,100-95,,
