time,Sacramento,pts.away,score,pts.home,Oklahoma City
5:31.0,Defensive rebound by B. Bogdanovic,,26-26,,
5:10.0,B. Bogdanovic misses 2-pt shot from 18 ft,,26-26,,
5:07.0,,,26-26,,Defensive rebound by C. Anthony
4:55.0,,,26-26,,C. Anthony misses 2-pt shot from 13 ft
4:52.0,Defensive rebound by K. Koufos,,26-26,,
4:46.0,Z. Randolph misses 2-pt shot from 4 ft,,26-26,,
4:44.0,,,26-26,,Defensive rebound by C. Brewer
4:34.0,,,26-26,,R. Westbrook misses 2-pt shot from 5 ft
4:32.0,Defensive rebound by K. Koufos,,26-26,,
4:24.0,Turnover by G. Temple (bad pass; steal by C. Anthony),,26-26,,
4:20.0,,,26-28,2,C. Brewer makes 2-pt shot from 1 ft (assist by P. George)
3:58.0,B. Bogdanovic misses 3-pt shot from 25 ft,,26-28,,
3:54.0,Offensive rebound by K. Koufos,,26-28,,
3:54.0,K. Koufos misses 2-pt shot at rim,,26-28,,
3:53.0,Offensive rebound by K. Koufos,,26-28,,
3:53.0,K. Koufos makes 2-pt shot at rim,2,28-28,,
3:46.0,,,28-31,3,P. George makes 3-pt shot from 24 ft
3:25.0,Z. Randolph misses 2-pt shot from 5 ft (block by S. Adams),,28-31,,
3:22.0,,,28-31,,Defensive rebound by C. Anthony
3:15.0,,,28-31,,P. George misses 3-pt shot from 24 ft
3:15.0,,,28-31,,Offensive rebound by Team
3:15.0,Loose ball foul by K. Koufos (drawn by S. Adams),,28-31,,
3:15.0,J. Jackson enters the game for G. Temple,,28-31,,
3:15.0,V. Carter enters the game for K. Koufos,,28-31,,
3:03.0,,,28-33,2,P. George makes 2-pt shot from 1 ft
2:47.0,Z. Randolph misses 2-pt shot from 3 ft (block by C. Brewer),,28-33,,
2:47.0,Offensive rebound by Team,,28-33,,
2:44.0,Jump ball: C. Brewer vs. Z. Randolph (V. Carter gains possession),,,,Jump ball: C. Brewer vs. Z. Randolph (V. Carter gains possession)
2:42.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by V. Carter),3,31-33,,
2:24.0,,,31-33,,Shooting foul by V. Carter (drawn by C. Anthony)
2:24.0,,,31-34,1,C. Anthony makes free throw 1 of 2
2:24.0,,,31-35,1,C. Anthony makes free throw 2 of 2
2:07.0,V. Carter makes 2-pt shot at rim,2,33-35,,
1:59.0,,,33-35,,C. Brewer misses 2-pt shot from 15 ft
1:54.0,,,33-35,,Offensive rebound by S. Adams
1:54.0,,,33-35,,S. Adams misses 2-pt shot at rim
1:53.0,,,33-35,,Offensive rebound by S. Adams
1:53.0,,,33-37,2,C. Anthony makes 2-pt shot from 13 ft (assist by S. Adams)
