time,Phoenix,pts.away,score,pts.home,Cleveland
3:41.0,Defensive rebound by E. Payton,,85-113,,
3:34.0,E. Payton makes 2-pt shot from 10 ft,2,87-113,,
3:16.0,,,87-113,,J. Clarkson misses 2-pt shot at rim
3:15.0,,,87-113,,Offensive rebound by J. Clarkson
3:15.0,,,87-113,,J. Clarkson misses 2-pt shot at rim
3:14.0,,,87-113,,Offensive rebound by T. Thompson
3:13.0,,,87-113,,T. Thompson misses 2-pt shot at rim
3:12.0,Defensive rebound by T. Daniels,,87-113,,
3:10.0,,,87-113,,Personal foul by G. Hill (drawn by J. Jackson)
3:10.0,,,87-113,,J. Holland enters the game for G. Hill
3:10.0,,,87-113,,L. Perrantes enters the game for J. Smith
3:10.0,T. Ulis enters the game for E. Payton,,87-113,,
3:10.0,S. Harrison enters the game for J. Jackson,,87-113,,
3:10.0,D. Reed enters the game for T. Daniels,,87-113,,
2:54.0,S. Harrison makes 2-pt shot at rim (assist by A. Len),2,89-113,,
2:44.0,,,89-113,,J. Holland misses 3-pt shot from 26 ft
2:44.0,Defensive rebound by M. Chriss,,89-113,,
2:30.0,D. Reed misses 2-pt shot from 22 ft,,89-113,,
2:30.0,,,89-113,,Defensive rebound by T. Thompson
2:05.0,,,89-115,2,T. Thompson makes 2-pt shot from 3 ft
1:58.0,A. Len makes 2-pt shot from 3 ft (assist by T. Ulis),2,91-115,,
1:58.0,Shooting foul by A. Zizic (drawn by A. Len),,91-115,,
1:58.0,A. Len misses free throw 1 of 1,,91-115,,
1:55.0,,,91-115,,Defensive rebound by T. Thompson
1:47.0,,,91-115,,Turnover by J. Holland (bad pass; steal by T. Ulis)
1:44.0,S. Harrison makes 2-pt shot from 1 ft (assist by T. Ulis),2,93-115,,
1:31.0,,,93-117,2,A. Zizic makes 2-pt shot from 16 ft (assist by J. Clarkson)
1:21.0,M. Chriss misses 3-pt shot from 26 ft,,93-117,,
1:21.0,,,93-117,,Defensive rebound by A. Zizic
1:10.0,,,93-117,,L. Perrantes misses 2-pt shot from 3 ft (block by T. Ulis)
1:10.0,,,93-117,,Offensive rebound by T. Thompson
1:05.0,,,93-117,,T. Thompson misses 2-pt shot from 10 ft
1:05.0,Defensive rebound by M. Chriss,,93-117,,
1:02.0,,,93-117,,Personal foul by L. Perrantes (drawn by M. Chriss)
1:02.0,M. Chriss makes free throw 1 of 2,1,94-117,,
1:02.0,M. Chriss makes free throw 2 of 2,1,95-117,,
0:47.0,,,95-119,2,A. Zizic makes 2-pt shot from 7 ft
0:31.0,T. Ulis misses 3-pt shot from 26 ft,,95-119,,
0:31.0,,,95-119,,Defensive rebound by L. Perrantes
0:22.0,,,95-119,,Shooting foul by S. Harrison (drawn by L. Perrantes)
0:22.0,,,95-119,,L. Perrantes misses free throw 1 of 3
0:22.0,,,95-119,,Offensive rebound by Team
0:22.0,,,95-120,1,L. Perrantes makes free throw 2 of 3
0:22.0,,,95-120,,L. Perrantes misses free throw 3 of 3
0:16.0,,,95-120,,Offensive rebound by T. Thompson
