time,Detroit,pts.away,score,pts.home,Memphis
3:20.0,,,104-117,,Loose ball foul by D. Brooks (drawn by I. Smith)
3:12.0,Shooting foul by B. McLemore (drawn by L. Kennard),,104-117,,
3:12.0,L. Kennard makes free throw 1 of 2,1,105-117,,
3:12.0,L. Kennard makes free throw 2 of 2,1,106-117,,
2:57.0,,,106-117,,Shooting foul by A. Tolliver (drawn by D. Brooks)
2:57.0,,,106-118,1,D. Brooks makes free throw 1 of 2
2:57.0,,,106-119,1,D. Brooks makes free throw 2 of 2
2:48.0,S. Johnson makes 3-pt shot from 22 ft (assist by I. Smith),3,109-119,,
2:40.0,,,109-119,,Turnover by D. Brooks (bad pass; steal by I. Smith)
2:36.0,L. Kennard makes 3-pt shot from 25 ft (assist by I. Smith),3,112-119,,
2:35.0,,,112-119,,Memphis full timeout
2:35.0,,,112-119,,M. Brooks enters the game for B. McLemore
2:19.0,,,112-121,2,M. Brooks makes 2-pt shot from 10 ft (assist by D. Brooks)
2:07.0,I. Smith misses 3-pt shot from 25 ft,,112-121,,
2:05.0,,,112-121,,Defensive rebound by Team
1:46.0,,,112-124,3,D. Brooks makes 3-pt shot from 27 ft (assist by M. Gasol)
1:35.0,A. Tolliver makes 3-pt shot from 26 ft (assist by L. Kennard),3,115-124,,
1:22.0,,,115-126,2,M. Gasol makes 2-pt shot from 1 ft (assist by D. Davis)
1:17.0,I. Smith misses 2-pt shot from 4 ft,,115-126,,
1:17.0,Offensive rebound by A. Drummond,,115-126,,
1:17.0,A. Drummond makes 2-pt shot at rim,2,117-126,,
1:06.0,,,117-126,,Shooting foul by A. Drummond (drawn by D. Brooks)
1:06.0,,,117-127,1,D. Brooks makes free throw 1 of 2
1:06.0,,,117-127,,I. Rabb enters the game for M. Gasol
1:06.0,,,117-127,,D. Brooks misses free throw 2 of 2
1:03.0,Defensive rebound by A. Drummond,,117-127,,
0:59.0,S. Johnson misses 2-pt shot at rim,,117-127,,
0:55.0,Offensive rebound by S. Johnson,,117-127,,
0:54.0,S. Johnson misses 2-pt shot from 3 ft (block by I. Rabb),,117-127,,
0:51.0,Offensive rebound by S. Johnson,,117-127,,
0:50.0,I. Smith misses 3-pt shot from 26 ft,,117-127,,
0:50.0,,,117-127,,Defensive rebound by D. Davis
0:28.0,,,117-130,3,M. Brooks makes 3-pt shot from 26 ft
0:20.0,S. Johnson misses 3-pt shot from 28 ft,,117-130,,
0:16.0,Offensive rebound by A. Drummond,,117-130,,
0:16.0,A. Drummond misses 2-pt shot at rim,,117-130,,
0:16.0,,,117-130,,Defensive rebound by K. Simmons
