time,Minnesota,pts.away,score,pts.home,Toronto
1:20.0,Defensive rebound by K. Towns,,98-103,,
1:01.0,A. Wiggins makes 3-pt shot from 24 ft (assist by K. Towns),3,101-103,,
1:01.0,,,101-103,,Toronto full timeout
0:41.0,,,101-105,2,D. DeRozan makes 2-pt shot from 8 ft (assist by F. VanVleet)
0:41.0,Minnesota full timeout,,101-105,,
0:23.0,A. Wiggins misses 3-pt shot from 25 ft,,101-105,,
0:19.0,,,101-105,,Defensive rebound by D. DeRozan
0:19.0,Personal take foul by J. Butler (drawn by D. DeRozan),,101-105,,
0:19.0,,,101-106,1,D. DeRozan makes free throw 1 of 2
0:19.0,,,101-107,1,D. DeRozan makes free throw 2 of 2
0:15.0,A. Wiggins misses 3-pt shot from 26 ft,,101-107,,
0:12.0,,,101-107,,Defensive rebound by J. Valanciunas
0:12.0,Personal take foul by K. Towns (drawn by J. Valanciunas),,101-107,,
0:12.0,,,101-108,1,J. Valanciunas makes free throw 1 of 2
0:12.0,,,101-109,1,J. Valanciunas makes free throw 2 of 2
0:03.0,J. Butler makes 3-pt shot from 25 ft (assist by A. Wiggins),3,104-109,,
