time,Toronto,pts.away,score,pts.home,LA Clippers
5:50.0,,,81-77,3,M. Teodosic makes 3-pt shot from 25 ft (assist by L. Williams)
5:38.0,Shooting foul by D. Jordan (drawn by K. Lowry),,81-77,,
5:38.0,K. Lowry makes free throw 1 of 2,1,82-77,,
5:38.0,K. Lowry misses free throw 2 of 2,,82-77,,
5:35.0,,,82-77,,Defensive rebound by D. Jordan
5:16.0,,,82-80,3,A. Rivers makes 3-pt shot from 26 ft
4:55.0,K. Lowry misses 3-pt shot from 26 ft,,82-80,,
4:53.0,,,82-80,,Defensive rebound by L. Williams
4:37.0,,,82-80,,Shooting foul by S. Ibaka (drawn by S. Dekker)
4:37.0,,,82-81,1,S. Dekker makes free throw 1 of 2
4:37.0,,,82-82,1,S. Dekker makes free throw 2 of 2
4:22.0,D. DeRozan misses 2-pt shot from 13 ft,,82-82,,
4:20.0,,,82-82,,Defensive rebound by M. Teodosic
4:07.0,,,82-82,,M. Teodosic misses 3-pt shot from 26 ft
4:05.0,Defensive rebound by J. Valanciunas,,82-82,,
4:00.0,K. Lowry makes 2-pt shot from 1 ft,2,84-82,,
3:39.0,,,84-84,2,D. Jordan makes 2-pt shot from 1 ft (assist by S. Dekker)
3:38.0,Toronto full timeout,,84-84,,
3:38.0,O. Anunoby enters the game for J. Valanciunas,,84-84,,
3:35.0,Turnover by K. Lowry (bad pass),,84-84,,
3:22.0,,,84-86,2,A. Rivers makes 2-pt shot from 1 ft
3:02.0,S. Ibaka misses 3-pt shot from 24 ft,,84-86,,
2:59.0,,,84-86,,Defensive rebound by S. Dekker
2:46.0,,,84-86,,M. Teodosic misses 3-pt shot from 26 ft
2:42.0,Defensive rebound by F. VanVleet,,84-86,,
2:26.0,D. DeRozan misses 2-pt shot from 19 ft,,84-86,,
2:26.0,,,84-86,,Defensive rebound by Team
2:10.0,,,84-86,,A. Rivers misses 3-pt shot from 27 ft
2:07.0,Defensive rebound by S. Ibaka,,84-86,,
2:02.0,S. Ibaka misses 2-pt shot from 17 ft,,84-86,,
1:58.0,,,84-86,,Defensive rebound by D. Jordan
1:47.0,Personal take foul by S. Ibaka (drawn by D. Jordan),,84-86,,
1:34.0,,,84-86,,S. Dekker misses 3-pt shot from 25 ft
1:32.0,Defensive rebound by D. DeRozan,,84-86,,
1:22.0,S. Ibaka misses 2-pt shot from 16 ft,,84-86,,
1:10.0,,,84-86,,Defensive rebound by L. Williams
0:59.0,,,84-86,,L. Williams misses 2-pt shot from 9 ft
0:59.0,,,84-86,,Offensive rebound by D. Jordan
0:59.0,,,84-88,2,D. Jordan makes 2-pt shot at rim
0:59.0,Toronto full timeout,,84-88,,
0:59.0,C. Miles enters the game for O. Anunoby,,84-88,,
0:53.0,K. Lowry makes 2-pt shot from 2 ft,2,86-88,,
0:53.0,Shooting foul by L. Williams (drawn by K. Lowry),,86-88,,
0:53.0,J. Valanciunas enters the game for C. Miles,,86-88,,
0:53.0,K. Lowry makes free throw 1 of 1,1,87-88,,
0:40.0,,,87-91,3,M. Teodosic makes 3-pt shot from 26 ft (assist by D. Jordan)
0:40.0,Toronto full timeout,,87-91,,
0:40.0,,,87-91,,C. Williams enters the game for M. Teodosic
0:40.0,,,87-91,,S. Thornwell enters the game for L. Williams
0:40.0,C. Miles enters the game for J. Valanciunas,,87-91,,
0:35.0,Shooting foul by D. Jordan (drawn by K. Lowry),,87-91,,
0:35.0,K. Lowry misses free throw 1 of 2,,87-91,,
0:35.0,Offensive rebound by Team,,87-91,,
0:35.0,,,87-91,,M. Harrell enters the game for S. Thornwell
0:35.0,O. Anunoby enters the game for C. Miles,,87-91,,
0:35.0,K. Lowry makes free throw 2 of 2,1,88-91,,
0:35.0,,,88-91,,LA Clippers full timeout
0:35.0,,,88-91,,L. Williams enters the game for C. Williams
0:35.0,,,88-91,,M. Teodosic enters the game for M. Harrell
0:17.0,,,88-91,,Shooting foul by F. VanVleet (drawn by L. Williams)
0:17.0,,,88-92,1,L. Williams makes free throw 1 of 2
0:17.0,,,88-92,,S. Thornwell enters the game for S. Dekker
0:17.0,,,88-92,,C. Williams enters the game for M. Teodosic
0:17.0,C. Miles enters the game for O. Anunoby,,88-92,,
0:17.0,,,88-93,1,L. Williams makes free throw 2 of 2
0:09.0,C. Miles makes 3-pt shot from 25 ft (assist by D. DeRozan),3,91-93,,
0:09.0,,,91-93,,LA Clippers full timeout
0:09.0,,,91-93,,S. Dekker enters the game for S. Thornwell
0:09.0,,,91-93,,M. Teodosic enters the game for C. Williams
0:09.0,O. Anunoby enters the game for C. Miles,,91-93,,
0:07.0,Personal take foul by O. Anunoby (drawn by S. Dekker),,91-93,,
0:07.0,,,91-94,1,S. Dekker makes free throw 1 of 2
0:07.0,,,91-94,,C. Williams enters the game for L. Williams
0:07.0,,,91-94,,S. Thornwell enters the game for M. Teodosic
0:07.0,C. Miles enters the game for O. Anunoby,,91-94,,
0:07.0,,,91-94,,S. Dekker misses free throw 2 of 2
0:03.0,,,91-94,,Offensive rebound by D. Jordan
0:03.0,Personal take foul by F. VanVleet (drawn by C. Williams),,91-94,,
0:03.0,,,91-95,1,C. Williams makes free throw 1 of 2
0:03.0,,,91-96,1,C. Williams makes free throw 2 of 2
0:02.0,Turnover by C. Miles (bad pass),,91-96,,
