time,LA Lakers,pts.away,score,pts.home,Toronto
9:42.0,,,84-96,,Shooting foul by L. Nance (drawn by D. Wright)
9:42.0,,,84-96,,D. Wright misses free throw 1 of 2
9:42.0,,,84-96,,Offensive rebound by Team
9:42.0,,,84-97,1,D. Wright makes free throw 2 of 2
9:31.0,L. Nance makes 2-pt shot from 1 ft (assist by J. Clarkson),2,86-97,,
9:05.0,,,86-100,3,C. Miles makes 3-pt shot from 25 ft (assist by F. VanVleet)
8:43.0,K. Kuzma misses 3-pt shot from 23 ft,,86-100,,
8:40.0,Offensive rebound by L. Nance,,86-100,,
8:38.0,J. Clarkson misses 3-pt shot from 26 ft,,86-100,,
8:33.0,,,86-100,,Defensive rebound by P. Siakam
8:30.0,,,86-103,3,D. Wright makes 3-pt shot from 26 ft (assist by P. Siakam)
8:29.0,LA Lakers full timeout,,86-103,,
8:29.0,B. Ingram enters the game for N. Hayes,,86-103,,
8:07.0,J. Hart misses 3-pt shot from 27 ft,,86-103,,
8:03.0,Offensive rebound by J. Hart,,86-103,,
8:02.0,Turnover by J. Hart (bad pass),,86-103,,
7:50.0,,,86-103,,D. Wright misses 2-pt shot from 1 ft (block by B. Ingram)
7:48.0,Defensive rebound by L. Nance,,86-103,,
7:38.0,J. Clarkson misses 3-pt shot from 25 ft,,86-103,,
7:34.0,,,86-103,,Defensive rebound by P. Siakam
7:20.0,,,86-106,3,C. Miles makes 3-pt shot from 22 ft (assist by F. VanVleet)
7:01.0,Offensive charge foul by J. Clarkson (drawn by J. Poeltl),,86-106,,
7:01.0,Turnover by J. Clarkson (offensive foul),,86-106,,
7:01.0,K. Caldwell-Pope enters the game for J. Hart,,86-106,,
6:47.0,,,86-106,,Turnover by J. Poeltl (lost ball; steal by L. Nance)
6:39.0,J. Clarkson makes 2-pt shot from 10 ft (assist by L. Nance),2,88-106,,
6:24.0,,,88-108,2,F. VanVleet makes 2-pt shot from 2 ft
6:16.0,Turnover by K. Kuzma (bad pass; steal by F. VanVleet),,88-108,,
6:10.0,,,88-110,2,F. VanVleet makes 2-pt shot at rim
6:10.0,LA Lakers full timeout,,88-110,,
6:10.0,A. Caruso enters the game for K. Kuzma,,88-110,,
6:10.0,N. Hayes enters the game for J. Clarkson,,88-110,,
5:58.0,L. Nance makes 2-pt shot from 3 ft (assist by A. Caruso),2,90-110,,
5:34.0,,,90-110,,C. Miles misses 3-pt shot from 25 ft
5:31.0,Defensive rebound by L. Nance,,90-110,,
5:26.0,N. Hayes misses 3-pt shot from 23 ft,,90-110,,
5:23.0,,,90-110,,Defensive rebound by F. VanVleet
5:19.0,,,90-112,2,F. VanVleet makes 2-pt shot at rim
5:01.0,A. Caruso makes 2-pt shot from 3 ft (assist by B. Ingram),2,92-112,,
4:48.0,,,92-112,,Turnover by J. Poeltl (lost ball; steal by B. Ingram)
4:41.0,K. Caldwell-Pope makes 2-pt shot from 19 ft (assist by N. Hayes),2,94-112,,
4:13.0,,,94-112,,F. VanVleet misses 2-pt shot from 20 ft
4:11.0,Defensive rebound by L. Nance,,94-112,,
4:00.0,A. Caruso makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,97-112,,
3:35.0,,,97-114,2,J. Poeltl makes 2-pt shot at rim (assist by P. Siakam)
3:13.0,B. Ingram makes 2-pt shot from 16 ft,2,99-114,,
2:54.0,,,99-114,,C. Miles misses 3-pt shot from 28 ft
2:51.0,Defensive rebound by K. Caldwell-Pope,,99-114,,
2:41.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by N. Hayes),3,102-114,,
2:32.0,,,102-114,,Toronto full timeout
2:22.0,,,102-114,,F. VanVleet misses 2-pt shot from 3 ft
2:20.0,Defensive rebound by K. Caldwell-Pope,,102-114,,
2:16.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,102-114,,
2:14.0,,,102-114,,Defensive rebound by P. Siakam
2:05.0,,,102-114,,Shooting foul by A. Caruso (drawn by D. Wright)
2:05.0,,,102-115,1,D. Wright makes free throw 1 of 2
2:05.0,,,102-116,1,D. Wright makes free throw 2 of 2
1:53.0,K. Caldwell-Pope misses 2-pt shot from 9 ft,,102-116,,
1:49.0,Offensive rebound by L. Nance,,102-116,,
1:49.0,L. Nance makes 2-pt shot from 2 ft,2,104-116,,
1:34.0,Personal foul by L. Nance (drawn by J. Poeltl),,104-116,,
1:34.0,J. Hart enters the game for K. Caldwell-Pope,,104-116,,
1:34.0,T. Ennis enters the game for B. Ingram,,104-116,,
1:21.0,,,104-119,3,F. VanVleet makes 3-pt shot from 27 ft
1:13.0,A. Caruso makes 2-pt shot from 12 ft,2,106-119,,
0:58.0,,,106-121,2,F. VanVleet makes 2-pt shot from 2 ft (assist by P. Siakam)
0:43.0,A. Caruso makes 2-pt shot from 9 ft (assist by L. Nance),2,108-121,,
0:25.0,,,108-123,2,F. VanVleet makes 2-pt shot from 1 ft
0:20.0,A. Caruso misses 3-pt shot from 31 ft,,108-123,,
0:17.0,Offensive rebound by A. Caruso,,108-123,,
0:14.0,N. Hayes misses 3-pt shot from 22 ft,,108-123,,
0:14.0,,,108-123,,Defensive rebound by P. Siakam
0:09.0,,,108-123,,Turnover by P. Siakam (lost ball; steal by A. Caruso)
0:08.0,N. Hayes makes 2-pt shot from 1 ft (assist by A. Caruso),2,110-123,,
0:08.0,Shooting foul by F. VanVleet (drawn by N. Hayes),,110-123,,
0:08.0,N. Hayes makes free throw 1 of 1,1,111-123,,
