time,Denver,pts.away,score,pts.home,Atlanta
4:14.0,,,93-86,1,D. Schroder makes free throw 1 of 2
4:14.0,,,93-87,1,D. Schroder makes free throw 2 of 2
4:14.0,Denver full timeout,,93-87,,
3:59.0,M. Plumlee misses 2-pt shot from 10 ft,,93-87,,
3:56.0,,,93-87,,Defensive rebound by E. Ilyasova
3:37.0,,,93-87,,Turnover by M. Belinelli (bad pass; steal by W. Barton)
3:23.0,P. Millsap makes 2-pt shot from 4 ft (assist by W. Barton),2,95-87,,
3:03.0,,,95-89,2,D. Schroder makes 2-pt shot from 9 ft
2:45.0,P. Millsap makes 2-pt shot from 1 ft (assist by M. Plumlee),2,97-89,,
2:24.0,,,97-89,,M. Belinelli misses 3-pt shot from 27 ft
2:19.0,,,97-89,,Offensive rebound by D. Schroder
2:17.0,,,97-92,3,M. Belinelli makes 3-pt shot from 25 ft (assist by D. Dedmon)
1:53.0,M. Plumlee makes 2-pt shot from 1 ft (assist by W. Barton),2,99-92,,
1:43.0,Denver full timeout,,99-92,,
1:43.0,N. Jokic enters the game for M. Plumlee,,99-92,,
1:42.0,,,99-94,2,T. Waller-Prince makes 2-pt shot from 5 ft (assist by D. Schroder)
1:33.0,P. Millsap makes 2-pt shot from 11 ft (assist by N. Jokic),2,101-94,,
1:28.0,,,101-94,,Shooting foul by P. Millsap (drawn by D. Dedmon)
1:28.0,,,101-95,1,D. Dedmon makes free throw 1 of 2
1:28.0,,,101-96,1,D. Dedmon makes free throw 2 of 2
1:23.0,Turnover by W. Barton (lost ball; steal by D. Schroder),,101-96,,
1:22.0,,,101-98,2,D. Schroder makes 2-pt shot from 1 ft
1:06.0,,,101-98,,Violation by D. Dedmon (kicked ball)
1:01.0,N. Jokic makes 2-pt shot from 19 ft (assist by E. Mudiay),2,103-98,,
0:49.0,,,103-98,,Turnover by T. Waller-Prince (lost ball; steal by W. Barton)
0:46.0,Turnover by W. Barton (out of bounds lost ball),,103-98,,
0:46.0,W. Chandler enters the game for N. Jokic,,103-98,,
0:34.0,,,103-98,,T. Waller-Prince misses 3-pt shot from 23 ft
0:29.0,Defensive rebound by W. Barton,,103-98,,
0:26.0,,,103-98,,Personal foul by E. Ilyasova (drawn by W. Barton)
0:26.0,,,103-98,,K. Bazemore enters the game for M. Belinelli
0:26.0,,,103-98,,I. Taylor enters the game for E. Ilyasova
0:26.0,N. Jokic enters the game for W. Chandler,,103-98,,
0:23.0,,,103-98,,Personal take foul by T. Waller-Prince (drawn by P. Millsap)
0:23.0,P. Millsap misses free throw 1 of 2,,103-98,,
0:23.0,Offensive rebound by Team,,103-98,,
0:23.0,,,103-98,,E. Ilyasova enters the game for I. Taylor
0:23.0,W. Chandler enters the game for N. Jokic,,103-98,,
0:23.0,P. Millsap makes free throw 2 of 2,1,104-98,,
0:23.0,,,104-98,,Atlanta full timeout
0:23.0,,,104-98,,M. Belinelli enters the game for D. Schroder
0:23.0,,,104-98,,M. Muscala enters the game for K. Bazemore
0:20.0,,,104-100,2,T. Waller-Prince makes 2-pt shot from 2 ft
0:20.0,Denver full timeout,,104-100,,
0:20.0,,,104-100,,D. Schroder enters the game for E. Ilyasova
0:20.0,,,104-100,,I. Taylor enters the game for M. Belinelli
0:20.0,,,104-100,,K. Bazemore enters the game for M. Muscala
0:20.0,N. Jokic enters the game for E. Mudiay,,104-100,,
0:20.0,J. Murray enters the game for W. Chandler,,104-100,,
0:19.0,,,104-100,,Personal take foul by I. Taylor (drawn by G. Harris)
0:19.0,G. Harris makes free throw 1 of 2,1,105-100,,
0:19.0,,,105-100,,M. Belinelli enters the game for I. Taylor
0:19.0,E. Mudiay enters the game for N. Jokic,,105-100,,
0:19.0,W. Chandler enters the game for J. Murray,,105-100,,
0:19.0,G. Harris misses free throw 2 of 2,,105-100,,
0:17.0,,,105-100,,Defensive rebound by T. Waller-Prince
0:08.0,,,105-100,,T. Waller-Prince misses 2-pt shot from 18 ft
0:05.0,,,105-100,,Offensive rebound by K. Bazemore
0:04.0,,,105-100,,K. Bazemore misses 3-pt shot from 23 ft
0:04.0,Defensive rebound by Team,,105-100,,
