time,Washington,pts.away,score,pts.home,Memphis
5:57.0,M. Morris enters the game for I. Mahinmi,,91-82,,
5:57.0,M. Gortat enters the game for M. Scott,,91-82,,
5:45.0,,,91-82,,Shooting foul by M. Morris (drawn by J. Ennis)
5:45.0,,,91-83,1,J. Ennis makes free throw 1 of 2
5:45.0,,,91-84,1,J. Ennis makes free throw 2 of 2
5:28.0,,,91-84,,Personal foul by B. McLemore (drawn by B. Beal)
5:23.0,Shooting foul by B. McLemore (drawn by B. Beal),,91-84,,
5:23.0,B. Beal makes free throw 1 of 2,1,92-84,,
5:23.0,B. Beal makes free throw 2 of 2,1,93-84,,
5:06.0,,,93-84,,Turnover by J. Ennis (bad pass; steal by J. Wall)
4:50.0,J. Wall misses 2-pt shot from 15 ft (block by J. Ennis),,93-84,,
4:47.0,Offensive rebound by J. Wall,,93-84,,
4:45.0,B. Beal misses 3-pt shot from 26 ft,,93-84,,
4:43.0,,,93-84,,Defensive rebound by Team
4:43.0,,,93-84,,J. Green enters the game for B. Wright
4:20.0,,,93-84,,Turnover by M. Gasol (lost ball; steal by J. Wall)
4:17.0,Shooting foul by B. McLemore (drawn by B. Beal),,93-84,,
4:17.0,B. Beal makes free throw 1 of 2,1,94-84,,
4:17.0,B. Beal makes free throw 2 of 2,1,95-84,,
4:07.0,,,95-84,,M. Chalmers misses 3-pt shot from 25 ft
4:01.0,Defensive rebound by M. Morris,,95-84,,
3:51.0,M. Gortat misses 2-pt shot from 1 ft (block by M. Gasol),,95-84,,
3:48.0,,,95-84,,Defensive rebound by M. Chalmers
3:48.0,,,95-84,,Shooting foul by M. Morris (drawn by J. Ennis)
3:48.0,,,95-84,,J. Ennis misses free throw 1 of 2
3:48.0,,,95-84,,Offensive rebound by Team
3:48.0,,,95-84,,T. Evans enters the game for B. McLemore
3:48.0,,,95-85,1,J. Ennis makes free throw 2 of 2
3:23.0,J. Wall misses 2-pt shot from 16 ft,,95-85,,
3:19.0,,,95-85,,Defensive rebound by M. Chalmers
3:12.0,,,95-85,,T. Evans misses 3-pt shot from 26 ft
3:07.0,,,95-85,,Offensive rebound by J. Ennis
3:07.0,,,95-87,2,J. Ennis makes 2-pt shot at rim
2:50.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,97-87,,
2:38.0,,,97-89,2,M. Gasol makes 2-pt shot at rim (assist by T. Evans)
2:13.0,J. Wall misses 3-pt shot from 27 ft,,97-89,,
2:12.0,,,97-89,,Defensive rebound by Team
2:12.0,,,97-89,,Memphis full timeout
2:01.0,,,97-91,2,T. Evans makes 2-pt shot at rim
1:36.0,B. Beal misses 2-pt shot from 17 ft,,97-91,,
1:36.0,Offensive rebound by Team,,97-91,,
1:36.0,Turnover by Team (shot clock),,97-91,,
1:19.0,,,97-94,3,J. Green makes 3-pt shot from 23 ft (assist by M. Gasol)
1:00.0,J. Wall misses 2-pt shot from 21 ft,,97-94,,
0:56.0,,,97-94,,Defensive rebound by M. Gasol
0:51.0,,,97-94,,M. Chalmers misses 2-pt shot from 6 ft
0:45.0,Defensive rebound by M. Morris,,97-94,,
0:30.0,,,97-94,,Personal foul by T. Evans (drawn by M. Gortat)
0:30.0,M. Gortat misses free throw 1 of 2,,97-94,,
0:30.0,Offensive rebound by Team,,97-94,,
0:30.0,M. Gortat makes free throw 2 of 2,1,98-94,,
0:30.0,,,98-94,,Memphis full timeout
0:30.0,,,98-94,,Memphis full timeout
0:27.0,,,98-94,,T. Evans misses 3-pt shot from 26 ft
0:24.0,,,98-94,,Offensive rebound by Team
0:20.0,Personal foul by M. Gortat (drawn by M. Gasol),,98-94,,
0:18.0,,,98-97,3,T. Evans makes 3-pt shot from 25 ft (assist by M. Chalmers)
0:17.0,Washington full timeout,,98-97,,
0:17.0,M. Scott enters the game for M. Gortat,,98-97,,
0:13.0,,,98-97,,Personal foul by M. Chalmers (drawn by B. Beal)
0:13.0,B. Beal makes free throw 1 of 2,1,99-97,,
0:13.0,K. Oubre enters the game for M. Scott,,99-97,,
0:13.0,B. Beal makes free throw 2 of 2,1,100-97,,
0:05.0,,,100-97,,T. Evans misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by M. Morris,,100-97,,
0:03.0,,,100-97,,Personal foul by M. Gasol (drawn by M. Morris)
0:03.0,M. Morris makes free throw 1 of 2,1,101-97,,
0:03.0,M. Morris makes free throw 2 of 2,1,102-97,,
0:00.0,,,102-100,3,T. Evans makes 3-pt shot from 27 ft (assist by J. Green)
