time,Toronto,pts.away,score,pts.home,Houston
8:59.0,,,108-100,1,J. Harden makes free throw 3 of 3
8:45.0,,,108-100,,Personal foul by J. Harden (drawn by F. VanVleet)
8:38.0,F. VanVleet misses 2-pt shot from 1 ft,,108-100,,
8:33.0,,,108-100,,Defensive rebound by R. Anderson
8:20.0,,,108-102,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
7:59.0,F. VanVleet misses 2-pt shot from 4 ft,,108-102,,
7:57.0,,,108-102,,Defensive rebound by C. Capela
7:55.0,,,108-102,,Offensive charge foul by J. Harden (drawn by D. Wright)
7:55.0,,,108-102,,Turnover by J. Harden (offensive foul)
7:55.0,D. DeRozan enters the game for F. VanVleet,,108-102,,
7:55.0,S. Ibaka enters the game for J. Valanciunas,,108-102,,
7:55.0,,,108-102,,T. Ariza enters the game for J. Harden
7:37.0,D. DeRozan misses 2-pt shot from 15 ft,,108-102,,
7:34.0,,,108-102,,Defensive rebound by T. Ariza
7:23.0,,,108-102,,Shooting foul by S. Ibaka (drawn by R. Anderson)
7:23.0,,,108-103,1,R. Anderson makes free throw 1 of 2
7:23.0,,,108-103,,R. Anderson misses free throw 2 of 2
7:19.0,,,108-103,,Offensive rebound by C. Capela
7:11.0,,,108-103,,Turnover by E. Gordon (lost ball; steal by O. Anunoby)
7:09.0,Shooting foul by E. Gordon (drawn by D. Wright),,108-103,,
7:09.0,D. Wright makes free throw 1 of 2,1,109-103,,
7:09.0,D. Wright misses free throw 2 of 2,,109-103,,
7:09.0,,,109-103,,Defensive rebound by T. Ariza
6:56.0,,,109-103,,E. Gordon misses 2-pt shot from 2 ft (block by S. Ibaka)
6:56.0,,,109-103,,Offensive rebound by Team
6:56.0,,,109-103,,Houston full timeout
6:53.0,Jump ball: C. Capela vs. S. Ibaka (E. Gordon gains possession),,,,Jump ball: C. Capela vs. S. Ibaka (E. Gordon gains possession)
6:53.0,Turnover by S. Ibaka (turnover; steal by C. Capela),,109-103,,
6:38.0,,,109-103,,L. Mbah a Moute misses 3-pt shot from 24 ft
6:34.0,Defensive rebound by D. DeRozan,,109-103,,
6:25.0,O. Anunoby makes 3-pt shot from 23 ft (assist by K. Lowry),3,112-103,,
6:11.0,,,112-103,,Offensive foul by E. Gordon (drawn by D. Wright)
6:11.0,,,112-103,,Turnover by E. Gordon (offensive foul)
6:11.0,,,112-103,,J. Harden enters the game for L. Mbah a Moute
5:58.0,D. Wright makes 2-pt shot from 3 ft,2,114-103,,
5:39.0,,,114-103,,Turnover by J. Harden (bad pass; steal by K. Lowry)
5:35.0,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry),2,116-103,,
5:19.0,,,116-103,,J. Harden misses 2-pt shot from 5 ft
5:16.0,Defensive rebound by S. Ibaka,,116-103,,
5:01.0,K. Lowry misses 3-pt shot from 27 ft,,116-103,,
4:59.0,,,116-103,,Defensive rebound by C. Capela
4:50.0,,,116-103,,E. Gordon misses 3-pt shot from 30 ft
4:47.0,,,116-103,,Offensive rebound by R. Anderson
4:44.0,Personal foul by O. Anunoby (drawn by E. Gordon),,116-103,,
4:42.0,,,116-106,3,J. Harden makes 3-pt shot from 22 ft (assist by T. Ariza)
4:42.0,,,116-106,,Shooting foul by O. Anunoby (drawn by J. Harden)
4:42.0,,,116-106,,L. Mbah a Moute enters the game for R. Anderson
4:42.0,,,116-107,1,J. Harden makes free throw 1 of 1
4:21.0,D. DeRozan misses 3-pt shot from 28 ft,,116-107,,
4:18.0,,,116-107,,Defensive rebound by J. Harden
4:15.0,,,116-107,,E. Gordon misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by D. Wright,,116-107,,
4:10.0,Toronto full timeout,,116-107,,
3:58.0,D. DeRozan makes 2-pt shot from 6 ft,2,118-107,,
3:39.0,,,118-107,,E. Gordon misses 3-pt shot from 25 ft
3:36.0,Defensive rebound by S. Ibaka,,118-107,,
3:14.0,S. Ibaka makes 2-pt shot at rim (assist by D. Wright),2,120-107,,
3:01.0,,,120-107,,J. Harden misses 3-pt shot from 24 ft
2:59.0,Defensive rebound by D. DeRozan,,120-107,,
2:48.0,D. DeRozan misses 2-pt shot from 9 ft,,120-107,,
2:45.0,,,120-107,,Defensive rebound by T. Ariza
2:35.0,,,120-110,3,T. Ariza makes 3-pt shot from 24 ft (assist by C. Capela)
2:11.0,K. Lowry misses 3-pt shot from 24 ft,,120-110,,
2:08.0,,,120-110,,Defensive rebound by T. Ariza
2:02.0,,,120-110,,J. Harden misses 2-pt shot from 1 ft
2:00.0,Defensive rebound by K. Lowry,,120-110,,
1:57.0,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry),2,122-110,,
1:38.0,,,122-110,,J. Harden misses 2-pt shot from 1 ft (block by S. Ibaka)
1:37.0,Defensive rebound by D. Wright,,122-110,,
1:33.0,Shooting foul by T. Ariza (drawn by D. Wright),,122-110,,
1:33.0,D. Wright makes free throw 1 of 2,1,123-110,,
1:33.0,,,123-110,,B. Brown enters the game for T. Ariza
1:33.0,,,123-110,,Z. Qi enters the game for E. Gordon
1:33.0,,,123-110,,D. Jackson enters the game for J. Harden
1:33.0,F. VanVleet enters the game for K. Lowry,,123-110,,
1:33.0,P. Siakam enters the game for S. Ibaka,,123-110,,
1:33.0,A. McKinnie enters the game for D. DeRozan,,123-110,,
1:33.0,,,123-110,,T. Black enters the game for L. Mbah a Moute
1:33.0,D. Wright makes free throw 2 of 2,1,124-110,,
1:14.0,,,124-110,,Shooting foul by F. VanVleet (drawn by B. Brown)
1:14.0,,,124-110,,B. Brown misses free throw 1 of 2
1:14.0,,,124-110,,Offensive rebound by Team
1:14.0,,,124-111,1,B. Brown makes free throw 2 of 2
0:58.0,F. VanVleet makes 3-pt shot from 23 ft (assist by D. Wright),3,127-111,,
0:42.0,,,127-111,,Turnover by B. Brown (bad pass; steal by D. Wright)
0:38.0,O. Anunoby makes 2-pt shot at rim (assist by P. Siakam),2,129-111,,
0:28.0,,,129-111,,B. Brown misses 3-pt shot from 25 ft
0:25.0,,,129-111,,Offensive rebound by C. Capela
0:25.0,,,129-113,2,C. Capela makes 2-pt shot from 1 ft
0:01.0,Turnover by Team (shot clock),,129-113,,
