time,Portland,pts.away,score,pts.home,Indiana
5:01.0,D. Lillard makes 2-pt shot at rim,2,106-88,,
4:50.0,,,106-88,,C. Joseph misses 2-pt shot from 12 ft
4:48.0,Defensive rebound by A. Aminu,,106-88,,
4:27.0,A. Aminu misses 3-pt shot from 27 ft,,106-88,,
4:24.0,,,106-88,,Defensive rebound by V. Oladipo
4:22.0,,,106-88,,Shooting foul by E. Turner (drawn by B. Bogdanovic)
4:22.0,,,106-88,,B. Bogdanovic misses free throw 1 of 2
4:22.0,,,106-88,,Offensive rebound by Team
4:22.0,,,106-88,,A. Jefferson enters the game for D. Sabonis
4:22.0,,,106-89,1,B. Bogdanovic makes free throw 2 of 2
4:00.0,J. Nurkic misses 2-pt shot from 11 ft,,106-89,,
3:57.0,Offensive rebound by A. Aminu,,106-89,,
3:57.0,A. Aminu misses 2-pt shot at rim,,106-89,,
3:55.0,Offensive rebound by A. Aminu,,106-89,,
3:55.0,A. Aminu makes 2-pt shot at rim,2,108-89,,
3:51.0,,,108-89,,Indiana full timeout
3:51.0,,,108-89,,A. Poythress enters the game for V. Oladipo
3:51.0,,,108-89,,J. Young enters the game for C. Joseph
3:51.0,,,108-89,,D. Wilkins enters the game for B. Bogdanovic
3:33.0,,,108-89,,T. Leaf misses 2-pt shot from 11 ft (block by A. Aminu)
3:31.0,Defensive rebound by A. Aminu,,108-89,,
3:15.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard),2,110-89,,
2:57.0,,,110-89,,Turnover by D. Wilkins (bad pass; steal by J. Nurkic)
2:53.0,A. Aminu makes 2-pt shot at rim (assist by J. Nurkic),2,112-89,,
2:27.0,,,112-89,,A. Jefferson misses 2-pt shot from 17 ft
2:24.0,Defensive rebound by C. McCollum,,112-89,,
2:24.0,Portland full timeout,,112-89,,
2:24.0,,,112-89,,I. Anigbogu enters the game for A. Jefferson
2:24.0,P. Connaughton enters the game for D. Lillard,,112-89,,
2:24.0,J. Layman enters the game for E. Turner,,112-89,,
2:24.0,Z. Collins enters the game for C. McCollum,,112-89,,
2:24.0,C. Swanigan enters the game for A. Aminu,,112-89,,
2:24.0,S. Napier enters the game for J. Nurkic,,112-89,,
2:06.0,C. Swanigan misses 2-pt shot from 18 ft,,112-89,,
2:03.0,,,112-89,,Defensive rebound by J. Young
1:58.0,,,112-89,,Shooting foul by J. Layman (drawn by J. Young)
1:58.0,,,112-89,,J. Young misses free throw 1 of 2
1:58.0,,,112-89,,Offensive rebound by Team
1:58.0,,,112-90,1,J. Young makes free throw 2 of 2
1:35.0,Z. Collins misses 2-pt shot from 19 ft,,112-90,,
1:32.0,,,112-90,,Defensive rebound by A. Poythress
1:22.0,,,112-92,2,J. Young makes 2-pt shot from 6 ft
1:06.0,S. Napier makes 2-pt shot from 18 ft (assist by J. Layman),2,114-92,,
0:54.0,,,114-94,2,T. Leaf makes 2-pt shot from 2 ft
0:39.0,C. Swanigan misses 2-pt shot from 2 ft,,114-94,,
0:37.0,Offensive rebound by Z. Collins,,114-94,,
0:37.0,Z. Collins misses 2-pt shot at rim,,114-94,,
0:36.0,Offensive rebound by Z. Collins,,114-94,,
0:35.0,Turnover by Z. Collins (traveling),,114-94,,
0:27.0,,,114-96,2,J. Young makes 2-pt shot from 15 ft
0:11.0,C. Swanigan misses 2-pt shot from 3 ft,,114-96,,
0:09.0,,,114-96,,Defensive rebound by T. Leaf
0:03.0,,,114-96,,Turnover by J. Young (out of bounds lost ball)
