time,Milwaukee,pts.away,score,pts.home,Sacramento
5:10.0,,,107-77,2,B. Hield makes 2-pt shot from 2 ft (assist by F. Mason)
4:47.0,J. Terry misses 3-pt shot from 25 ft,,107-77,,
4:43.0,,,107-77,,Defensive rebound by J. Jackson
4:24.0,,,107-77,,F. Mason misses 2-pt shot from 1 ft
4:23.0,,,107-77,,Offensive rebound by S. Labissiere
4:23.0,,,107-77,,Turnover by Team (shot clock)
4:23.0,J. Bolomboy enters the game for J. Terry,,107-77,,
4:23.0,G. Payton enters the game for T. Maker,,107-77,,
4:23.0,R. Vaughn enters the game for M. Brogdon,,107-77,,
4:14.0,Turnover by D. Wilson (traveling),,107-77,,
4:02.0,,,107-79,2,B. Hield makes 2-pt shot from 3 ft
4:02.0,Violation by J. Bolomboy (def goaltending),,107-79,,
3:44.0,D. Liggins makes 2-pt shot from 8 ft,2,109-79,,
3:26.0,,,109-79,,Shooting foul by D. Liggins (drawn by S. Labissiere)
3:26.0,,,109-80,1,S. Labissiere makes free throw 1 of 2
3:26.0,,,109-81,1,S. Labissiere makes free throw 2 of 2
3:07.0,Turnover by D. Liggins (traveling),,109-81,,
2:51.0,,,109-81,,B. Hield misses 2-pt shot from 2 ft
2:48.0,Defensive rebound by D. Wilson,,109-81,,
2:37.0,R. Vaughn misses 3-pt shot from 24 ft,,109-81,,
2:33.0,,,109-81,,Defensive rebound by F. Mason
2:29.0,,,109-83,2,F. Mason makes 2-pt shot from 2 ft
2:15.0,R. Vaughn makes 2-pt shot from 5 ft (assist by G. Payton),2,111-83,,
2:15.0,,,111-83,,Sacramento full timeout
1:59.0,,,111-83,,Turnover by F. Mason (bad pass)
1:48.0,Turnover by G. Payton (bad pass; steal by M. Richardson),,111-83,,
1:39.0,,,111-85,2,F. Mason makes 2-pt shot from 8 ft
1:16.0,Turnover by D. Liggins (bad pass; steal by B. Hield),,111-85,,
1:13.0,,,111-85,,Shooting foul by R. Vaughn (drawn by B. Hield)
1:13.0,,,111-86,1,B. Hield makes free throw 1 of 2
1:13.0,,,111-87,1,B. Hield makes free throw 2 of 2
0:50.0,G. Payton misses 3-pt shot from 25 ft,,111-87,,
0:49.0,Offensive rebound by J. Bolomboy,,111-87,,
0:49.0,Shooting foul by B. Hield (drawn by J. Bolomboy),,111-87,,
0:49.0,J. Bolomboy misses free throw 1 of 2,,111-87,,
0:49.0,Offensive rebound by Team,,111-87,,
0:49.0,J. Bolomboy makes free throw 2 of 2,1,112-87,,
0:25.0,,,112-87,,M. Richardson misses 3-pt shot from 24 ft
0:21.0,Defensive rebound by D. Wilson,,112-87,,
