time,Chicago,pts.away,score,pts.home,LA Clippers
6:27.0,Defensive rebound by Team,,87-100,,
6:27.0,R. Lopez enters the game for B. Portis,,87-100,,
6:27.0,J. Grant enters the game for D. Nwaba,,87-100,,
6:11.0,R. Lopez makes 2-pt shot from 21 ft (assist by J. Grant),2,89-100,,
5:58.0,,,89-100,,M. Teodosic misses 3-pt shot from 25 ft
5:50.0,Jump ball: M. Harrell vs. Z. LaVine (P. Zipser gains possession),,,,Jump ball: M. Harrell vs. Z. LaVine (P. Zipser gains possession)
5:50.0,Defensive rebound by Team,,89-100,,
5:41.0,Z. LaVine misses 2-pt shot from 4 ft,,89-100,,
5:39.0,,,89-100,,Defensive rebound by M. Harrell
5:29.0,,,89-102,2,M. Harrell makes 2-pt shot from 2 ft
5:04.0,R. Lopez makes 2-pt shot from 7 ft,2,91-102,,
4:56.0,Personal foul by J. Holiday (drawn by L. Williams),,91-102,,
4:56.0,,,91-102,,D. Jordan enters the game for M. Teodosic
4:56.0,,,91-102,,T. Wallace enters the game for M. Harrell
4:50.0,,,91-102,,T. Harris misses 3-pt shot from 24 ft
4:46.0,Defensive rebound by P. Zipser,,91-102,,
4:43.0,Turnover by P. Zipser (bad pass),,91-102,,
4:43.0,,,91-102,,LA Clippers full timeout
4:26.0,,,91-102,,L. Williams misses 3-pt shot from 26 ft (block by J. Holiday)
4:23.0,Defensive rebound by Z. LaVine,,91-102,,
4:15.0,J. Holiday misses 3-pt shot from 25 ft,,91-102,,
4:13.0,,,91-102,,Defensive rebound by D. Jordan
4:10.0,,,91-102,,L. Williams misses 2-pt shot at rim (block by P. Zipser)
4:10.0,,,91-102,,Offensive rebound by Team
3:57.0,,,91-104,2,A. Bradley makes 2-pt shot from 20 ft
3:41.0,J. Grant misses 2-pt shot from 2 ft,,91-104,,
3:38.0,,,91-104,,Defensive rebound by D. Jordan
3:36.0,,,91-104,,Turnover by T. Harris (traveling)
3:22.0,J. Holiday misses 3-pt shot from 23 ft,,91-104,,
3:22.0,Offensive rebound by R. Lopez,,91-104,,
3:11.0,Z. LaVine misses 2-pt shot from 3 ft (block by D. Jordan),,91-104,,
3:11.0,Offensive rebound by Team,,91-104,,
3:05.0,R. Lopez makes 2-pt shot from 18 ft (assist by J. Holiday),2,93-104,,
2:45.0,,,93-104,,A. Bradley misses 3-pt shot from 24 ft
2:42.0,Defensive rebound by Z. LaVine,,93-104,,
2:37.0,Z. LaVine makes 3-pt shot from 26 ft,3,96-104,,
2:36.0,,,96-104,,LA Clippers full timeout
2:36.0,,,96-104,,D. Gallinari enters the game for T. Wallace
2:17.0,,,96-106,2,T. Harris makes 2-pt shot from 1 ft
2:00.0,Z. LaVine misses 3-pt shot from 26 ft,,96-106,,
1:58.0,,,96-106,,Defensive rebound by D. Jordan
1:44.0,,,96-106,,A. Bradley misses 2-pt shot from 15 ft
1:41.0,Defensive rebound by Z. LaVine,,96-106,,
1:37.0,Z. LaVine misses 2-pt shot from 2 ft,,96-106,,
1:37.0,Offensive rebound by P. Zipser,,96-106,,
1:37.0,P. Zipser makes 2-pt shot at rim,2,98-106,,
1:17.0,,,98-108,2,D. Gallinari makes 2-pt shot from 1 ft
1:17.0,Chicago full timeout,,98-108,,
1:09.0,J. Holiday misses 3-pt shot from 24 ft,,98-108,,
1:05.0,,,98-108,,Defensive rebound by D. Gallinari
1:00.0,Personal foul by Z. LaVine (drawn by L. Williams),,98-108,,
1:00.0,,,98-109,1,L. Williams makes free throw 1 of 2
1:00.0,,,98-110,1,L. Williams makes free throw 2 of 2
0:52.0,Z. LaVine makes 3-pt shot from 26 ft (assist by J. Grant),3,101-110,,
0:42.0,Personal foul by Z. LaVine (drawn by L. Williams),,101-110,,
0:42.0,,,101-111,1,L. Williams makes free throw 1 of 2
0:42.0,,,101-112,1,L. Williams makes free throw 2 of 2
0:33.0,P. Zipser misses 3-pt shot from 22 ft,,101-112,,
0:33.0,,,101-112,,Defensive rebound by D. Jordan
0:33.0,Personal foul by J. Grant (drawn by D. Jordan),,101-112,,
0:33.0,,,101-112,,D. Jordan misses free throw 1 of 2
0:33.0,,,101-112,,Offensive rebound by Team
0:33.0,,,101-112,,T. Wallace enters the game for L. Williams
0:33.0,,,101-113,1,D. Jordan makes free throw 2 of 2
0:28.0,,,101-113,,Personal foul by A. Bradley (drawn by Z. LaVine)
0:28.0,Z. LaVine makes free throw 1 of 2,1,102-113,,
0:28.0,,,102-113,,L. Williams enters the game for T. Wallace
0:28.0,Z. LaVine makes free throw 2 of 2,1,103-113,,
0:04.0,,,103-113,,Turnover by Team (shot clock)
