time,San Antonio,pts.away,score,pts.home,Indiana
1:58.0,M. Ginobili misses 2-pt shot from 1 ft,,43-49,,
1:56.0,Offensive rebound by L. Aldridge,,43-49,,
1:56.0,L. Aldridge misses 2-pt shot from 1 ft,,43-49,,
1:56.0,Offensive rebound by K. Anderson,,43-49,,
1:51.0,K. Anderson makes 2-pt shot from 1 ft,2,45-49,,
1:43.0,,,45-52,3,D. Sabonis makes 3-pt shot from 25 ft (assist by D. Collison)
1:27.0,P. Mills misses 3-pt shot from 28 ft,,45-52,,
1:24.0,Offensive rebound by K. Anderson,,45-52,,
1:19.0,M. Ginobili misses 3-pt shot from 28 ft,,45-52,,
1:17.0,,,45-52,,Defensive rebound by D. Sabonis
1:17.0,,,45-52,,Indiana full timeout
1:17.0,,,45-52,,L. Stephenson enters the game for D. Collison
1:17.0,,,45-52,,C. Joseph enters the game for V. Oladipo
1:17.0,,,45-52,,A. Jefferson enters the game for D. Sabonis
1:07.0,,,45-52,,Shooting foul by B. Paul (drawn by B. Bogdanovic)
1:07.0,,,45-52,,B. Bogdanovic misses free throw 1 of 2
1:07.0,,,45-52,,Offensive rebound by Team
1:07.0,B. Forbes enters the game for B. Paul,,45-52,,
1:07.0,,,45-53,1,B. Bogdanovic makes free throw 2 of 2
0:53.0,P. Mills misses 3-pt shot from 27 ft,,45-53,,
0:51.0,Offensive rebound by B. Forbes,,45-53,,
0:45.0,L. Aldridge makes 3-pt shot from 26 ft (assist by K. Anderson),3,48-53,,
0:36.0,,,48-53,,B. Bogdanovic misses 2-pt shot from 18 ft
0:33.0,Defensive rebound by K. Anderson,,48-53,,
0:10.0,B. Forbes misses 3-pt shot from 25 ft,,48-53,,
0:07.0,,,48-53,,Defensive rebound by A. Jefferson
0:00.0,,,48-53,,T. Young misses 2-pt shot from 20 ft
0:00.0,,,48-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,48-53,,V. Oladipo misses 2-pt shot from 13 ft
11:42.0,Defensive rebound by L. Aldridge,,48-53,,
11:20.0,K. Anderson misses 3-pt shot from 25 ft,,48-53,,
11:18.0,,,48-53,,Defensive rebound by V. Oladipo
11:16.0,,,48-53,,Turnover by V. Oladipo (bad pass; steal by K. Anderson)
11:10.0,P. Gasol makes 2-pt shot from 2 ft (assist by K. Anderson),2,50-53,,
10:57.0,,,50-55,2,D. Collison makes 2-pt shot from 10 ft
10:43.0,D. Green misses 2-pt shot from 1 ft,,50-55,,
10:41.0,,,50-55,,Defensive rebound by V. Oladipo
10:31.0,,,50-57,2,D. Sabonis makes 2-pt shot at rim (assist by V. Oladipo)
10:28.0,San Antonio full timeout,,50-57,,
10:08.0,L. Aldridge misses 2-pt shot from 19 ft,,50-57,,
10:07.0,,,50-57,,Defensive rebound by Team
9:51.0,,,50-57,,Turnover by D. Collison (bad pass; steal by D. Green)
9:46.0,D. Green misses 2-pt shot from 2 ft,,50-57,,
9:43.0,Offensive rebound by K. Anderson,,50-57,,
9:43.0,K. Anderson makes 2-pt shot at rim,2,52-57,,
9:27.0,,,52-57,,Turnover by V. Oladipo (bad pass; steal by D. Green)
9:14.0,L. Aldridge makes 2-pt shot from 10 ft,2,54-57,,
8:59.0,,,54-57,,V. Oladipo misses 2-pt shot from 2 ft (block by P. Gasol)
8:57.0,Defensive rebound by D. Green,,54-57,,
8:46.0,D. Green misses 3-pt shot from 26 ft,,54-57,,
8:43.0,,,54-57,,Defensive rebound by D. Collison
8:38.0,,,54-57,,D. Collison misses 3-pt shot from 26 ft
