time,Milwaukee,pts.away,score,pts.home,New Orleans
1:59.0,Turnover by E. Bledsoe (offensive foul),,105-110,,
1:41.0,,,105-112,2,E. Moore makes 2-pt shot at rim (assist by D. Cousins)
1:21.0,Shooting foul by D. Cousins (drawn by K. Middleton),,105-112,,
1:21.0,K. Middleton makes free throw 1 of 3,1,106-112,,
1:21.0,K. Middleton makes free throw 2 of 3,1,107-112,,
1:21.0,K. Middleton makes free throw 3 of 3,1,108-112,,
1:03.0,,,108-112,,J. Holiday misses 2-pt shot from 15 ft
0:58.0,Defensive rebound by G. Antetokounmpo,,108-112,,
0:45.0,J. Henson misses 2-pt shot from 6 ft,,108-112,,
0:41.0,Offensive rebound by G. Antetokounmpo,,108-112,,
0:39.0,Turnover by G. Antetokounmpo (lost ball; steal by J. Nelson),,108-112,,
0:23.0,,,108-115,3,D. Cousins makes 3-pt shot from 26 ft (assist by J. Nelson)
0:22.0,Milwaukee full timeout,,108-115,,
0:22.0,,,108-115,,D. Cunningham enters the game for D. Cousins
0:16.0,K. Middleton misses 3-pt shot from 29 ft,,108-115,,
0:12.0,Offensive rebound by G. Antetokounmpo,,108-115,,
0:08.0,M. Brogdon misses 3-pt shot from 25 ft,,108-115,,
0:06.0,Offensive rebound by G. Antetokounmpo,,108-115,,
0:02.0,G. Antetokounmpo misses 3-pt shot from 22 ft,,108-115,,
0:02.0,Offensive rebound by M. Brogdon,,108-115,,
0:00.0,E. Bledsoe misses 3-pt shot from 26 ft,,108-115,,
0:00.0,Offensive rebound by Team,,108-115,,
