time,Indiana,pts.away,score,pts.home,New Orleans
4:29.0,,,78-79,,E. Moore enters the game for I. Clark
4:29.0,T. Booker enters the game for M. Turner,,78-79,,
4:14.0,,,78-79,,Turnover by J. Holiday (lost ball; steal by T. Young)
3:57.0,V. Oladipo makes 2-pt shot from 1 ft,2,80-79,,
3:50.0,,,80-82,3,N. Mirotic makes 3-pt shot from 25 ft (assist by R. Rondo)
3:29.0,C. Joseph misses 2-pt shot from 19 ft,,80-82,,
3:21.0,Offensive rebound by T. Booker,,80-82,,
3:21.0,T. Booker makes 2-pt shot at rim,2,82-82,,
3:09.0,,,82-85,3,N. Mirotic makes 3-pt shot from 22 ft (assist by J. Holiday)
3:08.0,Indiana full timeout,,82-85,,
3:08.0,,,82-85,,New Orleans full timeout
3:08.0,M. Turner enters the game for C. Joseph,,82-85,,
3:08.0,D. Collison enters the game for T. Booker,,82-85,,
2:54.0,V. Oladipo makes 2-pt shot from 15 ft,2,84-85,,
2:33.0,,,84-87,2,A. Davis makes 2-pt shot from 11 ft (assist by J. Holiday)
2:15.0,Turnover by V. Oladipo (lost ball; steal by J. Holiday),,84-87,,
1:52.0,,,84-87,,J. Holiday misses 2-pt shot from 2 ft (block by V. Oladipo)
1:49.0,Defensive rebound by D. Collison,,84-87,,
1:49.0,D. Collison makes 2-pt shot from 1 ft,2,86-87,,
1:49.0,Shooting foul by E. Moore (drawn by D. Collison),,86-87,,
1:49.0,D. Collison makes free throw 1 of 1,1,87-87,,
1:41.0,Violation by V. Oladipo (kicked ball),,87-87,,
1:25.0,,,87-87,,E. Moore misses 2-pt shot from 1 ft
1:24.0,,,87-87,,Offensive rebound by E. Moore
1:24.0,,,87-89,2,E. Moore makes 2-pt shot from 1 ft
1:12.0,Turnover by V. Oladipo (traveling),,87-89,,
1:12.0,,,87-89,,New Orleans full timeout
0:53.0,,,87-91,2,A. Davis makes 2-pt shot from 14 ft (assist by N. Mirotic)
0:42.0,D. Collison misses 2-pt shot from 2 ft,,87-91,,
0:41.0,,,87-91,,Defensive rebound by A. Davis
0:41.0,,,87-91,,Turnover by A. Davis (step out of bounds)
0:41.0,Indiana full timeout,,87-91,,
0:41.0,Indiana full timeout,,87-91,,
0:28.0,V. Oladipo misses 3-pt shot from 28 ft,,87-91,,
0:25.0,,,87-91,,Defensive rebound by Team
0:25.0,C. Joseph enters the game for B. Bogdanovic,,87-91,,
0:25.0,,,87-91,,New Orleans full timeout
0:25.0,T. Booker enters the game for M. Turner,,87-91,,
0:17.0,Personal take foul by C. Joseph (drawn by A. Davis),,87-91,,
0:16.0,Personal take foul by V. Oladipo (drawn by J. Holiday),,87-91,,
0:16.0,,,87-91,,J. Holiday misses free throw 1 of 2
0:16.0,,,87-91,,Offensive rebound by Team
0:16.0,M. Turner enters the game for T. Booker,,87-91,,
0:16.0,B. Bogdanovic enters the game for T. Young,,87-91,,
0:16.0,,,87-91,,J. Holiday misses free throw 2 of 2
0:15.0,,,87-91,,Offensive rebound by A. Davis
0:15.0,,,87-93,2,A. Davis makes 2-pt shot at rim
0:08.0,,,87-93,,Personal foul by J. Holiday (drawn by V. Oladipo)
0:08.0,V. Oladipo makes free throw 1 of 2,1,88-93,,
0:08.0,V. Oladipo makes free throw 2 of 2,1,89-93,,
0:07.0,Personal take foul by B. Bogdanovic (drawn by A. Davis),,89-93,,
0:07.0,,,89-94,1,A. Davis makes free throw 1 of 2
0:07.0,,,89-95,1,A. Davis makes free throw 2 of 2
0:03.0,D. Collison makes 3-pt shot from 27 ft,3,92-95,,
0:02.0,Personal take foul by V. Oladipo (drawn by J. Holiday),,92-95,,
0:02.0,,,92-95,,J. Holiday misses free throw 1 of 2
0:02.0,,,92-95,,Offensive rebound by Team
0:02.0,T. Young enters the game for C. Joseph,,92-95,,
0:02.0,,,92-96,1,J. Holiday makes free throw 2 of 2
0:00.0,M. Turner misses 3-pt shot from 34 ft,,92-96,,
0:00.0,Offensive rebound by Team,,92-96,,
