time,New York,pts.away,score,pts.home,LA Clippers
4:14.0,,,89-114,,C. Williams enters the game for A. Rivers
4:06.0,,,89-117,3,S. Thornwell makes 3-pt shot from 23 ft (assist by C. Williams)
3:58.0,Turnover by T. Hardaway (bad pass; steal by C. Williams),,89-117,,
3:54.0,,,89-119,2,S. Dekker makes 2-pt shot at rim (assist by C. Williams)
3:46.0,D. Dotson makes 3-pt shot from 24 ft (assist by F. Ntilikina),3,92-119,,
3:29.0,,,92-119,,C. Williams misses 2-pt shot from 8 ft
3:26.0,Defensive rebound by L. Kornet,,92-119,,
3:23.0,F. Ntilikina makes 2-pt shot from 2 ft,2,94-119,,
3:23.0,Shooting foul by W. Johnson (drawn by F. Ntilikina),,94-119,,
3:23.0,T. Williams enters the game for T. Hardaway,,94-119,,
3:23.0,F. Ntilikina makes free throw 1 of 1,1,95-119,,
3:05.0,,,95-119,,Shooting foul by T. Williams (drawn by S. Thornwell)
3:05.0,,,95-120,1,S. Thornwell makes free throw 1 of 2
3:05.0,,,95-120,,S. Thornwell misses free throw 2 of 2
3:03.0,Defensive rebound by L. Kornet,,95-120,,
2:53.0,F. Ntilikina misses 2-pt shot from 10 ft (block by W. Johnson),,95-120,,
2:50.0,Offensive rebound by F. Ntilikina,,95-120,,
2:47.0,Turnover by F. Ntilikina (bad pass; steal by S. Thornwell),,95-120,,
2:45.0,,,95-122,2,S. Dekker makes 2-pt shot at rim (assist by S. Thornwell)
2:34.0,D. Dotson makes 2-pt shot from 9 ft,2,97-122,,
2:34.0,Shooting foul by W. Johnson (drawn by D. Dotson),,97-122,,
2:34.0,D. Dotson misses free throw 1 of 1,,97-122,,
2:31.0,Offensive rebound by E. Kanter,,97-122,,
2:30.0,Turnover by E. Kanter (bad pass; steal by W. Johnson),,97-122,,
2:19.0,Personal foul by E. Kanter (drawn by B. Marjanovic),,97-122,,
2:09.0,,,97-124,2,C. Williams makes 2-pt shot from 8 ft
1:53.0,E. Kanter makes 2-pt shot from 5 ft (assist by F. Ntilikina),2,99-124,,
1:46.0,,,99-124,,S. Thornwell misses 2-pt shot from 1 ft
1:46.0,Defensive rebound by E. Kanter,,99-124,,
1:46.0,New York full timeout,,99-124,,
1:46.0,T. Burke enters the game for E. Kanter,,99-124,,
1:28.0,Turnover by D. Dotson (bad pass; steal by C. Williams),,99-124,,
1:22.0,,,99-124,,Offensive foul by B. Marjanovic (drawn by L. Kornet)
1:22.0,,,99-124,,Turnover by B. Marjanovic (offensive foul)
1:08.0,L. Kornet misses 3-pt shot from 26 ft,,99-124,,
1:05.0,,,99-124,,Defensive rebound by S. Thornwell
0:45.0,,,99-124,,B. Marjanovic misses 2-pt shot from 2 ft (block by L. Kornet)
0:45.0,,,99-124,,Offensive rebound by B. Marjanovic
0:42.0,,,99-126,2,B. Marjanovic makes 2-pt shot from 13 ft
0:32.0,T. Williams makes 3-pt shot from 25 ft (assist by T. Burke),3,102-126,,
0:13.0,,,102-128,2,B. Marjanovic makes 2-pt shot from 3 ft
0:07.0,T. Burke makes 3-pt shot from 25 ft,3,105-128,,
