time,New Orleans,pts.away,score,pts.home,Toronto
6:34.0,,,102-101,,Defensive rebound by S. Ibaka
6:20.0,,,102-101,,S. Ibaka misses 2-pt shot from 6 ft
6:18.0,Defensive rebound by A. Davis,,102-101,,
6:08.0,D. Cousins misses 2-pt shot from 4 ft,,102-101,,
6:06.0,,,102-101,,Defensive rebound by J. Valanciunas
5:57.0,,,102-103,2,O. Anunoby makes 2-pt shot from 1 ft (assist by K. Lowry)
5:40.0,A. Davis makes 3-pt shot from 25 ft (assist by J. Holiday),3,105-103,,
5:17.0,,,105-106,3,K. Lowry makes 3-pt shot from 22 ft (assist by S. Ibaka)
4:58.0,J. Holiday misses 2-pt shot from 2 ft,,105-106,,
4:57.0,,,105-106,,Defensive rebound by J. Valanciunas
4:45.0,,,105-106,,D. DeRozan misses 2-pt shot from 10 ft
4:41.0,Defensive rebound by T. Allen,,105-106,,
4:33.0,A. Davis misses 3-pt shot from 26 ft,,105-106,,
4:30.0,,,105-106,,Defensive rebound by K. Lowry
4:26.0,,,105-106,,Turnover by O. Anunoby (traveling)
4:26.0,D. Cunningham enters the game for T. Allen,,105-106,,
4:26.0,J. Nelson enters the game for E. Moore,,105-106,,
4:15.0,J. Holiday makes 2-pt shot from 1 ft (assist by D. Cousins),2,107-106,,
3:58.0,,,107-106,,O. Anunoby misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by D. Cousins,,107-106,,
3:50.0,New Orleans full timeout,,107-106,,
3:44.0,,,107-106,,Personal foul by O. Anunoby (drawn by D. Cousins)
3:36.0,J. Holiday misses 3-pt shot from 23 ft,,107-106,,
3:34.0,,,107-106,,Defensive rebound by K. Lowry
3:21.0,,,107-109,3,K. Lowry makes 3-pt shot from 26 ft (assist by D. DeRozan)
3:04.0,New Orleans full timeout,,107-109,,
3:04.0,,,107-109,,Toronto full timeout
2:57.0,A. Davis makes 2-pt shot from 3 ft (assist by J. Holiday),2,109-109,,
2:37.0,,,109-111,2,D. DeRozan makes 2-pt shot from 12 ft
2:24.0,J. Holiday misses 3-pt shot from 26 ft,,109-111,,
2:21.0,,,109-111,,Defensive rebound by K. Lowry
2:11.0,,,109-111,,J. Valanciunas misses 2-pt shot from 1 ft
2:08.0,,,109-111,,Offensive rebound by J. Valanciunas
2:06.0,,,109-114,3,S. Ibaka makes 3-pt shot from 23 ft (assist by J. Valanciunas)
1:44.0,D. Cousins makes 3-pt shot from 26 ft (assist by J. Holiday),3,112-114,,
1:30.0,,,112-116,2,D. DeRozan makes 2-pt shot from 6 ft
1:17.0,D. Cousins misses 3-pt shot from 26 ft,,112-116,,
1:14.0,,,112-116,,Defensive rebound by J. Valanciunas
0:55.0,,,112-116,,D. DeRozan misses 3-pt shot from 23 ft
0:53.0,Defensive rebound by D. Cousins,,112-116,,
0:53.0,New Orleans full timeout,,112-116,,
0:46.0,J. Nelson makes 2-pt shot from 3 ft (assist by J. Holiday),2,114-116,,
0:46.0,,,114-116,,Toronto full timeout
0:46.0,T. Allen enters the game for J. Nelson,,114-116,,
0:33.0,,,114-118,2,D. DeRozan makes 2-pt shot from 15 ft
0:24.0,D. Cousins misses 3-pt shot from 27 ft,,114-118,,
0:20.0,,,114-118,,Defensive rebound by Team
0:20.0,,,114-118,,C. Miles enters the game for O. Anunoby
0:19.0,Personal foul by D. Cunningham (drawn by D. DeRozan),,114-118,,
0:19.0,,,114-118,,D. DeRozan misses free throw 1 of 2
0:19.0,,,114-118,,Offensive rebound by Team
0:19.0,,,114-118,,O. Anunoby enters the game for C. Miles
0:19.0,,,114-119,1,D. DeRozan makes free throw 2 of 2
0:19.0,New Orleans full timeout,,114-119,,
0:19.0,J. Nelson enters the game for T. Allen,,114-119,,
0:19.0,A. Davis makes 2-pt shot at rim (assist by J. Nelson),2,116-119,,
0:18.0,Personal take foul by D. Cunningham (drawn by D. DeRozan),,116-119,,
0:18.0,,,116-120,1,D. DeRozan makes free throw 1 of 2
0:18.0,D. Miller enters the game for D. Cousins,,116-120,,
0:18.0,,,116-120,,D. DeRozan misses free throw 2 of 2
0:16.0,Defensive rebound by Team,,116-120,,
0:16.0,,,116-120,,Loose ball foul by J. Valanciunas (drawn by D. Miller)
0:16.0,D. Miller makes free throw 1 of 2,1,117-120,,
0:16.0,,,117-120,,C. Miles enters the game for O. Anunoby
0:16.0,D. Miller makes free throw 2 of 2,1,118-120,,
0:15.0,Personal take foul by D. Cunningham (drawn by D. DeRozan),,118-120,,
0:15.0,,,118-120,,O. Anunoby enters the game for C. Miles
0:15.0,D. Cousins enters the game for D. Cunningham,,118-120,,
0:15.0,,,118-121,1,D. DeRozan makes free throw 1 of 2
0:15.0,,,118-122,1,D. DeRozan makes free throw 2 of 2
0:11.0,J. Nelson misses 3-pt shot from 25 ft,,118-122,,
0:08.0,,,118-122,,Defensive rebound by K. Lowry
