time,Milwaukee,pts.away,score,pts.home,Golden State
7:34.0,,,67-57,2,Q. Cook makes 2-pt shot from 7 ft (assist by D. Green)
7:28.0,,,67-57,,Personal foul by Q. Cook (drawn by E. Bledsoe)
7:28.0,,,67-57,,N. Young enters the game for A. Iguodala
7:23.0,G. Antetokounmpo makes 3-pt shot from 28 ft (assist by J. Henson),3,70-57,,
7:01.0,,,70-57,,Turnover by N. Young (bad pass; steal by E. Bledsoe)
6:58.0,E. Bledsoe makes 2-pt shot from 2 ft,2,72-57,,
6:58.0,,,72-57,,Golden State full timeout
6:58.0,,,72-57,,J. Bell enters the game for Q. Cook
6:43.0,,,72-57,,N. Young misses 2-pt shot from 13 ft
6:41.0,Defensive rebound by G. Antetokounmpo,,72-57,,
6:27.0,E. Bledsoe makes 2-pt shot from 14 ft (assist by G. Antetokounmpo),2,74-57,,
6:10.0,,,74-59,2,J. McGee makes 2-pt shot at rim (assist by J. Bell)
5:57.0,E. Bledsoe makes 2-pt shot from 18 ft (assist by G. Antetokounmpo),2,76-59,,
5:35.0,,,76-59,,P. McCaw misses 2-pt shot from 11 ft (block by J. Henson)
5:35.0,Defensive rebound by Team,,76-59,,
5:35.0,,,76-59,,Personal foul by P. McCaw (drawn by G. Antetokounmpo)
5:35.0,G. Antetokounmpo makes free throw 1 of 2,1,77-59,,
5:35.0,,,77-59,,K. Looney enters the game for J. McGee
5:35.0,J. Terry enters the game for T. Snell,,77-59,,
5:35.0,J. Parker enters the game for K. Middleton,,77-59,,
5:35.0,G. Antetokounmpo makes free throw 2 of 2,1,78-59,,
5:17.0,,,78-61,2,D. Green makes 2-pt shot from 1 ft (assist by P. McCaw)
5:02.0,E. Bledsoe makes 3-pt shot from 26 ft,3,81-61,,
4:46.0,Violation by G. Antetokounmpo (kicked ball),,81-61,,
4:46.0,,,81-61,,A. Iguodala enters the game for D. Green
4:43.0,Personal foul by G. Antetokounmpo (drawn by K. Looney),,81-61,,
4:40.0,,,81-64,3,P. McCaw makes 3-pt shot from 23 ft (assist by A. Iguodala)
4:20.0,Turnover by E. Bledsoe (traveling),,81-64,,
4:08.0,,,81-66,2,K. Looney makes 2-pt shot from 15 ft
3:52.0,Turnover by E. Bledsoe (bad pass; steal by J. Bell),,81-66,,
3:45.0,,,81-66,,Shooting foul by J. Parker (drawn by P. McCaw)
3:45.0,,,81-67,1,P. McCaw makes free throw 1 of 2
3:45.0,,,81-68,1,P. McCaw makes free throw 2 of 2
3:26.0,Turnover by J. Henson (out of bounds lost ball),,81-68,,
3:13.0,,,81-68,,P. McCaw misses 3-pt shot from 23 ft
3:09.0,Defensive rebound by J. Parker,,81-68,,
3:01.0,J. Henson misses 2-pt shot from 6 ft (block by A. Iguodala),,81-68,,
