time,Denver,pts.away,score,pts.home,Brooklyn
11:42.0,G. Harris makes 2-pt shot from 12 ft (assist by N. Jokic),2,62-63,,
11:20.0,,,62-63,,A. Crabbe misses 2-pt shot from 15 ft
11:16.0,Defensive rebound by N. Jokic,,62-63,,
11:08.0,Shooting foul by C. LeVert (drawn by W. Chandler),,62-63,,
11:08.0,W. Chandler makes free throw 1 of 2,1,63-63,,
11:08.0,W. Chandler makes free throw 2 of 2,1,64-63,,
11:02.0,,,64-63,,Shooting foul by J. Murray (drawn by D. Russell)
11:02.0,,,64-64,1,D. Russell makes free throw 1 of 2
11:02.0,,,64-64,,D. Russell misses free throw 2 of 2
10:59.0,Defensive rebound by P. Millsap,,64-64,,
10:44.0,J. Murray makes 2-pt shot from 19 ft,2,66-64,,
10:15.0,,,66-64,,R. Hollis-Jefferson misses 2-pt shot from 12 ft
10:11.0,Defensive rebound by W. Chandler,,66-64,,
10:03.0,N. Jokic makes 2-pt shot from 7 ft,2,68-64,,
10:03.0,Shooting foul by A. Crabbe (drawn by N. Jokic),,68-64,,
10:03.0,N. Jokic makes free throw 1 of 1,1,69-64,,
9:50.0,,,69-64,,C. LeVert misses 3-pt shot from 27 ft
9:46.0,Defensive rebound by P. Millsap,,69-64,,
9:32.0,W. Chandler misses 2-pt shot from 12 ft,,69-64,,
9:30.0,,,69-64,,Defensive rebound by T. Mozgov
9:25.0,,,69-67,3,A. Crabbe makes 3-pt shot from 26 ft (assist by D. Russell)
9:08.0,P. Millsap misses 2-pt shot from 9 ft,,69-67,,
9:05.0,Offensive rebound by W. Chandler,,69-67,,
9:05.0,Shooting foul by D. Russell (drawn by J. Murray),,69-67,,
9:05.0,J. Murray makes free throw 1 of 3,1,70-67,,
9:05.0,J. Murray makes free throw 2 of 3,1,71-67,,
9:05.0,,,71-67,,S. Dinwiddie enters the game for D. Russell
9:05.0,J. Murray makes free throw 3 of 3,1,72-67,,
8:56.0,,,72-67,,Turnover by R. Hollis-Jefferson (bad pass)
8:47.0,N. Jokic misses 3-pt shot from 26 ft,,72-67,,
8:45.0,,,72-67,,Defensive rebound by R. Hollis-Jefferson
8:38.0,,,72-67,,T. Mozgov misses 3-pt shot from 23 ft
8:34.0,Defensive rebound by P. Millsap,,72-67,,
8:25.0,G. Harris misses 2-pt shot from 20 ft,,72-67,,
8:22.0,,,72-67,,Defensive rebound by T. Mozgov
8:16.0,,,72-67,,C. LeVert misses 2-pt shot from 6 ft
8:14.0,Defensive rebound by N. Jokic,,72-67,,
8:06.0,N. Jokic misses 3-pt shot from 26 ft,,72-67,,
8:03.0,,,72-67,,Defensive rebound by S. Dinwiddie
7:55.0,,,72-67,,C. LeVert misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by N. Jokic,,72-67,,
7:48.0,P. Millsap makes 2-pt shot from 6 ft (assist by N. Jokic),2,74-67,,
7:47.0,,,74-67,,Brooklyn full timeout
7:30.0,,,74-67,,Turnover by A. Crabbe (step out of bounds)
7:15.0,P. Millsap makes 2-pt shot from 2 ft,2,76-67,,
7:07.0,,,76-67,,Turnover by T. Mozgov (lost ball; steal by G. Harris)
7:07.0,,,76-67,,Personal foul by T. Mozgov (drawn by G. Harris)
6:53.0,P. Millsap misses 2-pt shot from 10 ft,,76-67,,
6:48.0,,,76-67,,Defensive rebound by C. LeVert
6:41.0,,,76-67,,A. Crabbe misses 3-pt shot from 29 ft
6:38.0,,,76-67,,Offensive rebound by T. Mozgov
6:31.0,,,76-67,,Turnover by R. Hollis-Jefferson (traveling)
6:13.0,W. Chandler makes 2-pt shot from 3 ft,2,78-67,,
6:00.0,,,78-67,,C. LeVert misses 3-pt shot from 25 ft
5:57.0,Defensive rebound by N. Jokic,,78-67,,
5:40.0,W. Chandler makes 2-pt shot from 13 ft,2,80-67,,
5:28.0,,,80-67,,S. Dinwiddie misses 3-pt shot from 26 ft
5:23.0,,,80-67,,Offensive rebound by T. Mozgov
5:22.0,,,80-67,,C. LeVert misses 2-pt shot from 4 ft (block by P. Millsap)
5:22.0,,,80-67,,Offensive rebound by Team
