time,Golden State,pts.away,score,pts.home,Boston
4:02.0,S. Curry misses 3-pt shot from 24 ft,,81-79,,
4:00.0,,,81-79,,Defensive rebound by M. Smart
3:55.0,,,81-79,,Shooting foul by K. Thompson (drawn by K. Irving)
3:55.0,,,81-80,1,K. Irving makes free throw 1 of 2
3:55.0,,,81-80,,J. Tatum enters the game for T. Rozier
3:55.0,,,81-81,1,K. Irving makes free throw 2 of 2
3:47.0,Shooting foul by A. Horford (drawn by D. Green),,81-81,,
3:47.0,D. Green makes free throw 1 of 2,1,82-81,,
3:47.0,D. Green misses free throw 2 of 2,,82-81,,
3:45.0,,,82-81,,Defensive rebound by M. Smart
3:21.0,,,82-83,2,A. Horford makes 2-pt shot from 9 ft (assist by K. Irving)
3:06.0,K. Durant makes 3-pt shot from 26 ft (assist by D. Green),3,85-83,,
2:37.0,,,85-83,,J. Brown misses 3-pt shot from 23 ft
2:37.0,,,85-83,,Offensive rebound by Team
2:36.0,,,85-85,2,K. Irving makes 2-pt shot from 1 ft (assist by M. Smart)
2:36.0,,,85-85,,Shooting foul by K. Thompson (drawn by K. Irving)
2:36.0,,,85-86,1,K. Irving makes free throw 1 of 1
2:21.0,S. Curry misses 3-pt shot from 25 ft,,85-86,,
2:18.0,,,85-86,,Defensive rebound by K. Irving
2:14.0,,,85-86,,K. Irving misses 3-pt shot from 28 ft
2:09.0,Defensive rebound by K. Thompson,,85-86,,
2:04.0,K. Durant misses 3-pt shot from 25 ft,,85-86,,
2:01.0,Offensive rebound by K. Durant,,85-86,,
1:59.0,K. Thompson misses 3-pt shot from 25 ft,,85-86,,
1:59.0,Offensive rebound by D. Green,,85-86,,
1:56.0,,,85-86,,Personal foul by M. Smart (drawn by S. Curry)
1:56.0,,,85-86,,M. Morris enters the game for J. Tatum
1:44.0,A. Iguodala misses 2-pt shot from 5 ft (block by K. Irving),,85-86,,
1:39.0,,,85-86,,Defensive rebound by A. Horford
1:26.0,,,85-86,,Turnover by M. Smart (bad pass; steal by S. Curry)
1:22.0,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry),3,88-86,,
1:21.0,,,88-86,,Boston full timeout
1:21.0,,,88-86,,J. Tatum enters the game for M. Smart
1:17.0,,,88-86,,Shooting foul by K. Thompson (drawn by K. Irving)
1:17.0,,,88-87,1,K. Irving makes free throw 1 of 2
1:17.0,,,88-87,,M. Smart enters the game for M. Morris
1:17.0,,,88-88,1,K. Irving makes free throw 2 of 2
1:04.0,K. Thompson misses 3-pt shot from 24 ft,,88-88,,
1:02.0,,,88-88,,Defensive rebound by M. Smart
0:54.0,,,88-88,,K. Irving misses 2-pt shot from 2 ft
0:54.0,Defensive rebound by D. Green,,88-88,,
0:39.0,D. Green misses 3-pt shot from 25 ft,,88-88,,
0:36.0,,,88-88,,Defensive rebound by J. Brown
0:20.0,,,88-88,,Boston full timeout
0:20.0,,,88-88,,M. Morris enters the game for M. Smart
0:14.0,,,88-88,,Shooting foul by D. Green (drawn by K. Irving)
0:14.0,,,88-89,1,K. Irving makes free throw 1 of 2
0:14.0,,,88-89,,M. Smart enters the game for M. Morris
0:14.0,,,88-90,1,K. Irving makes free throw 2 of 2
0:14.0,Golden State full timeout,,88-90,,
0:14.0,,,88-90,,M. Morris enters the game for K. Irving
0:12.0,K. Durant misses 2-pt shot from 15 ft,,88-90,,
0:09.0,,,88-90,,Defensive rebound by A. Horford
0:06.0,Personal foul by S. Curry (drawn by J. Tatum),,88-90,,
0:06.0,,,88-91,1,J. Tatum makes free throw 1 of 2
0:06.0,,,88-92,1,J. Tatum makes free throw 2 of 2
0:06.0,Golden State full timeout,,88-92,,
0:06.0,,,88-92,,K. Irving enters the game for M. Morris
0:04.0,S. Curry misses 3-pt shot from 24 ft,,88-92,,
0:01.0,Offensive rebound by K. Thompson,,88-92,,
0:00.0,K. Thompson misses 3-pt shot from 25 ft,,88-92,,
0:00.0,,,88-92,,Defensive rebound by K. Irving
