time,Cleveland,pts.away,score,pts.home,San Antonio
1:16.0,D. Rose enters the game for I. Thomas,,98-112,,
1:16.0,C. Osman enters the game for L. James,,98-112,,
1:00.0,,,98-112,,Personal foul by B. Paul (drawn by J. Crowder)
1:00.0,J. Crowder makes free throw 1 of 2,1,99-112,,
1:00.0,,,99-112,,D. Hilliard enters the game for P. Mills
1:00.0,,,99-112,,J. Lauvergne enters the game for L. Aldridge
1:00.0,J. Crowder makes free throw 2 of 2,1,100-112,,
0:49.0,,,100-114,2,D. Murray makes 2-pt shot from 15 ft
0:42.0,D. Rose makes 2-pt shot from 20 ft,2,102-114,,
0:26.0,,,102-114,,J. Lauvergne misses 2-pt shot from 6 ft
0:23.0,Defensive rebound by C. Osman,,102-114,,
0:17.0,Turnover by D. Rose (bad pass; steal by D. Murray),,102-114,,
