time,Atlanta,pts.away,score,pts.home,New York
6:14.0,E. Ilyasova makes 3-pt shot from 22 ft (assist by T. Waller-Prince),3,89-97,,
5:49.0,,,89-97,,K. Porzingis misses 2-pt shot from 14 ft
5:46.0,Defensive rebound by T. Waller-Prince,,89-97,,
5:39.0,T. Waller-Prince makes 2-pt shot from 2 ft,2,91-97,,
5:32.0,,,91-97,,New York full timeout
5:22.0,,,91-97,,F. Ntilikina misses 2-pt shot from 2 ft (block by E. Ilyasova)
5:19.0,Defensive rebound by T. Waller-Prince,,91-97,,
5:15.0,E. Ilyasova misses 2-pt shot from 1 ft,,91-97,,
5:15.0,,,91-97,,Defensive rebound by Team
4:55.0,,,91-97,,Shooting foul by L. Babbitt (drawn by L. Thomas)
4:55.0,,,91-98,1,L. Thomas makes free throw 1 of 2
4:55.0,,,91-98,,L. Thomas misses free throw 2 of 2
4:51.0,Defensive rebound by M. Belinelli,,91-98,,
4:38.0,M. Belinelli misses 2-pt shot from 1 ft,,91-98,,
4:38.0,Offensive rebound by Team,,91-98,,
4:38.0,,,91-98,,Loose ball foul by D. McDermott (drawn by E. Ilyasova)
4:38.0,K. Bazemore enters the game for L. Babbitt,,91-98,,
4:38.0,E. Ilyasova misses free throw 1 of 2,,91-98,,
4:38.0,Offensive rebound by Team,,91-98,,
4:38.0,E. Ilyasova makes free throw 2 of 2,1,92-98,,
4:28.0,,,92-98,,Offensive foul by K. Porzingis (drawn by I. Taylor)
4:28.0,,,92-98,,Turnover by K. Porzingis (offensive foul)
4:28.0,,,92-98,,J. Jack enters the game for D. McDermott
4:11.0,Turnover by M. Belinelli (bad pass; steal by F. Ntilikina),,92-98,,
3:56.0,,,92-100,2,J. Jack makes 2-pt shot from 11 ft
3:46.0,Technical foul by M. Belinelli,,92-100,,
3:46.0,,,92-101,1,K. Porzingis makes free throw 1 of 1
3:35.0,I. Taylor makes 2-pt shot from 1 ft (assist by E. Ilyasova),2,94-101,,
3:19.0,,,94-101,,K. Porzingis misses 2-pt shot from 14 ft
3:16.0,Defensive rebound by E. Ilyasova,,94-101,,
3:08.0,K. Bazemore misses 2-pt shot from 1 ft (block by K. Porzingis),,94-101,,
3:05.0,,,94-101,,Defensive rebound by L. Thomas
3:01.0,,,94-101,,New York full timeout
2:52.0,,,94-101,,K. Porzingis misses 2-pt shot from 8 ft
2:50.0,Defensive rebound by E. Ilyasova,,94-101,,
2:38.0,Turnover by E. Ilyasova (bad pass; steal by R. Baker),,94-101,,
2:22.0,Personal foul by M. Belinelli (drawn by R. Baker),,94-101,,
2:22.0,,,94-102,1,R. Baker makes free throw 1 of 2
2:22.0,,,94-103,1,R. Baker makes free throw 2 of 2
2:11.0,E. Ilyasova makes 3-pt shot from 23 ft (assist by I. Taylor),3,97-103,,
1:46.0,,,97-103,,R. Baker misses 3-pt shot from 25 ft
1:43.0,Defensive rebound by I. Taylor,,97-103,,
1:40.0,Shooting foul by R. Baker (drawn by M. Belinelli),,97-103,,
1:40.0,,,97-103,,C. Lee enters the game for R. Baker
1:40.0,M. Belinelli makes free throw 1 of 3,1,98-103,,
1:40.0,M. Belinelli makes free throw 2 of 3,1,99-103,,
1:40.0,M. Belinelli makes free throw 3 of 3,1,100-103,,
1:24.0,,,100-105,2,K. Porzingis makes 2-pt shot from 10 ft
1:18.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by K. Bazemore),2,102-105,,
0:57.0,,,102-105,,J. Jack misses 2-pt shot from 3 ft (block by I. Taylor)
0:56.0,Defensive rebound by I. Taylor,,102-105,,
0:52.0,M. Belinelli misses 3-pt shot from 26 ft,,102-105,,
0:48.0,,,102-105,,Defensive rebound by C. Lee
0:42.0,,,102-105,,New York full timeout
0:42.0,D. Bembry enters the game for I. Taylor,,102-105,,
0:29.0,,,102-107,2,J. Jack makes 2-pt shot from 22 ft
0:28.0,Atlanta full timeout,,102-107,,
0:28.0,,,102-107,,R. Baker enters the game for C. Lee
0:28.0,L. Babbitt enters the game for K. Bazemore,,102-107,,
0:28.0,I. Taylor enters the game for D. Bembry,,102-107,,
0:20.0,,,102-107,,Loose ball foul by K. Porzingis (drawn by M. Belinelli)
0:20.0,,,102-107,,K. O'Quinn enters the game for J. Jack
0:20.0,K. Bazemore enters the game for L. Babbitt,,102-107,,
0:20.0,M. Belinelli makes free throw 1 of 2,1,103-107,,
0:20.0,M. Belinelli makes free throw 2 of 2,1,104-107,,
0:20.0,,,104-107,,New York full timeout
0:20.0,,,104-107,,D. McDermott enters the game for L. Thomas
0:20.0,,,104-107,,J. Jack enters the game for K. O'Quinn
0:20.0,D. Bembry enters the game for M. Belinelli,,104-107,,
0:12.0,Personal foul by K. Bazemore (drawn by F. Ntilikina),,104-107,,
0:12.0,,,104-107,,L. Thomas enters the game for K. Porzingis
0:12.0,,,104-107,,F. Ntilikina misses free throw 1 of 2
0:12.0,,,104-107,,Offensive rebound by Team
0:12.0,,,104-108,1,F. Ntilikina makes free throw 2 of 2
0:12.0,Atlanta full timeout,,104-108,,
0:12.0,M. Belinelli enters the game for D. Bembry,,104-108,,
0:08.0,Shooting foul by J. Jack (drawn by K. Bazemore),,104-108,,
0:08.0,K. Bazemore makes free throw 1 of 2,1,105-108,,
0:08.0,K. Bazemore makes free throw 2 of 2,1,106-108,,
0:08.0,,,106-108,,K. Porzingis enters the game for L. Thomas
0:08.0,D. Bembry enters the game for M. Belinelli,,106-108,,
0:07.0,Personal take foul by I. Taylor (drawn by J. Jack),,106-108,,
0:07.0,M. Belinelli enters the game for D. Bembry,,106-108,,
0:07.0,,,106-108,,J. Jack misses free throw 1 of 2
0:07.0,,,106-108,,Offensive rebound by Team
0:07.0,,,106-108,,L. Thomas enters the game for K. Porzingis
0:07.0,,,106-109,1,J. Jack makes free throw 2 of 2
0:03.0,,,106-109,,Personal foul by D. McDermott (drawn by K. Bazemore)
0:03.0,,,106-109,,K. O'Quinn enters the game for F. Ntilikina
0:03.0,,,106-109,,K. Porzingis enters the game for R. Baker
0:03.0,M. Plumlee enters the game for I. Taylor,,106-109,,
0:03.0,K. Bazemore makes free throw 1 of 2,1,107-109,,
0:03.0,,,107-109,,R. Baker enters the game for K. O'Quinn
0:03.0,D. Bembry enters the game for M. Belinelli,,107-109,,
0:03.0,I. Taylor enters the game for M. Plumlee,,107-109,,
0:03.0,K. Bazemore misses free throw 2 of 2,,107-109,,
0:03.0,,,107-109,,Defensive rebound by Team
0:03.0,Personal foul by D. Bembry (drawn by K. Porzingis),,107-109,,
0:03.0,,,107-110,1,K. Porzingis makes free throw 1 of 2
0:03.0,,,107-111,1,K. Porzingis makes free throw 2 of 2
0:00.0,I. Taylor misses 3-pt shot from 29 ft,,107-111,,
0:00.0,Offensive rebound by Team,,107-111,,
