time,Indiana,pts.away,score,pts.home,Minnesota
2:12.0,D. Wilkins enters the game for T. Young,,124-103,,
2:12.0,T. Leaf enters the game for B. Bogdanovic,,124-103,,
2:12.0,I. Anigbogu enters the game for D. Sabonis,,124-103,,
1:57.0,C. Joseph makes 2-pt shot from 19 ft,2,126-103,,
1:42.0,,,126-103,,Turnover by M. Georges-Hunt (lost ball; steal by C. Joseph)
1:34.0,J. Young misses 3-pt shot from 24 ft,,126-103,,
1:32.0,Offensive rebound by T. Leaf,,126-103,,
1:32.0,T. Leaf makes 2-pt shot at rim,2,128-103,,
1:26.0,Personal take foul by J. Young (drawn by A. Brooks),,128-103,,
1:26.0,A. Poythress enters the game for C. Joseph,,128-103,,
1:23.0,,,128-105,2,N. Bjelica makes 2-pt shot at rim (assist by C. Aldrich)
1:04.0,,,128-105,,Personal foul by C. Aldrich (drawn by A. Poythress)
1:00.0,Turnover by I. Anigbogu (lost ball; steal by A. Brooks),,128-105,,
0:55.0,,,128-105,,C. Aldrich misses 2-pt shot from 1 ft
0:54.0,,,128-105,,S. Muhammad misses 2-pt shot from 1 ft
0:54.0,Defensive rebound by D. Wilkins,,128-105,,
0:53.0,,,128-105,,Defensive rebound by S. Muhammad
0:35.0,J. Young makes 2-pt shot from 18 ft,2,130-105,,
0:25.0,,,130-107,2,A. Brooks makes 2-pt shot from 3 ft
0:01.0,Turnover by Team (shot clock),,130-107,,
