time,New York,pts.away,score,pts.home,Orlando
1:51.0,,,99-112,,W. Iwundu enters the game for A. Gordon
1:51.0,,,99-112,,J. Isaac enters the game for E. Payton
1:51.0,,,99-112,,S. Mack enters the game for E. Fournier
1:51.0,M. Kuzminskas enters the game for T. Hardaway,,99-112,,
1:51.0,D. Dotson enters the game for L. Thomas,,99-112,,
1:27.0,Jump ball: N. Vucevic vs. F. Ntilikina (T. Ross gains possession),,,,Jump ball: N. Vucevic vs. F. Ntilikina (T. Ross gains possession)
1:27.0,Turnover by D. Dotson (turnover; steal by N. Vucevic),,99-112,,
1:26.0,,,99-112,,W. Iwundu misses 2-pt shot from 13 ft
1:20.0,Defensive rebound by D. McDermott,,99-112,,
1:13.0,D. McDermott misses 2-pt shot from 3 ft,,99-112,,
1:10.0,,,99-112,,Defensive rebound by N. Vucevic
0:55.0,,,99-112,,S. Mack misses 2-pt shot from 9 ft
0:51.0,Defensive rebound by F. Ntilikina,,99-112,,
0:46.0,M. Kuzminskas misses 2-pt shot from 7 ft,,99-112,,
0:46.0,,,99-112,,Defensive rebound by S. Mack
0:20.0,,,99-112,,S. Mack misses 3-pt shot from 25 ft
0:17.0,Defensive rebound by D. Dotson,,99-112,,
0:06.0,M. Kuzminskas misses 2-pt shot from 1 ft (block by N. Vucevic),,99-112,,
0:02.0,,,99-112,,Defensive rebound by T. Ross
