time,Cleveland,pts.away,score,pts.home,LA Clippers
5:02.0,,,94-105,1,A. Rivers makes free throw 2 of 2
4:44.0,J. Green misses 3-pt shot from 24 ft,,94-105,,
4:41.0,,,94-105,,Defensive rebound by D. Jordan
4:29.0,,,94-108,3,L. Williams makes 3-pt shot from 26 ft (assist by A. Rivers)
4:12.0,,,94-108,,Def 3 sec tech foul by D. Jordan
4:12.0,J. Green makes technical free throw,1,95-108,,
4:02.0,L. Nance makes 2-pt shot from 2 ft (assist by J. Smith),2,97-108,,
3:57.0,Personal take foul by G. Hill (drawn by D. Jordan),,97-108,,
3:57.0,,,97-109,1,D. Jordan makes free throw 1 of 2
3:57.0,,,97-109,,D. Jordan misses free throw 2 of 2
3:54.0,Defensive rebound by L. James,,97-109,,
3:45.0,J. Smith misses 3-pt shot from 26 ft,,97-109,,
3:42.0,Offensive rebound by J. Green,,97-109,,
3:39.0,L. Nance makes 2-pt shot from 3 ft (assist by L. James),2,99-109,,
3:31.0,Personal take foul by J. Green (drawn by D. Jordan),,99-109,,
3:31.0,,,99-110,1,D. Jordan makes free throw 1 of 2
3:31.0,,,99-110,,D. Jordan misses free throw 2 of 2
3:29.0,Defensive rebound by J. Green,,99-110,,
3:15.0,J. Green misses 3-pt shot from 22 ft,,99-110,,
3:12.0,Offensive rebound by L. Nance,,99-110,,
3:07.0,G. Hill makes 3-pt shot from 23 ft (assist by J. Smith),3,102-110,,
3:00.0,Personal take foul by L. James (drawn by D. Jordan),,102-110,,
3:00.0,,,102-110,,D. Jordan misses free throw 1 of 2
3:00.0,,,102-110,,Offensive rebound by Team
3:00.0,,,102-111,1,D. Jordan makes free throw 2 of 2
2:47.0,Turnover by J. Green (traveling),,102-111,,
2:47.0,,,102-111,,LA Clippers full timeout
2:47.0,,,102-111,,M. Harrell enters the game for D. Jordan
2:47.0,K. Korver enters the game for J. Green,,102-111,,
2:30.0,,,102-111,,Turnover by L. Williams (bad pass; steal by J. Smith)
2:17.0,L. James misses 2-pt shot from 3 ft (block by S. Thornwell),,102-111,,
2:13.0,Offensive rebound by L. Nance,,102-111,,
2:09.0,L. James misses 3-pt shot from 24 ft,,102-111,,
2:05.0,,,102-111,,Defensive rebound by T. Harris
1:46.0,,,102-114,3,T. Harris makes 3-pt shot from 23 ft (assist by L. Williams)
1:46.0,Cleveland full timeout,,102-114,,
1:46.0,,,102-114,,D. Jordan enters the game for M. Harrell
1:46.0,L. Perrantes enters the game for G. Hill,,102-114,,
1:46.0,A. Zizic enters the game for J. Smith,,102-114,,
1:46.0,J. Calderon enters the game for L. Nance,,102-114,,
1:46.0,J. Holland enters the game for L. James,,102-114,,
1:34.0,J. Holland misses 3-pt shot from 27 ft,,102-114,,
1:31.0,,,102-114,,Defensive rebound by D. Jordan
1:08.0,,,102-114,,L. Williams misses 3-pt shot from 26 ft
1:06.0,Defensive rebound by K. Korver,,102-114,,
0:59.0,J. Holland misses 2-pt shot from 1 ft (block by D. Jordan),,102-114,,
0:57.0,,,102-114,,Defensive rebound by L. Williams
0:38.0,,,102-116,2,A. Rivers makes 2-pt shot from 1 ft
0:25.0,J. Calderon misses 2-pt shot from 17 ft,,102-116,,
0:23.0,,,102-116,,Defensive rebound by D. Jordan
0:10.0,,,102-116,,Turnover by Team (shot clock)
