time,Charlotte,pts.away,score,pts.home,San Antonio
6:46.0,,,63-58,,P. Gasol misses 3-pt shot from 24 ft
6:43.0,Defensive rebound by D. Bacon,,63-58,,
6:29.0,D. Howard misses 2-pt shot from 4 ft,,63-58,,
6:26.0,,,63-58,,Defensive rebound by K. Anderson
6:15.0,Personal foul by M. Williams (drawn by L. Aldridge),,63-58,,
6:15.0,,,63-58,,R. Gay enters the game for P. Gasol
6:05.0,,,63-58,,Turnover by L. Aldridge (lost ball; steal by J. Lamb)
6:02.0,Shooting foul by P. Mills (drawn by J. Lamb),,63-58,,
6:02.0,J. Lamb misses free throw 1 of 2,,63-58,,
6:02.0,Offensive rebound by Team,,63-58,,
6:02.0,,,63-58,,M. Ginobili enters the game for K. Anderson
6:02.0,,,63-58,,D. Murray enters the game for P. Mills
6:02.0,J. Lamb makes free throw 2 of 2,1,64-58,,
5:42.0,,,64-58,,D. Green misses 2-pt shot from 1 ft
5:39.0,,,64-58,,Offensive rebound by D. Green
5:34.0,,,64-58,,R. Gay misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by Team,,64-58,,
5:33.0,Technical foul by Team,,64-58,,
5:33.0,,,64-58,,L. Aldridge misses technical free throw
5:33.0,Defensive rebound by Team,,64-58,,
5:33.0,,,64-58,,B. Forbes enters the game for D. Green
5:33.0,T. Graham enters the game for J. Lamb,,64-58,,
5:20.0,D. Bacon misses 2-pt shot from 18 ft,,64-58,,
5:17.0,,,64-58,,Defensive rebound by R. Gay
5:09.0,,,64-61,3,B. Forbes makes 3-pt shot from 26 ft (assist by R. Gay)
4:55.0,F. Kaminsky enters the game for M. Williams,,64-61,,
4:54.0,K. Walker misses 2-pt shot from 15 ft,,64-61,,
4:42.0,Jump ball: L. Aldridge vs. D. Howard (R. Gay gains possession),,,,Jump ball: L. Aldridge vs. D. Howard (R. Gay gains possession)
4:42.0,,,64-61,,Offensive rebound by Team
4:40.0,,,64-61,,R. Gay misses 2-pt shot from 17 ft
4:36.0,Defensive rebound by T. Graham,,64-61,,
4:31.0,Shooting foul by L. Aldridge (drawn by D. Bacon),,64-61,,
4:31.0,D. Bacon makes free throw 1 of 2,1,65-61,,
4:31.0,D. Bacon makes free throw 2 of 2,1,66-61,,
4:15.0,,,66-61,,L. Aldridge misses 2-pt shot from 13 ft
4:12.0,Defensive rebound by T. Graham,,66-61,,
4:03.0,K. Walker misses 3-pt shot from 25 ft,,66-61,,
4:03.0,,,66-61,,Defensive rebound by B. Forbes
3:55.0,,,66-63,2,R. Gay makes 2-pt shot from 6 ft (assist by B. Forbes)
3:55.0,,,66-63,,Shooting foul by F. Kaminsky (drawn by R. Gay)
3:55.0,C. Zeller enters the game for D. Howard,,66-63,,
