time,Milwaukee,pts.away,score,pts.home,Houston
4:56.0,E. Bledsoe misses 3-pt shot from 26 ft,,89-101,,
4:53.0,,,89-101,,Defensive rebound by T. Ariza
4:45.0,,,89-101,,J. Harden misses 3-pt shot from 29 ft (block by M. Brogdon)
4:44.0,Defensive rebound by M. Brogdon,,89-101,,
4:39.0,M. Brogdon makes 2-pt shot at rim,2,91-101,,
4:18.0,,,91-103,2,E. Gordon makes 2-pt shot at rim
4:03.0,,,91-103,,Personal foul by T. Black (drawn by K. Middleton)
4:03.0,K. Middleton makes free throw 1 of 2,1,92-103,,
4:03.0,K. Middleton makes free throw 2 of 2,1,93-103,,
3:39.0,,,93-103,,Turnover by E. Gordon (bad pass; steal by K. Middleton)
3:39.0,,,93-103,,Personal foul by E. Gordon (drawn by K. Middleton)
3:39.0,K. Middleton makes free throw 1 of 2,1,94-103,,
3:39.0,,,94-103,,C. Paul enters the game for E. Gordon
3:39.0,K. Middleton makes free throw 2 of 2,1,95-103,,
3:27.0,,,95-103,,Turnover by J. Harden (bad pass; steal by G. Antetokounmpo)
3:22.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,95-103,,
3:20.0,Offensive rebound by G. Antetokounmpo,,95-103,,
3:17.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,97-103,,
3:14.0,,,97-103,,Houston full timeout
2:56.0,,,97-103,,Turnover by C. Paul (bad pass)
2:42.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Henson),2,99-103,,
2:24.0,,,99-106,3,T. Ariza makes 3-pt shot from 23 ft (assist by C. Paul)
1:57.0,E. Bledsoe misses 2-pt shot from 21 ft,,99-106,,
1:57.0,,,99-106,,Defensive rebound by Team
1:57.0,Loose ball foul by G. Antetokounmpo (drawn by P. Tucker),,99-106,,
1:39.0,Personal foul by E. Bledsoe (drawn by J. Harden),,99-106,,
1:39.0,,,99-107,1,J. Harden makes free throw 1 of 2
1:39.0,,,99-107,,J. Harden misses free throw 2 of 2
1:39.0,Defensive rebound by G. Antetokounmpo,,99-107,,
1:28.0,K. Middleton makes 2-pt shot from 8 ft,2,101-107,,
1:06.0,,,101-109,2,C. Paul makes 2-pt shot from 14 ft
0:56.0,K. Middleton makes 3-pt shot from 27 ft,3,104-109,,
0:33.0,,,104-111,2,C. Paul makes 2-pt shot from 19 ft
0:33.0,Milwaukee full timeout,,104-111,,
0:33.0,,,104-111,,Personal foul by T. Ariza (drawn by J. Henson)
0:33.0,J. Henson makes free throw 1 of 2,1,105-111,,
0:33.0,G. Payton enters the game for E. Bledsoe,,105-111,,
0:33.0,D. Liggins enters the game for K. Middleton,,105-111,,
0:33.0,J. Henson makes free throw 2 of 2,1,106-111,,
0:33.0,Personal take foul by M. Brogdon (drawn by T. Black),,106-111,,
0:33.0,,,106-111,,T. Black misses free throw 1 of 2
0:33.0,,,106-111,,Offensive rebound by Team
0:33.0,E. Bledsoe enters the game for G. Payton,,106-111,,
0:33.0,K. Middleton enters the game for D. Liggins,,106-111,,
0:33.0,,,106-111,,T. Black misses free throw 2 of 2
0:33.0,Defensive rebound by J. Henson,,106-111,,
0:33.0,Milwaukee full timeout,,106-111,,
0:23.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,106-111,,
0:22.0,,,106-111,,Defensive rebound by T. Ariza
0:21.0,Personal take foul by M. Brogdon (drawn by J. Harden),,106-111,,
0:21.0,,,106-112,1,J. Harden makes free throw 1 of 2
0:21.0,,,106-112,,J. Harden misses free throw 2 of 2
0:21.0,Defensive rebound by J. Henson,,106-112,,
0:14.0,K. Middleton makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,109-112,,
0:13.0,Personal take foul by G. Antetokounmpo (drawn by C. Paul),,109-112,,
0:13.0,,,109-113,1,C. Paul makes free throw 1 of 2
0:13.0,,,109-114,1,C. Paul makes free throw 2 of 2
0:02.0,E. Bledsoe misses 3-pt shot from 24 ft,,109-114,,
0:02.0,Offensive rebound by G. Antetokounmpo,,109-114,,
0:02.0,G. Antetokounmpo makes 2-pt shot at rim,2,111-114,,
0:02.0,Shooting foul by P. Tucker (drawn by G. Antetokounmpo),,111-114,,
0:02.0,T. Maker enters the game for E. Bledsoe,,111-114,,
0:02.0,G. Antetokounmpo misses free throw 1 of 1,,111-114,,
0:02.0,,,111-114,,Defensive rebound by T. Ariza
0:01.0,Personal take foul by K. Middleton (drawn by T. Ariza),,111-114,,
0:01.0,,,111-115,1,T. Ariza makes free throw 1 of 2
0:01.0,,,111-115,,T. Ariza misses free throw 2 of 2
0:00.0,Defensive rebound by J. Henson,,111-115,,
