time,Cleveland,pts.away,score,pts.home,Denver
2:24.0,R. Hood misses 2-pt shot from 18 ft,,104-102,,
2:22.0,,,104-102,,Defensive rebound by N. Jokic
2:01.0,,,104-102,,W. Barton misses 2-pt shot from 6 ft
1:59.0,Defensive rebound by L. James,,104-102,,
1:41.0,L. James makes 2-pt shot from 4 ft,2,106-102,,
1:41.0,,,106-102,,Shooting block foul by N. Jokic (drawn by L. James)
1:41.0,L. James misses free throw 1 of 1,,106-102,,
1:39.0,,,106-102,,Defensive rebound by N. Jokic
1:30.0,,,106-104,2,N. Jokic makes 2-pt shot from 5 ft
1:11.0,L. James makes 3-pt shot from 28 ft,3,109-104,,
1:11.0,,,109-104,,Denver full timeout
1:07.0,Personal foul by G. Hill (drawn by G. Harris),,109-104,,
0:59.0,,,109-106,2,P. Millsap makes 2-pt shot from 1 ft
0:41.0,L. James makes 2-pt shot from 12 ft,2,111-106,,
0:32.0,Personal foul by L. James (drawn by N. Jokic),,111-106,,
0:32.0,,,111-107,1,N. Jokic makes free throw 1 of 2
0:32.0,,,111-108,1,N. Jokic makes free throw 2 of 2
0:10.0,L. James makes 2-pt shot from 15 ft,2,113-108,,
0:09.0,,,113-108,,Denver full timeout
0:09.0,J. Green enters the game for K. Korver,,113-108,,
0:05.0,,,113-108,,Turnover by P. Millsap (step out of bounds)
0:05.0,Cleveland full timeout,,113-108,,
0:05.0,,,113-108,,M. Beasley enters the game for N. Jokic
0:05.0,K. Korver enters the game for L. Nance,,113-108,,
0:05.0,Cleveland full timeout,,113-108,,
