time,Phoenix,pts.away,score,pts.home,Indiana
9:40.0,,,67-102,1,L. Stephenson makes free throw 1 of 2
9:40.0,,,67-102,,L. Stephenson misses free throw 2 of 2
9:38.0,Defensive rebound by G. Monroe,,67-102,,
9:25.0,I. Canaan misses 3-pt shot from 25 ft,,67-102,,
9:21.0,,,67-102,,Defensive rebound by L. Stephenson
9:07.0,,,67-102,,A. Jefferson misses 2-pt shot from 1 ft (block by G. Monroe)
9:05.0,Defensive rebound by G. Monroe,,67-102,,
9:00.0,D. Booker misses 2-pt shot at rim,,67-102,,
9:00.0,Offensive rebound by D. Booker,,67-102,,
8:58.0,D. Booker makes 2-pt shot from 1 ft,2,69-102,,
8:41.0,,,69-105,3,B. Bogdanovic makes 3-pt shot from 29 ft (assist by C. Joseph)
8:30.0,D. Booker misses 2-pt shot from 22 ft,,69-105,,
8:30.0,,,69-105,,Defensive rebound by B. Bogdanovic
8:27.0,Personal take foul by G. Monroe (drawn by B. Bogdanovic),,69-105,,
8:27.0,T. Ulis enters the game for I. Canaan,,69-105,,
8:16.0,,,69-107,2,C. Joseph makes 2-pt shot from 7 ft
8:02.0,T. Warren makes 2-pt shot at rim (assist by D. Booker),2,71-107,,
7:41.0,,,71-107,,B. Bogdanovic misses 3-pt shot from 27 ft
7:38.0,Defensive rebound by G. Monroe,,71-107,,
7:33.0,T. Warren makes 2-pt shot at rim,2,73-107,,
7:33.0,Shooting foul by B. Bogdanovic (drawn by T. Warren),,73-107,,
7:33.0,D. Bender enters the game for G. Monroe,,73-107,,
7:33.0,T. Warren misses free throw 1 of 1,,73-107,,
7:31.0,,,73-107,,Defensive rebound by L. Stephenson
7:24.0,,,73-107,,L. Stephenson misses 3-pt shot from 25 ft
7:21.0,Defensive rebound by D. Booker,,73-107,,
7:16.0,Shooting foul by A. Jefferson (drawn by D. Booker),,73-107,,
7:16.0,D. Booker makes free throw 1 of 2,1,74-107,,
7:16.0,D. Booker makes free throw 2 of 2,1,75-107,,
7:03.0,,,75-107,,Turnover by J. Young (traveling)
6:58.0,T. Warren misses 2-pt shot from 20 ft,,75-107,,
6:55.0,Offensive rebound by A. Peters,,75-107,,
