time,New York,pts.away,score,pts.home,Golden State
1:47.0,Turnover by R. Baker (bad pass; steal by K. Looney),,103-121,,
1:44.0,Personal foul by F. Ntilikina (drawn by K. Looney),,103-121,,
1:33.0,,,103-121,,O. Casspi misses 2-pt shot from 5 ft
1:29.0,Defensive rebound by R. Baker,,103-121,,
1:27.0,T. Burke makes 2-pt shot from 16 ft,2,105-121,,
1:06.0,,,105-123,2,J. McGee makes 2-pt shot from 1 ft (assist by K. Looney)
0:45.0,D. McDermott makes 3-pt shot from 23 ft (assist by W. Hernangomez),3,108-123,,
0:32.0,,,108-123,,Turnover by P. McCaw (bad pass; steal by W. Hernangomez)
0:28.0,W. Hernangomez makes 2-pt shot from 1 ft (assist by T. Burke),2,110-123,,
0:23.0,,,110-123,,Turnover by O. Casspi (bad pass)
0:09.0,T. Burke makes 2-pt shot from 19 ft,2,112-123,,
