time,Portland,pts.away,score,pts.home,Brooklyn
5:32.0,Portland full timeout,,111-116,,
5:25.0,,,111-116,,Personal foul by C. LeVert (drawn by D. Lillard)
5:25.0,D. Lillard makes free throw 1 of 2,1,112-116,,
5:25.0,D. Lillard makes free throw 2 of 2,1,113-116,,
5:19.0,Personal foul by C. McCollum (drawn by A. Crabbe),,113-116,,
5:09.0,,,113-116,,S. Dinwiddie misses 2-pt shot from 12 ft
5:06.0,Defensive rebound by J. Nurkic,,113-116,,
5:01.0,D. Lillard misses 3-pt shot from 26 ft,,113-116,,
4:58.0,,,113-116,,Defensive rebound by T. Booker
4:48.0,,,113-118,2,C. LeVert makes 2-pt shot from 22 ft
4:31.0,C. McCollum misses 2-pt shot from 1 ft (block by R. Hollis-Jefferson),,113-118,,
4:27.0,,,113-118,,Defensive rebound by T. Booker
4:20.0,,,113-118,,A. Crabbe misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by J. Nurkic,,113-118,,
4:04.0,Shooting foul by T. Booker (drawn by J. Nurkic),,113-118,,
4:04.0,J. Nurkic makes free throw 1 of 2,1,114-118,,
4:04.0,,,114-118,,J. Allen enters the game for T. Booker
4:04.0,J. Nurkic makes free throw 2 of 2,1,115-118,,
3:42.0,,,115-118,,Shooting foul by E. Turner (drawn by J. Allen)
3:42.0,,,115-119,1,J. Allen makes free throw 1 of 2
3:42.0,S. Napier enters the game for N. Vonleh,,115-119,,
3:42.0,,,115-119,,J. Allen misses free throw 2 of 2
3:40.0,Defensive rebound by J. Nurkic,,115-119,,
3:30.0,E. Turner misses 2-pt shot from 19 ft,,115-119,,
3:27.0,,,115-119,,Defensive rebound by J. Allen
3:24.0,Jump ball: J. Allen vs. C. McCollum (A. Crabbe gains possession),,,,Jump ball: J. Allen vs. C. McCollum (A. Crabbe gains possession)
3:10.0,,,115-119,,S. Dinwiddie misses 2-pt shot from 14 ft
3:06.0,Defensive rebound by J. Nurkic,,115-119,,
2:57.0,D. Lillard misses 2-pt shot from 1 ft (block by S. Dinwiddie),,115-119,,
2:54.0,,,115-119,,Defensive rebound by C. LeVert
2:53.0,,,115-119,,Turnover by C. LeVert (lost ball; steal by C. McCollum)
2:42.0,J. Nurkic misses 2-pt shot from 22 ft,,115-119,,
2:40.0,,,115-119,,Defensive rebound by J. Allen
2:20.0,,,115-121,2,A. Crabbe makes 2-pt shot from 12 ft (assist by S. Dinwiddie)
2:06.0,,,115-121,,Personal foul by J. Allen (drawn by D. Lillard)
2:06.0,D. Lillard makes free throw 1 of 2,1,116-121,,
2:06.0,D. Lillard makes free throw 2 of 2,1,117-121,,
1:48.0,,,117-121,,J. Allen misses 2-pt shot from 6 ft (block by J. Nurkic)
1:48.0,Defensive rebound by Team,,117-121,,
1:42.0,D. Lillard misses 2-pt shot from 1 ft (block by J. Allen),,117-121,,
1:42.0,Offensive rebound by J. Nurkic,,117-121,,
1:42.0,Shooting foul by S. Dinwiddie (drawn by J. Nurkic),,117-121,,
1:42.0,J. Nurkic misses free throw 1 of 2,,117-121,,
1:42.0,Offensive rebound by Team,,117-121,,
1:42.0,J. Nurkic makes free throw 2 of 2,1,118-121,,
1:27.0,,,118-121,,J. Allen misses 2-pt shot from 5 ft (block by D. Lillard)
1:26.0,,,118-121,,Offensive rebound by S. Dinwiddie
1:25.0,,,118-121,,S. Dinwiddie misses 2-pt shot from 1 ft (block by J. Nurkic)
1:25.0,Defensive rebound by J. Nurkic,,118-121,,
1:15.0,C. McCollum makes 2-pt shot from 1 ft,2,120-121,,
1:00.0,,,120-121,,A. Crabbe misses 2-pt shot from 10 ft (block by C. McCollum)
0:57.0,Defensive rebound by E. Turner,,120-121,,
0:55.0,S. Napier makes 2-pt shot at rim,2,122-121,,
0:55.0,Shooting foul by S. Dinwiddie (drawn by S. Napier),,122-121,,
0:55.0,,,122-121,,D. Carroll enters the game for R. Hollis-Jefferson
0:55.0,S. Napier makes free throw 1 of 1,1,123-121,,
0:39.0,,,123-121,,S. Dinwiddie misses 2-pt shot from 1 ft
0:38.0,,,123-121,,Offensive rebound by S. Dinwiddie
0:38.0,,,123-123,2,S. Dinwiddie makes 2-pt shot from 1 ft
0:30.0,J. Nurkic misses 2-pt shot from 1 ft (block by D. Carroll),,123-123,,
0:28.0,,,123-123,,Defensive rebound by C. LeVert
0:27.0,,,123-123,,Turnover by C. LeVert (lost ball; steal by J. Nurkic)
0:27.0,J. Nurkic makes 2-pt shot from 1 ft,2,125-123,,
0:27.0,Shooting foul by S. Dinwiddie (drawn by J. Nurkic),,125-123,,
0:27.0,,,125-123,,Brooklyn full timeout
0:27.0,J. Nurkic makes free throw 1 of 1,1,126-123,,
0:15.0,,,126-125,2,S. Dinwiddie makes 2-pt shot from 1 ft (assist by J. Allen)
0:15.0,P. Connaughton enters the game for J. Nurkic,,126-125,,
0:15.0,,,126-125,,R. Hollis-Jefferson enters the game for J. Allen
0:11.0,,,126-125,,Personal take foul by C. LeVert (drawn by C. McCollum)
0:11.0,C. McCollum misses free throw 1 of 2,,126-125,,
0:11.0,Offensive rebound by Team,,126-125,,
0:11.0,,,126-125,,J. Allen enters the game for D. Carroll
0:11.0,J. Nurkic enters the game for P. Connaughton,,126-125,,
0:11.0,C. McCollum makes free throw 2 of 2,1,127-125,,
0:11.0,,,127-125,,Brooklyn full timeout
0:11.0,,,127-125,,J. Harris enters the game for C. LeVert
0:11.0,,,127-125,,D. Carroll enters the game for R. Hollis-Jefferson
0:04.0,,,127-125,,S. Dinwiddie misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by J. Nurkic,,127-125,,
0:02.0,,,127-125,,Personal take foul by D. Carroll (drawn by J. Nurkic)
0:02.0,J. Nurkic misses free throw 1 of 2,,127-125,,
0:02.0,Offensive rebound by Team,,127-125,,
0:02.0,J. Nurkic misses free throw 2 of 2,,127-125,,
0:00.0,,,127-125,,Defensive rebound by D. Carroll
0:00.0,Personal take foul by J. Nurkic (drawn by D. Carroll),,127-125,,
