time,Orlando,pts.away,score,pts.home,Brooklyn
3:06.0,,,45-50,,Q. Acy enters the game for R. Hollis-Jefferson
3:06.0,J. Simmons enters the game for A. Afflalo,,45-50,,
3:06.0,,,45-51,1,D. Carroll makes free throw 2 of 2
2:49.0,N. Vucevic makes 2-pt shot from 9 ft,2,47-51,,
2:31.0,,,47-51,,D. Russell misses 2-pt shot from 9 ft
2:27.0,Defensive rebound by E. Fournier,,47-51,,
2:22.0,,,47-51,,Brooklyn full timeout
2:22.0,,,50-51,,S. Dinwiddie enters the game for Q. Acy
2:21.0,N. Vucevic makes 3-pt shot from 25 ft (assist by E. Payton),3,50-51,,
2:09.0,,,50-51,,Turnover by D. Carroll (traveling)
1:53.0,E. Payton misses 3-pt shot from 22 ft,,50-51,,
1:51.0,,,50-51,,Defensive rebound by J. Allen
1:35.0,,,50-51,,Shooting foul by E. Fournier (drawn by S. Dinwiddie)
1:35.0,,,50-52,1,S. Dinwiddie makes free throw 1 of 3
1:35.0,,,50-52,,S. Dinwiddie misses free throw 2 of 3
1:35.0,,,50-52,,Offensive rebound by Team
1:35.0,,,50-53,1,S. Dinwiddie makes free throw 3 of 3
1:26.0,,,50-53,,Personal foul by J. Allen (drawn by T. Ross)
1:23.0,E. Fournier misses 2-pt shot from 6 ft,,50-53,,
1:20.0,Offensive rebound by E. Fournier,,50-53,,
1:17.0,E. Fournier makes 2-pt shot from 9 ft,2,52-53,,
1:09.0,,,52-55,2,J. Allen makes 2-pt shot at rim (assist by D. Russell)
0:59.0,E. Payton makes 2-pt shot from 2 ft,2,54-55,,
0:50.0,,,54-57,2,J. Allen makes 2-pt shot at rim (assist by A. Crabbe)
0:42.0,E. Payton misses 2-pt shot from 1 ft (block by J. Allen),,54-57,,
0:36.0,,,54-57,,Defensive rebound by S. Dinwiddie
0:31.0,,,54-57,,S. Dinwiddie misses 3-pt shot from 24 ft
0:31.0,Defensive rebound by T. Ross,,54-57,,
0:14.0,,,54-57,,Personal foul by D. Russell (drawn by N. Vucevic)
0:14.0,N. Vucevic misses free throw 1 of 2,,54-57,,
0:14.0,Offensive rebound by Team,,54-57,,
0:14.0,A. Afflalo enters the game for E. Payton,,54-57,,
0:14.0,N. Vucevic makes free throw 2 of 2,1,55-57,,
0:14.0,,,55-57,,Brooklyn full timeout
0:14.0,B. Biyombo enters the game for N. Vucevic,,55-57,,
0:03.0,,,55-57,,Shooting foul by E. Fournier (drawn by J. Allen)
0:03.0,,,55-58,1,J. Allen makes free throw 1 of 2
0:03.0,,,55-58,,R. Hollis-Jefferson enters the game for D. Russell
0:03.0,,,55-58,,C. LeVert enters the game for A. Crabbe
0:03.0,M. Speights enters the game for A. Afflalo,,55-58,,
0:03.0,,,55-58,,J. Allen misses free throw 2 of 2
0:01.0,Defensive rebound by B. Biyombo,,55-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,N. Vucevic makes 2-pt shot from 19 ft (assist by S. Mack),2,57-58,,
11:31.0,,,57-60,2,R. Hollis-Jefferson makes 2-pt shot from 13 ft (assist by D. Russell)
11:22.0,N. Vucevic makes 3-pt shot from 25 ft (assist by S. Mack),3,60-60,,
11:06.0,,,60-60,,D. Carroll misses 2-pt shot from 10 ft
11:04.0,Defensive rebound by N. Vucevic,,60-60,,
11:03.0,Turnover by N. Vucevic (bad pass),,60-60,,
11:03.0,Turnover by N. Vucevic (bad pass),,60-60,,
10:57.0,,,60-60,,D. Russell misses 3-pt shot from 24 ft
10:54.0,Defensive rebound by T. Ross,,60-60,,
10:42.0,N. Vucevic misses 3-pt shot from 24 ft,,60-60,,
10:42.0,,,60-60,,Defensive rebound by D. Carroll
10:30.0,,,60-60,,T. Mozgov misses 2-pt shot from 1 ft
10:27.0,Defensive rebound by N. Vucevic,,60-60,,
10:20.0,J. Isaac makes 2-pt shot at rim (assist by N. Vucevic),2,62-60,,
10:11.0,,,62-60,,Offensive foul by D. Russell (drawn by E. Fournier)
10:11.0,,,62-60,,Turnover by D. Russell (offensive foul)
9:56.0,S. Mack misses 3-pt shot from 25 ft,,62-60,,
9:53.0,,,62-60,,Defensive rebound by T. Mozgov
9:45.0,,,62-60,,A. Crabbe misses 3-pt shot from 24 ft
9:43.0,Defensive rebound by N. Vucevic,,62-60,,
9:28.0,N. Vucevic makes 2-pt shot at rim (assist by E. Fournier),2,64-60,,
9:13.0,,,64-62,2,R. Hollis-Jefferson makes 2-pt shot at rim
9:02.0,E. Fournier makes 2-pt shot at rim (assist by N. Vucevic),2,66-62,,
8:47.0,,,66-62,,Turnover by D. Russell (bad pass; steal by J. Isaac)
8:45.0,Turnover by J. Isaac (lost ball; steal by R. Hollis-Jefferson),,66-62,,
8:39.0,,,66-65,3,D. Carroll makes 3-pt shot from 22 ft (assist by R. Hollis-Jefferson)
8:27.0,E. Fournier misses 2-pt shot from 1 ft (block by R. Hollis-Jefferson),,66-65,,
8:24.0,,,66-65,,Defensive rebound by R. Hollis-Jefferson
8:19.0,,,66-68,3,A. Crabbe makes 3-pt shot from 26 ft (assist by D. Carroll)
8:11.0,,,66-70,2,D. Russell makes 2-pt shot from 2 ft
8:11.0,Orlando full timeout,,66-70,,
