time,Houston,pts.away,score,pts.home,Portland
1:39.0,,,113-106,1,D. Lillard makes free throw 2 of 3
1:39.0,,,113-107,1,D. Lillard makes free throw 3 of 3
1:25.0,,,113-107,,Personal foul by M. Harkless (drawn by C. Paul)
1:10.0,J. Harden misses 2-pt shot from 5 ft (block by J. Nurkic),,113-107,,
1:08.0,,,113-107,,Defensive rebound by D. Lillard
1:07.0,,,113-109,2,D. Lillard makes 2-pt shot at rim
0:43.0,C. Paul misses 2-pt shot from 13 ft,,113-109,,
0:41.0,,,113-109,,Defensive rebound by J. Nurkic
0:28.0,,,113-111,2,C. McCollum makes 2-pt shot from 14 ft (assist by A. Aminu)
0:04.0,C. Paul misses 2-pt shot from 11 ft,,113-111,,
0:01.0,Offensive rebound by C. Paul,,113-111,,
0:01.0,,,113-111,,Personal foul by A. Aminu (drawn by C. Paul)
0:01.0,C. Paul makes free throw 1 of 2,1,114-111,,
0:01.0,C. Paul makes free throw 2 of 2,1,115-111,,
0:01.0,,,115-111,,Portland full timeout
0:01.0,,,115-111,,E. Turner enters the game for J. Nurkic
0:01.0,E. Gordon enters the game for P. Tucker,,115-111,,
0:01.0,P. Tucker enters the game for C. Paul,,115-111,,
0:00.0,,,115-111,,D. Lillard misses 3-pt shot from 29 ft
0:00.0,,,115-111,,Offensive rebound by Team
