time,Houston,pts.away,score,pts.home,Memphis
1:15.0,D. Jackson misses 2-pt shot at rim,,81-100,,
1:12.0,Offensive rebound by T. Williams,,81-100,,
1:11.0,T. Williams misses 2-pt shot from 1 ft,,81-100,,
1:11.0,Offensive rebound by T. Black,,81-100,,
1:10.0,T. Black makes 2-pt shot at rim,2,83-100,,
1:10.0,Shooting foul by D. Davis (drawn by T. Black),,83-100,,
1:10.0,,,83-100,,I. Rabb enters the game for J. Ennis
1:10.0,T. Black makes free throw 1 of 1,1,84-100,,
0:53.0,,,84-103,3,M. Chalmers makes 3-pt shot from 27 ft (assist by D. Davis)
0:33.0,B. Brown makes 3-pt shot from 26 ft,3,87-103,,
0:14.0,,,87-103,,D. Brooks misses 3-pt shot from 26 ft
0:11.0,Defensive rebound by T. Black,,87-103,,
0:05.0,T. Williams makes 2-pt shot at rim,2,89-103,,
0:05.0,Shooting foul by A. Harrison (drawn by T. Williams),,89-103,,
0:05.0,T. Williams misses free throw 1 of 1,,89-103,,
0:00.0,,,89-103,,Defensive rebound by D. Davis
