time,Washington,pts.away,score,pts.home,Dallas
4:32.0,,,63-82,,D. Smith misses 2-pt shot from 3 ft
4:32.0,,,63-82,,Offensive rebound by Y. Ferrell
4:32.0,,,63-84,2,Y. Ferrell makes 2-pt shot at rim
4:32.0,Washington full timeout,,63-84,,
4:32.0,J. Meeks enters the game for J. Wall,,63-84,,
4:32.0,T. Frazier enters the game for B. Beal,,63-84,,
4:32.0,C. McCullough enters the game for K. Oubre,,63-84,,
4:16.0,J. Meeks makes 2-pt shot from 4 ft (assist by T. Frazier),2,65-84,,
3:58.0,,,65-84,,W. Matthews misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by T. Satoransky,,65-84,,
3:48.0,C. McCullough misses 2-pt shot from 2 ft,,65-84,,
3:45.0,,,65-84,,Defensive rebound by W. Matthews
3:39.0,,,65-86,2,H. Barnes makes 2-pt shot from 17 ft
3:25.0,J. Meeks misses 3-pt shot from 24 ft,,65-86,,
3:25.0,,,65-86,,Defensive rebound by D. Smith
3:17.0,,,65-86,,W. Matthews misses 3-pt shot from 26 ft
3:13.0,Defensive rebound by T. Frazier,,65-86,,
3:09.0,J. Meeks misses 3-pt shot from 25 ft,,65-86,,
3:09.0,Offensive rebound by J. Smith,,65-86,,
3:08.0,,,65-86,,Personal foul by W. Matthews (drawn by J. Smith)
3:08.0,J. Smith misses free throw 1 of 2,,65-86,,
3:08.0,Offensive rebound by Team,,65-86,,
3:08.0,,,65-86,,K. Collinsworth enters the game for W. Matthews
3:08.0,,,65-86,,J. Jones enters the game for H. Barnes
3:08.0,,,65-86,,J. McRoberts enters the game for M. Kleber
3:08.0,J. Smith makes free throw 2 of 2,1,66-86,,
2:55.0,,,66-88,2,D. Smith makes 2-pt shot at rim
2:45.0,T. Frazier makes 2-pt shot from 21 ft,2,68-88,,
2:32.0,,,68-90,2,J. Jones makes 2-pt shot from 1 ft
2:18.0,J. Smith misses 2-pt shot from 22 ft,,68-90,,
2:17.0,,,68-90,,Defensive rebound by Team
2:02.0,,,68-93,3,D. Smith makes 3-pt shot from 24 ft
1:50.0,Turnover by J. Meeks (lost ball; steal by D. Smith),,68-93,,
1:50.0,,,68-93,,Dallas full timeout
1:50.0,,,68-93,,D. Powell enters the game for D. Smith
1:32.0,,,68-93,,Y. Ferrell misses 2-pt shot from 16 ft (block by C. McCullough)
1:30.0,Defensive rebound by Team,,68-93,,
1:23.0,J. Meeks makes 3-pt shot from 25 ft (assist by T. Frazier),3,71-93,,
1:05.0,,,71-96,3,Y. Ferrell makes 3-pt shot from 24 ft (assist by K. Collinsworth)
0:53.0,T. Frazier makes 3-pt shot from 24 ft (assist by C. McCullough),3,74-96,,
0:39.0,,,74-96,,Turnover by K. Collinsworth (bad pass; steal by J. Smith)
0:31.0,T. Satoransky misses 2-pt shot from 2 ft,,74-96,,
0:26.0,,,74-96,,Defensive rebound by K. Collinsworth
0:08.0,,,74-98,2,D. Powell makes 2-pt shot at rim (assist by K. Collinsworth)
0:03.0,Shooting foul by J. McRoberts (drawn by C. McCullough),,74-98,,
0:03.0,C. McCullough misses free throw 1 of 2,,74-98,,
0:03.0,Offensive rebound by Team,,74-98,,
0:03.0,C. McCullough makes free throw 2 of 2,1,75-98,,
