time,Dallas,pts.away,score,pts.home,Milwaukee
3:39.0,Turnover by H. Barnes (lost ball; steal by E. Bledsoe),,98-99,,
3:34.0,,,98-99,,G. Antetokounmpo misses 2-pt shot at rim
3:33.0,,,98-99,,Loose ball foul by G. Antetokounmpo (drawn by H. Barnes)
3:32.0,Defensive rebound by Team,,98-99,,
3:16.0,W. Matthews misses 2-pt shot from 2 ft,,98-99,,
3:13.0,,,98-99,,Defensive rebound by T. Maker
3:03.0,,,98-102,3,K. Middleton makes 3-pt shot from 28 ft
3:03.0,,,98-102,,Shooting foul by D. Powell (drawn by K. Middleton)
3:03.0,D. Nowitzki enters the game for D. Powell,,98-102,,
3:03.0,J. Barea enters the game for Y. Ferrell,,98-102,,
3:03.0,,,98-103,1,K. Middleton makes free throw 1 of 1
2:47.0,Turnover by D. Nowitzki (bad pass; steal by T. Maker),,98-103,,
2:33.0,,,98-103,,E. Bledsoe misses 2-pt shot from 15 ft
2:28.0,Defensive rebound by H. Barnes,,98-103,,
2:21.0,J. Barea misses 3-pt shot from 28 ft,,98-103,,
2:17.0,,,98-103,,Defensive rebound by T. Maker
2:02.0,,,98-105,2,K. Middleton makes 2-pt shot from 8 ft
2:02.0,Dallas full timeout,,98-105,,
2:02.0,Y. Ferrell enters the game for D. Harris,,98-105,,
1:47.0,H. Barnes makes 2-pt shot from 21 ft,2,100-105,,
1:28.0,,,100-105,,E. Bledsoe misses 2-pt shot from 7 ft
1:26.0,Defensive rebound by D. Nowitzki,,100-105,,
1:20.0,D. Nowitzki misses 3-pt shot from 28 ft,,100-105,,
1:16.0,,,100-105,,Defensive rebound by T. Maker
0:58.0,,,100-105,,Turnover by K. Middleton (bad pass; steal by D. Nowitzki)
0:58.0,Dallas full timeout,,100-105,,
0:49.0,H. Barnes makes 2-pt shot from 17 ft,2,102-105,,
0:27.0,,,102-105,,K. Middleton misses 3-pt shot from 27 ft
0:24.0,Defensive rebound by J. Barea,,102-105,,
0:22.0,H. Barnes misses 3-pt shot from 26 ft,,102-105,,
0:19.0,,,102-105,,Defensive rebound by G. Antetokounmpo
0:19.0,Personal take foul by D. Nowitzki (drawn by G. Antetokounmpo),,102-105,,
0:19.0,D. Powell enters the game for D. Nowitzki,,102-105,,
0:19.0,A. Cleveland enters the game for Y. Ferrell,,102-105,,
0:18.0,Personal take foul by A. Cleveland (drawn by K. Middleton),,102-105,,
0:18.0,,,102-106,1,K. Middleton makes free throw 1 of 2
0:18.0,D. Nowitzki enters the game for D. Powell,,102-106,,
0:18.0,Y. Ferrell enters the game for A. Cleveland,,102-106,,
0:18.0,,,102-107,1,K. Middleton makes free throw 2 of 2
0:07.0,Y. Ferrell misses 2-pt shot from 1 ft (block by T. Maker),,102-107,,
0:05.0,,,102-107,,Defensive rebound by E. Bledsoe
0:05.0,Personal take foul by W. Matthews (drawn by E. Bledsoe),,102-107,,
0:05.0,,,102-108,1,E. Bledsoe makes free throw 1 of 2
0:05.0,,,102-109,1,E. Bledsoe makes free throw 2 of 2
