time,Atlanta,pts.away,score,pts.home,Indiana
2:16.0,,,85-110,,Defensive rebound by T. Leaf
2:07.0,,,85-112,2,D. Collison makes 2-pt shot at rim (assist by D. Sabonis)
1:50.0,M. Plumlee misses 2-pt shot from 16 ft,,85-112,,
1:48.0,,,85-112,,Defensive rebound by D. Sabonis
1:45.0,,,85-112,,Indiana full timeout
1:45.0,,,85-112,,J. Young enters the game for D. Collison
1:31.0,,,85-112,,J. Young misses 2-pt shot from 15 ft
1:28.0,Defensive rebound by A. White,,85-112,,
1:16.0,M. Plumlee makes 2-pt shot at rim (assist by J. Magette),2,87-112,,
0:59.0,,,87-112,,C. Joseph misses 2-pt shot from 3 ft
0:57.0,Defensive rebound by T. Dorsey,,87-112,,
0:55.0,T. Dorsey misses 2-pt shot from 17 ft,,87-112,,
0:51.0,Offensive rebound by M. Plumlee,,87-112,,
0:44.0,A. White misses 3-pt shot from 25 ft,,87-112,,
0:41.0,,,87-112,,Defensive rebound by T. Leaf
0:21.0,,,87-112,,J. Young misses 3-pt shot from 23 ft
0:18.0,Defensive rebound by D. Dedmon,,87-112,,
0:11.0,D. Dedmon misses 2-pt shot at rim,,87-112,,
0:09.0,,,87-112,,Defensive rebound by J. Young
