time,Philadelphia,pts.away,score,pts.home,Minnesota
3:50.0,,,84-88,,Offensive rebound by T. Gibson
3:50.0,,,84-88,,Shooting foul by J. Embiid (drawn by T. Gibson)
3:50.0,,,84-88,,T. Gibson misses free throw 1 of 2
3:50.0,,,84-88,,Offensive rebound by Team
3:50.0,,,84-88,,T. Gibson misses free throw 2 of 2
3:48.0,Defensive rebound by J. Embiid,,84-88,,
3:28.0,Turnover by J. Embiid (bad pass; steal by J. Butler),,84-88,,
3:22.0,,,84-90,2,J. Butler makes 2-pt shot at rim
3:22.0,Philadelphia full timeout,,84-90,,
3:08.0,,,84-90,,Def 3 sec tech foul by T. Gibson
3:08.0,J. Redick makes technical free throw,1,85-90,,
3:02.0,J. Embiid misses 2-pt shot from 9 ft,,85-90,,
2:59.0,Offensive rebound by D. Saric,,85-90,,
2:48.0,D. Saric makes 3-pt shot from 25 ft (assist by J. Embiid),3,88-90,,
2:25.0,,,88-90,,J. Butler misses 2-pt shot from 15 ft
2:22.0,Defensive rebound by J. Embiid,,88-90,,
2:17.0,R. Holmes makes 2-pt shot at rim (assist by D. Saric),2,90-90,,
2:17.0,Shooting foul by T. Gibson (drawn by R. Holmes),,90-90,,
2:17.0,R. Holmes makes free throw 1 of 1,1,91-90,,
2:05.0,,,91-92,2,A. Wiggins makes 2-pt shot from 19 ft
1:45.0,D. Saric makes 3-pt shot from 25 ft (assist by J. Embiid),3,94-92,,
1:34.0,,,94-94,2,J. Teague makes 2-pt shot from 7 ft
1:17.0,B. Simmons makes 2-pt shot from 1 ft (assist by J. Embiid),2,96-94,,
1:13.0,,,96-94,,Minnesota full timeout
1:04.0,,,96-94,,A. Wiggins misses 3-pt shot from 23 ft
1:02.0,,,96-94,,Offensive rebound by T. Gibson
1:01.0,,,96-94,,J. Butler misses 3-pt shot from 24 ft
1:01.0,,,96-94,,Offensive rebound by A. Wiggins
0:56.0,,,96-94,,A. Wiggins misses 2-pt shot at rim
0:56.0,,,96-94,,Offensive rebound by A. Wiggins
0:47.0,,,96-97,3,J. Butler makes 3-pt shot from 25 ft (assist by A. Wiggins)
0:32.0,B. Simmons makes 2-pt shot from 1 ft (assist by J. Redick),2,98-97,,
0:32.0,Shooting foul by T. Gibson (drawn by B. Simmons),,98-97,,
0:32.0,B. Simmons misses free throw 1 of 1,,98-97,,
0:30.0,,,98-97,,Defensive rebound by K. Towns
0:17.0,,,98-100,3,J. Butler makes 3-pt shot from 25 ft
0:16.0,Philadelphia full timeout,,98-100,,
0:14.0,Shooting foul by K. Towns (drawn by J. Embiid),,98-100,,
0:14.0,J. Embiid makes free throw 1 of 2,1,99-100,,
0:14.0,J. Embiid makes free throw 2 of 2,1,100-100,,
0:01.0,,,100-100,,J. Butler misses 2-pt shot from 19 ft
0:01.0,Defensive rebound by J. Embiid,,100-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: K. Towns vs. J. Embiid (J. Teague gains possession),,,,Jump ball: K. Towns vs. J. Embiid (J. Teague gains possession)
4:35.0,,,100-100,,J. Teague misses 2-pt shot from 13 ft
4:32.0,Defensive rebound by B. Simmons,,100-100,,
4:27.0,Shooting foul by T. Gibson (drawn by D. Saric),,100-100,,
4:27.0,,,100-100,,G. Dieng enters the game for T. Gibson
4:27.0,D. Saric makes free throw 1 of 2,1,101-100,,
4:27.0,D. Saric misses free throw 2 of 2,,101-100,,
4:25.0,,,101-100,,Defensive rebound by G. Dieng
4:22.0,Personal foul by R. Holmes (drawn by J. Teague),,101-100,,
4:04.0,,,101-100,,J. Butler misses 2-pt shot from 1 ft
4:03.0,,,101-100,,Offensive rebound by K. Towns
4:01.0,,,101-100,,K. Towns misses 2-pt shot at rim
4:01.0,Defensive rebound by R. Holmes,,101-100,,
3:50.0,J. Embiid makes 2-pt shot from 18 ft,2,103-100,,
3:28.0,,,103-100,,K. Towns misses 3-pt shot from 24 ft
3:25.0,Defensive rebound by B. Simmons,,103-100,,
3:08.0,,,103-100,,Personal foul by J. Teague (drawn by B. Simmons)
3:02.0,Shooting foul by J. Teague (drawn by J. Redick),,103-100,,
3:02.0,J. Redick makes free throw 1 of 3,1,104-100,,
3:02.0,J. Redick makes free throw 2 of 3,1,105-100,,
3:02.0,J. Redick makes free throw 3 of 3,1,106-100,,
2:49.0,,,106-102,2,A. Wiggins makes 2-pt shot from 15 ft
2:32.0,B. Simmons misses 2-pt shot from 1 ft,,106-102,,
2:30.0,,,106-102,,Defensive rebound by G. Dieng
2:19.0,,,106-102,,J. Butler misses 2-pt shot from 13 ft
2:16.0,Defensive rebound by R. Holmes,,106-102,,
2:03.0,B. Simmons makes 2-pt shot from 2 ft (assist by J. Embiid),2,108-102,,
1:58.0,,,108-102,,Minnesota full timeout
1:56.0,,,108-102,,Shooting foul by R. Holmes (drawn by K. Towns)
1:56.0,,,108-103,1,K. Towns makes free throw 1 of 2
1:56.0,,,108-104,1,K. Towns makes free throw 2 of 2
1:39.0,J. Embiid makes 3-pt shot from 25 ft (assist by J. Redick),3,111-104,,
1:22.0,,,111-104,,J. Teague misses 3-pt shot from 25 ft
1:20.0,,,111-104,,Offensive rebound by G. Dieng
1:12.0,,,111-104,,K. Towns misses 2-pt shot at rim
1:08.0,Defensive rebound by J. Embiid,,111-104,,
1:07.0,,,111-104,,Personal take foul by A. Wiggins (drawn by B. Simmons)
1:07.0,B. Simmons makes free throw 1 of 2,1,112-104,,
1:07.0,B. Simmons misses free throw 2 of 2,,112-104,,
1:05.0,,,112-104,,Defensive rebound by K. Towns
0:59.0,,,112-107,3,A. Wiggins makes 3-pt shot from 24 ft (assist by G. Dieng)
0:54.0,Philadelphia full timeout,,112-107,,
0:54.0,Philadelphia full timeout,,112-107,,
0:54.0,T. McConnell enters the game for R. Holmes,,112-107,,
0:49.0,,,112-107,,Personal take foul by A. Wiggins (drawn by J. Embiid)
0:49.0,J. Embiid makes free throw 1 of 2,1,113-107,,
0:49.0,J. Embiid makes free throw 2 of 2,1,114-107,,
0:41.0,,,114-107,,Offensive foul by K. Towns (drawn by D. Saric)
0:41.0,,,114-107,,Turnover by K. Towns (offensive foul)
0:39.0,,,114-107,,Personal take foul by J. Teague (drawn by J. Redick)
0:39.0,J. Redick makes free throw 1 of 2,1,115-107,,
0:39.0,R. Holmes enters the game for J. Embiid,,115-107,,
0:39.0,J. Redick makes free throw 2 of 2,1,116-107,,
0:39.0,,,116-107,,Minnesota full timeout
0:39.0,,,116-107,,Turnover by A. Wiggins (bad pass)
0:15.0,Turnover by Team (shot clock),,116-107,,
0:11.0,,,116-110,3,J. Butler makes 3-pt shot from 26 ft (assist by K. Towns)
0:09.0,,,116-110,,Personal take foul by K. Towns (drawn by J. Redick)
0:09.0,J. Redick makes free throw 1 of 2,1,117-110,,
0:09.0,J. Redick makes free throw 2 of 2,1,118-110,,
0:02.0,,,118-110,,J. Butler misses 3-pt shot from 25 ft
0:00.0,,,118-110,,Offensive rebound by K. Towns
0:00.0,,,118-112,2,K. Towns makes 2-pt shot from 3 ft
