time,Dallas,pts.away,score,pts.home,Chicago
4:09.0,,,96-96,,B. Portis misses free throw 1 of 1
4:06.0,Defensive rebound by D. Powell,,96-96,,
3:56.0,D. Smith misses 2-pt shot from 20 ft,,96-96,,
3:56.0,,,96-96,,Defensive rebound by K. Dunn
3:43.0,,,96-98,2,B. Portis makes 2-pt shot from 6 ft (assist by Z. LaVine)
3:24.0,H. Barnes misses 2-pt shot from 20 ft,,96-98,,
3:21.0,,,96-98,,Defensive rebound by D. Nwaba
3:11.0,,,96-100,2,B. Portis makes 2-pt shot from 1 ft (assist by Z. LaVine)
3:10.0,Dallas full timeout,,96-100,,
3:10.0,D. Nowitzki enters the game for D. Powell,,96-100,,
3:10.0,Y. Ferrell enters the game for D. McDermott,,96-100,,
2:50.0,H. Barnes makes 2-pt shot from 7 ft,2,98-100,,
2:29.0,,,98-100,,K. Dunn misses 2-pt shot from 3 ft
2:27.0,Defensive rebound by D. Nowitzki,,98-100,,
2:19.0,,,98-100,,Personal foul by K. Dunn (drawn by D. Smith)
2:14.0,Shooting foul by D. Nwaba (drawn by D. Smith),,98-100,,
2:14.0,D. Smith misses free throw 1 of 2,,98-100,,
2:14.0,Offensive rebound by Team,,98-100,,
2:14.0,D. Smith misses free throw 2 of 2,,98-100,,
2:12.0,,,98-100,,Defensive rebound by D. Nwaba
1:59.0,,,98-103,3,K. Dunn makes 3-pt shot from 26 ft
1:41.0,Y. Ferrell misses 3-pt shot from 25 ft,,98-103,,
1:38.0,,,98-103,,Defensive rebound by L. Markkanen
1:18.0,,,98-106,3,L. Markkanen makes 3-pt shot from 24 ft (assist by Z. LaVine)
1:18.0,Dallas full timeout,,98-106,,
1:12.0,Shooting foul by B. Portis (drawn by H. Barnes),,98-106,,
1:12.0,H. Barnes makes free throw 1 of 2,1,99-106,,
1:12.0,H. Barnes makes free throw 2 of 2,1,100-106,,
0:53.0,,,100-108,2,Z. LaVine makes 2-pt shot from 20 ft
0:42.0,H. Barnes misses 2-pt shot from 5 ft,,100-108,,
0:42.0,,,100-108,,Defensive rebound by D. Nwaba
0:20.0,,,100-108,,Chicago full timeout
0:20.0,D. Powell enters the game for D. Nowitzki,,100-108,,
0:16.0,,,100-108,,Z. LaVine misses 3-pt shot from 23 ft
0:14.0,,,100-108,,Offensive rebound by D. Nwaba
