time,Cleveland,pts.away,score,pts.home,Miami
5:31.0,,,47-68,,W. Ellington enters the game for J. Richardson
5:28.0,,,47-68,,Offensive rebound by J. Johnson
5:17.0,,,47-68,,G. Dragic misses 2-pt shot from 1 ft
5:16.0,,,47-68,,Offensive rebound by J. Mickey
5:15.0,,,47-68,,J. Mickey misses 2-pt shot at rim
5:14.0,Defensive rebound by G. Hill,,47-68,,
5:01.0,L. James misses 2-pt shot from 18 ft,,47-68,,
4:57.0,,,47-68,,Defensive rebound by G. Dragic
4:56.0,Personal foul by L. Nance (drawn by G. Dragic),,47-68,,
4:39.0,,,47-68,,Turnover by J. Johnson (bad pass; steal by R. Hood)
4:32.0,R. Hood makes 2-pt shot from 7 ft,2,49-68,,
4:32.0,Shooting foul by W. Ellington (drawn by R. Hood),,49-68,,
4:32.0,R. Hood makes free throw 1 of 1,1,50-68,,
4:32.0,,,50-68,,Miami full timeout
4:10.0,,,50-68,,J. Johnson misses 3-pt shot from 26 ft
4:09.0,Defensive rebound by L. Nance,,50-68,,
3:53.0,L. Nance makes 2-pt shot from 3 ft (assist by L. James),2,52-68,,
3:28.0,,,52-70,2,J. Mickey makes 2-pt shot from 1 ft (assist by G. Dragic)
3:06.0,R. Hood makes 2-pt shot from 18 ft,2,54-70,,
2:51.0,,,54-70,,J. Johnson misses 3-pt shot from 24 ft
2:49.0,Defensive rebound by L. James,,54-70,,
2:40.0,J. Clarkson makes 3-pt shot from 25 ft (assist by L. James),3,57-70,,
2:14.0,,,57-70,,T. Johnson misses 2-pt shot from 16 ft
2:12.0,Defensive rebound by L. Nance,,57-70,,
2:01.0,J. Clarkson misses 2-pt shot from 2 ft (block by J. Mickey),,57-70,,
2:00.0,,,57-70,,Defensive rebound by G. Dragic
1:55.0,,,57-70,,W. Ellington misses 3-pt shot from 24 ft
1:54.0,Defensive rebound by L. Nance,,57-70,,
1:40.0,J. Clarkson misses 2-pt shot from 10 ft,,57-70,,
1:39.0,Offensive rebound by L. Nance,,57-70,,
1:36.0,R. Hood misses 3-pt shot from 25 ft,,57-70,,
1:35.0,,,57-70,,Defensive rebound by J. Mickey
1:25.0,,,57-70,,T. Johnson misses 3-pt shot from 25 ft
1:24.0,,,57-70,,Offensive rebound by J. Johnson
1:19.0,,,57-73,3,G. Dragic makes 3-pt shot from 25 ft (assist by J. Johnson)
0:59.0,L. James makes 2-pt shot from 1 ft (assist by G. Hill),2,59-73,,
0:41.0,,,59-73,,J. Mickey misses 3-pt shot from 25 ft
0:40.0,,,59-73,,Offensive rebound by J. Johnson
0:22.0,,,59-73,,K. Olynyk enters the game for G. Dragic
0:22.0,,,59-73,,D. Wade enters the game for J. Johnson
0:22.0,,,59-73,,J. Winslow enters the game for J. Mickey
0:22.0,J. Smith enters the game for R. Hood,,59-73,,
0:17.0,,,59-75,2,D. Wade makes 2-pt shot from 19 ft (assist by K. Olynyk)
0:00.0,L. Nance misses 2-pt shot from 1 ft,,59-75,,
0:00.0,Offensive rebound by Team,,59-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,59-75,,Personal foul by J. Richardson (drawn by J. Calderon)
11:37.0,J. Clarkson misses 2-pt shot from 20 ft,,59-75,,
11:35.0,,,59-75,,Defensive rebound by D. Wade
11:27.0,,,59-75,,Shooting foul by J. Clarkson (drawn by J. Winslow)
11:27.0,,,59-76,1,J. Winslow makes free throw 1 of 2
11:27.0,,,59-76,,J. Winslow misses free throw 2 of 2
11:24.0,Defensive rebound by J. Smith,,59-76,,
11:13.0,J. Smith makes 2-pt shot from 20 ft,2,61-76,,
10:57.0,,,61-76,,D. Wade misses 2-pt shot from 12 ft
10:56.0,,,61-76,,Offensive rebound by Team
10:56.0,Loose ball foul by J. Green (drawn by K. Olynyk),,61-76,,
10:43.0,,,61-76,,J. Richardson misses 2-pt shot from 1 ft
10:42.0,Defensive rebound by T. Thompson,,61-76,,
10:36.0,J. Green misses 2-pt shot from 1 ft (block by D. Wade),,61-76,,
10:35.0,Offensive rebound by T. Thompson,,61-76,,
10:34.0,Shooting foul by K. Olynyk (drawn by T. Thompson),,61-76,,
10:34.0,T. Thompson makes free throw 1 of 2,1,62-76,,
10:34.0,T. Thompson misses free throw 2 of 2,,62-76,,
10:33.0,,,62-76,,Defensive rebound by K. Olynyk
10:19.0,,,62-76,,W. Ellington misses 3-pt shot from 23 ft
10:16.0,Defensive rebound by T. Thompson,,62-76,,
10:01.0,J. Green misses 3-pt shot from 23 ft,,62-76,,
9:58.0,,,62-76,,Defensive rebound by J. Richardson
9:41.0,,,62-76,,J. Richardson misses 3-pt shot from 25 ft
9:40.0,,,62-76,,Offensive rebound by Team
9:34.0,,,62-76,,D. Wade misses 2-pt shot from 17 ft
9:32.0,Defensive rebound by T. Thompson,,62-76,,
9:21.0,J. Calderon misses 3-pt shot from 25 ft,,62-76,,
9:20.0,Offensive rebound by T. Thompson,,62-76,,
9:20.0,Shooting foul by K. Olynyk (drawn by T. Thompson),,62-76,,
9:20.0,T. Thompson misses free throw 1 of 2,,62-76,,
9:20.0,Offensive rebound by Team,,62-76,,
9:20.0,T. Thompson misses free throw 2 of 2,,62-76,,
9:18.0,,,62-76,,Defensive rebound by K. Olynyk
8:58.0,,,62-76,,Offensive foul by D. Wade (drawn by J. Green)
8:58.0,,,62-76,,Turnover by D. Wade (offensive foul)
8:48.0,J. Smith misses 3-pt shot from 24 ft,,62-76,,
8:47.0,,,62-76,,Defensive rebound by Team
8:35.0,,,62-79,3,K. Olynyk makes 3-pt shot from 25 ft (assist by D. Wade)
8:17.0,J. Calderon makes 3-pt shot from 25 ft (assist by J. Clarkson),3,65-79,,
8:01.0,,,65-79,,D. Wade misses 2-pt shot from 2 ft
8:00.0,Defensive rebound by T. Thompson,,65-79,,
7:49.0,J. Clarkson makes 2-pt shot from 2 ft,2,67-79,,
7:29.0,,,67-79,,Shooting foul by J. Green (drawn by K. Olynyk)
