time,Houston,pts.away,score,pts.home,Orlando
5:27.0,,,104-80,,A. Gordon misses 2-pt shot from 13 ft
5:25.0,Defensive rebound by C. Paul,,104-80,,
5:14.0,R. Anderson misses 2-pt shot from 12 ft,,104-80,,
5:11.0,,,104-80,,Defensive rebound by A. Gordon
5:03.0,,,104-82,2,A. Gordon makes 2-pt shot from 1 ft
5:03.0,Houston full timeout,,104-82,,
5:03.0,G. Green enters the game for T. Ariza,,104-82,,
5:03.0,T. Black enters the game for E. Gordon,,104-82,,
4:50.0,Offensive foul by G. Green (drawn by W. Iwundu),,104-82,,
4:50.0,Turnover by G. Green (offensive foul),,104-82,,
4:40.0,Personal foul by C. Paul (drawn by A. Gordon),,104-82,,
4:28.0,,,104-85,3,M. Hezonja makes 3-pt shot from 26 ft
4:08.0,Turnover by T. Black (traveling),,104-85,,
3:58.0,,,104-87,2,S. Mack makes 2-pt shot from 3 ft
3:40.0,R. Anderson makes 2-pt shot from 1 ft,2,106-87,,
3:26.0,,,106-87,,M. Hezonja misses 3-pt shot from 27 ft
3:23.0,Defensive rebound by C. Paul,,106-87,,
3:22.0,,,106-87,,Personal foul by S. Mack (drawn by C. Paul)
3:22.0,,,106-87,,K. Birch enters the game for A. Gordon
3:22.0,B. Weber enters the game for C. Paul,,106-87,,
3:12.0,T. Black misses 2-pt shot from 4 ft,,106-87,,
3:09.0,,,106-87,,Defensive rebound by W. Iwundu
2:57.0,,,106-87,,W. Iwundu misses 2-pt shot from 14 ft
2:54.0,Defensive rebound by P. Tucker,,106-87,,
2:45.0,G. Green misses 3-pt shot from 25 ft,,106-87,,
2:42.0,,,106-87,,Defensive rebound by W. Iwundu
2:27.0,,,106-90,3,A. Afflalo makes 3-pt shot from 22 ft (assist by S. Mack)
2:09.0,G. Green misses 3-pt shot from 26 ft,,106-90,,
2:02.0,Offensive rebound by Team,,106-90,,
1:53.0,R. Anderson makes 2-pt shot from 15 ft,2,108-90,,
1:40.0,,,108-90,,A. Afflalo misses 3-pt shot from 23 ft
1:36.0,Defensive rebound by G. Green,,108-90,,
1:30.0,G. Green makes 2-pt shot from 5 ft,2,110-90,,
1:26.0,,,110-92,2,A. Afflalo makes 2-pt shot from 2 ft (assist by S. Mack)
1:14.0,G. Green makes 3-pt shot from 26 ft,3,113-92,,
1:09.0,Personal foul by B. Weber (drawn by S. Mack),,113-92,,
1:09.0,B. Brown enters the game for R. Anderson,,113-92,,
0:53.0,,,113-94,2,K. Birch makes 2-pt shot from 1 ft (assist by S. Mack)
0:39.0,G. Green makes 3-pt shot from 27 ft,3,116-94,,
0:28.0,,,116-94,,K. Birch misses 2-pt shot from 5 ft
0:23.0,,,116-94,,Offensive rebound by K. Birch
0:23.0,,,116-96,2,K. Birch makes 2-pt shot at rim
0:05.0,G. Green misses 3-pt shot from 30 ft,,116-96,,
0:02.0,,,116-96,,Defensive rebound by S. Mack
0:00.0,,,116-98,2,W. Iwundu makes 2-pt shot from 1 ft (assist by S. Mack)
