time,Orlando,pts.away,score,pts.home,Indiana
3:08.0,,,99-113,,V. Oladipo misses 2-pt shot from 1 ft (block by A. Gordon)
3:05.0,Defensive rebound by A. Gordon,,99-113,,
3:02.0,A. Gordon misses 2-pt shot from 5 ft (block by V. Oladipo),,99-113,,
3:02.0,Offensive rebound by Team,,99-113,,
2:57.0,,,99-113,,Personal foul by L. Stephenson (drawn by A. Gordon)
2:50.0,Shooting foul by V. Oladipo (drawn by A. Gordon),,99-113,,
2:50.0,A. Gordon makes free throw 1 of 2,1,100-113,,
2:50.0,,,100-113,,T. Young enters the game for V. Oladipo
2:50.0,A. Gordon makes free throw 2 of 2,1,101-113,,
2:32.0,,,101-113,,Shooting foul by E. Fournier (drawn by B. Bogdanovic)
2:32.0,,,101-113,,B. Bogdanovic misses free throw 1 of 2
2:32.0,,,101-113,,Offensive rebound by Team
2:32.0,,,101-114,1,B. Bogdanovic makes free throw 2 of 2
2:20.0,E. Fournier makes 2-pt shot from 13 ft,2,103-114,,
2:03.0,,,103-116,2,B. Bogdanovic makes 2-pt shot at rim
2:03.0,,,103-116,,Shooting foul by N. Vucevic (drawn by B. Bogdanovic)
2:03.0,,,103-117,1,B. Bogdanovic makes free throw 1 of 1
1:50.0,E. Fournier misses 3-pt shot from 27 ft,,103-117,,
1:49.0,,,103-117,,Defensive rebound by Team
1:31.0,,,103-119,2,B. Bogdanovic makes 2-pt shot from 1 ft
1:21.0,E. Payton makes 2-pt shot from 1 ft,2,105-119,,
1:04.0,,,105-119,,C. Joseph misses 3-pt shot from 26 ft
1:01.0,Defensive rebound by A. Gordon,,105-119,,
0:57.0,E. Payton makes 2-pt shot from 1 ft (assist by A. Gordon),2,107-119,,
0:47.0,,,107-121,2,L. Stephenson makes 2-pt shot from 1 ft (assist by D. Sabonis)
0:38.0,,,107-121,,Personal foul by L. Stephenson (drawn by E. Payton)
0:38.0,E. Payton makes free throw 1 of 2,1,108-121,,
0:38.0,E. Payton makes free throw 2 of 2,1,109-121,,
0:14.0,,,109-121,,Turnover by Team (shot clock)
0:08.0,J. Simmons misses 3-pt shot from 23 ft,,109-121,,
0:04.0,Offensive rebound by E. Payton,,109-121,,
0:03.0,J. Simmons misses 3-pt shot from 26 ft,,109-121,,
0:03.0,Offensive rebound by Team,,109-121,,
