time,Orlando,pts.away,score,pts.home,Memphis
0:36.0,Turnover by T. Ross (lost ball; steal by M. Chalmers),,100-99,,
0:30.0,,,100-99,,M. Chalmers misses 2-pt shot from 1 ft
0:26.0,Defensive rebound by N. Vucevic,,100-99,,
0:26.0,Turnover by T. Ross (step out of bounds),,100-99,,
0:26.0,,,100-99,,Memphis full timeout
0:26.0,J. Isaac enters the game for E. Fournier,,100-99,,
0:17.0,,,100-99,,M. Chalmers misses 3-pt shot from 25 ft
0:13.0,Defensive rebound by J. Isaac,,100-99,,
0:10.0,,,100-99,,Personal take foul by D. Brooks (drawn by J. Simmons)
0:10.0,Orlando full timeout,,100-99,,
0:10.0,E. Fournier enters the game for J. Isaac,,100-99,,
0:10.0,Turnover by T. Ross (bad pass; steal by T. Evans),,100-99,,
0:05.0,,,100-99,,D. Brooks misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by T. Ross,,100-99,,
0:00.0,,,100-99,,Personal take foul by T. Evans (drawn by T. Ross)
0:00.0,T. Ross misses free throw 2 of 2,,100-99,,
0:00.0,,,100-99,,Defensive rebound by T. Evans
0:00.0,T. Ross makes free throw 1 of 2,1,101-99,,
0:00.0,J. Isaac enters the game for E. Fournier,,101-99,,
