time,Denver,pts.away,score,pts.home,Phoenix
4:31.0,,,109-101,,Defensive rebound by E. Payton
4:29.0,,,109-103,2,M. Chriss makes 2-pt shot at rim (assist by E. Payton)
4:29.0,Denver full timeout,,109-103,,
4:16.0,W. Chandler misses 2-pt shot from 1 ft,,109-103,,
4:16.0,Offensive rebound by G. Harris,,109-103,,
4:04.0,J. Murray misses 3-pt shot from 27 ft,,109-103,,
4:00.0,,,109-103,,Defensive rebound by M. Chriss
3:48.0,,,109-103,,J. Jackson misses 2-pt shot from 18 ft
3:44.0,Defensive rebound by N. Jokic,,109-103,,
3:30.0,W. Barton makes 3-pt shot from 25 ft (assist by N. Jokic),3,112-103,,
3:15.0,,,112-105,2,J. Jackson makes 2-pt shot at rim (assist by E. Payton)
2:53.0,W. Chandler makes 3-pt shot from 24 ft (assist by N. Jokic),3,115-105,,
2:43.0,Personal block foul by N. Jokic (drawn by E. Payton),,115-105,,
2:43.0,,,115-106,1,E. Payton makes free throw 1 of 2
2:43.0,,,115-107,1,E. Payton makes free throw 2 of 2
2:23.0,N. Jokic misses 2-pt shot from 9 ft,,115-107,,
2:21.0,,,115-107,,Defensive rebound by E. Payton
2:18.0,,,115-107,,Turnover by D. Bender (out of bounds lost ball)
2:01.0,W. Chandler makes 3-pt shot from 23 ft (assist by N. Jokic),3,118-107,,
1:45.0,,,118-107,,E. Payton misses 2-pt shot at rim
1:45.0,Defensive rebound by N. Jokic,,118-107,,
1:25.0,W. Chandler makes 2-pt shot from 11 ft (assist by N. Jokic),2,120-107,,
1:25.0,,,120-107,,Phoenix full timeout
1:25.0,,,120-107,,T. Daniels enters the game for M. Chriss
1:25.0,M. Beasley enters the game for N. Jokic,,120-107,,
1:18.0,,,120-109,2,T. Warren makes 2-pt shot from 7 ft
0:55.0,J. Murray misses 2-pt shot at rim,,120-109,,
0:55.0,,,120-109,,Defensive rebound by Team
0:55.0,D. Harris enters the game for W. Barton,,120-109,,
0:45.0,,,120-109,,D. Bender misses 2-pt shot from 1 ft
0:43.0,,,120-109,,Offensive rebound by D. Bender
0:43.0,,,120-111,2,D. Bender makes 2-pt shot at rim
0:26.0,G. Harris makes 3-pt shot from 28 ft (assist by J. Murray),3,123-111,,
0:18.0,,,123-111,,E. Payton misses 2-pt shot from 1 ft (block by M. Beasley)
0:17.0,,,123-111,,Offensive rebound by Team
0:14.0,,,123-113,2,T. Warren makes 2-pt shot at rim (assist by D. Bender)
