time,New Orleans,pts.away,score,pts.home,Brooklyn
7:51.0,,,103-94,,Shooting foul by C. Diallo (drawn by S. Dinwiddie)
7:51.0,,,103-95,1,S. Dinwiddie makes free throw 1 of 2
7:51.0,A. Davis enters the game for C. Diallo,,103-95,,
7:51.0,,,103-96,1,S. Dinwiddie makes free throw 2 of 2
7:39.0,R. Rondo misses 2-pt shot from 2 ft,,103-96,,
7:39.0,Offensive rebound by A. Davis,,103-96,,
7:39.0,Shooting foul by D. Cunningham (drawn by A. Davis),,103-96,,
7:39.0,A. Davis makes free throw 1 of 2,1,104-96,,
7:39.0,,,104-96,,Q. Acy enters the game for J. Allen
7:39.0,A. Davis misses free throw 2 of 2,,104-96,,
7:37.0,,,104-96,,Defensive rebound by D. Cunningham
7:31.0,,,104-99,3,D. Carroll makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
7:15.0,Turnover by J. Holiday (bad pass; steal by D. Cunningham),,104-99,,
7:07.0,,,104-99,,D. Carroll misses 2-pt shot from 1 ft
7:03.0,Defensive rebound by R. Rondo,,104-99,,
7:01.0,E. Moore misses 3-pt shot from 24 ft,,104-99,,
6:59.0,Offensive rebound by Team,,104-99,,
6:59.0,,,104-99,,Loose ball foul by J. Harris (drawn by A. Davis)
6:59.0,,,104-99,,D. Russell enters the game for J. Harris
6:53.0,A. Davis misses 2-pt shot from 9 ft,,104-99,,
6:52.0,,,104-99,,Defensive rebound by D. Russell
6:41.0,,,104-99,,D. Russell misses 3-pt shot from 23 ft
6:38.0,Defensive rebound by R. Rondo,,104-99,,
6:36.0,Shooting foul by Q. Acy (drawn by A. Davis),,104-99,,
6:36.0,,,104-99,,Brooklyn full timeout
6:36.0,A. Davis misses free throw 1 of 2,,104-99,,
6:36.0,Offensive rebound by Team,,104-99,,
6:36.0,A. Davis makes free throw 2 of 2,1,105-99,,
6:26.0,,,105-99,,Shooting foul by J. Holiday (drawn by S. Dinwiddie)
6:26.0,,,105-100,1,S. Dinwiddie makes free throw 1 of 2
6:26.0,,,105-101,1,S. Dinwiddie makes free throw 2 of 2
